Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
460	0.037		Omega	490DF58(LASER FILTER) Bandpass	W2519
461	0.062				
462	0.106				
463	0.16				
464	0.255				
465	0.457				
466	0.878				
467	1.842				
468	4.191				
469	9.743				
470	20.654				
471	36.935				
472	55.507				
473	70.951				
474	80.023				
475	83.55				
476	84.208				
477	83.994				
478	83.726				
479	83.685				
480	83.92				
481	84.27				
482	84.485				
483	84.368				
484	83.967				
485	83.599				
486	83.787				
487	84.353				
488	84.908				
489	84.86				
490	84.097				
491	82.981				
492	82.392				
493	82.651				
494	83.831				
495	85.396				
496	86.664				
497	87.034				
498	86.555				
499	85.715				
500	84.905				
501	84.576				
502	84.648				
503	84.827				
504	84.571				
505	84.076				
506	83.175				
507	82.2				
508	81.377				
509	80.763				
510	80.534				
511	80.455				
512	80.484				
513	80.741				
514	80.938				
515	81.072				
516	81.186				
517	81.265				
518	81.4				
519	81.809				
520	82.55				
521	83.49				
522	84.496				
523	84.886				
524	84.348				
525	82.508				
526	79.091				
527	72.73				
528	59.074				
529	37.195				
530	17.616				
531	6.913				
532	2.657				
533	1.091				
534	0.477				
535	0.221				
536	0.107				
537	0.06				
538	0.033				
539	0.016				
540	0.007				
