Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
450	0.0		Omega	508AELP Longpass	W2645
451	0.0				
452	0.0				
453	0.0				
454	0.0				
455	0.0				
456	0.0				
457	0.0				
458	0.0				
459	0.0				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.0				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	0.0				
498	0.0				
499	0.0				
500	0.006				
501	0.016				
502	0.038				
503	0.126				
504	1.072				
505	11.857				
506	48.199				
507	84.578				
508	94.667				
509	95.032				
510	95.353				
511	95.808				
512	95.866				
513	95.859				
514	95.807				
515	95.531				
516	95.379				
517	95.317				
518	95.67				
519	95.732				
520	95.574				
521	95.428				
522	95.338				
523	95.583				
524	95.802				
525	96.025				
526	96.004				
527	95.788				
528	95.566				
529	95.54				
530	95.707				
531	95.77				
532	95.908				
533	96.057				
534	95.726				
535	95.341				
536	94.834				
537	94.656				
538	94.641				
539	94.685				
540	95.066				
541	95.614				
542	95.846				
543	95.986				
544	96.154				
545	96.064				
546	95.891				
547	95.871				
548	95.836				
549	95.957				
550	96.115				
551	96.142				
552	96.256				
553	96.062				
554	96.008				
555	95.891				
556	95.865				
557	95.807				
558	95.865				
559	95.842				
560	95.858				
561	95.864				
562	95.974				
563	95.969				
564	95.908				
565	95.902				
566	95.828				
567	95.78				
568	95.917				
569	95.931				
570	96.119				
571	96.223				
572	96.141				
573	96.167				
574	96.12				
575	96.041				
576	96.176				
577	95.99				
578	96.05				
579	96.113				
580	96.16				
581	96.187				
582	96.286				
583	96.293				
584	96.373				
585	96.349				
586	96.346				
587	96.298				
588	96.328				
589	96.127				
590	96.112				
591	96.14				
592	96.112				
593	96.193				
594	96.265				
595	96.33				
596	96.286				
597	96.216				
598	96.328				
599	96.254				
600	96.11				
601	96.045				
602	96.029				
603	95.912				
604	95.918				
605	96.001				
606	96.024				
607	96.082				
608	96.062				
609	96.109				
610	96.162				
611	96.15				
612	96.209				
613	96.149				
614	96.022				
615	96.018				
616	95.923				
617	95.94				
618	95.768				
619	95.624				
620	95.63				
621	95.669				
622	95.555				
623	95.548				
624	95.638				
625	95.686				
626	95.859				
627	95.934				
628	96.03				
629	95.989				
630	96.044				
631	96.071				
632	96.06				
633	96.079				
634	95.994				
635	96.007				
636	95.825				
637	95.706				
638	95.685				
639	95.721				
640	95.696				
641	95.818				
642	95.765				
643	95.879				
644	95.87				
645	95.966				
646	96.028				
647	96.14				
648	96.1				
649	96.064				
650	96.037				
651	96.092				
652	96.028				
653	95.851				
654	95.933				
655	95.938				
656	95.916				
657	95.82				
658	95.958				
659	95.823				
660	95.932				
661	95.911				
662	96.042				
663	96.07				
664	95.958				
665	96.112				
666	96.026				
667	95.889				
668	95.88				
669	95.812				
670	95.678				
671	95.723				
672	95.682				
673	95.594				
674	95.463				
675	95.595				
676	95.505				
677	95.661				
678	95.708				
679	95.84				
680	95.906				
681	95.961				
682	96.076				
683	96.128				
684	96.102				
685	96.149				
686	96.196				
687	96.096				
688	96.201				
689	96.022				
690	95.875				
691	95.768				
692	95.717				
693	95.682				
694	95.614				
695	95.742				
696	95.612				
697	95.693				
698	95.814				
699	95.904				
700	95.986				
701	96.156				
702	96.188				
703	96.135				
704	96.293				
705	96.214				
706	96.263				
707	96.259				
708	96.206				
709	96.117				
710	96.03				
711	95.952				
712	95.783				
713	95.504				
714	95.407				
715	95.312				
716	95.371				
717	95.226				
718	95.202				
719	95.187				
720	95.157				
721	95.198				
722	95.237				
723	95.43				
724	95.49				
725	95.6				
726	95.735				
727	95.656				
728	95.826				
729	95.974				
730	95.866				
731	95.846				
732	95.867				
733	95.671				
734	95.671				
735	95.604				
736	95.561				
737	95.645				
738	95.422				
739	95.271				
740	95.443				
741	95.373				
742	95.408				
743	95.503				
744	95.536				
745	95.462				
746	95.589				
747	95.713				
748	95.73				
749	95.895				
750	95.955				
