Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.726		Omega	1.5UVND.7 Neutral Density	W2671
301	0.725				
302	0.726				
303	0.726				
304	0.726				
305	0.726				
306	0.727				
307	0.727				
308	0.728				
309	0.728				
310	0.728				
311	0.729				
312	0.73				
313	0.729				
314	0.73				
315	0.73				
316	0.731				
317	0.731				
318	0.732				
319	0.732				
320	0.733				
321	0.733				
322	0.734				
323	0.734				
324	0.734				
325	0.735				
326	0.736				
327	0.736				
328	0.737				
329	0.737				
330	0.737				
331	0.738				
332	0.738				
333	0.739				
334	0.74				
335	0.74				
336	0.741				
337	0.742				
338	0.742				
339	0.742				
340	0.743				
341	0.744				
342	0.744				
343	0.745				
344	0.746				
345	0.746				
346	0.746				
347	0.747				
348	0.748				
349	0.748				
350	0.749				
351	0.75				
352	0.75				
353	0.75				
354	0.751				
355	0.752				
356	0.752				
357	0.753				
358	0.753				
359	0.753				
360	0.754				
361	0.755				
362	0.755				
363	0.755				
364	0.757				
365	0.758				
366	0.758				
367	0.759				
368	0.759				
369	0.76				
370	0.761				
371	0.761				
372	0.761				
373	0.762				
374	0.763				
375	0.764				
376	0.764				
377	0.764				
378	0.765				
379	0.766				
380	0.766				
381	0.767				
382	0.768				
383	0.768				
384	0.768				
385	0.77				
386	0.77				
387	0.77				
388	0.771				
389	0.771				
390	0.771				
391	0.773				
392	0.773				
393	0.773				
394	0.774				
395	0.775				
396	0.775				
397	0.776				
398	0.776				
399	0.777				
400	0.778				
401	0.778				
402	0.779				
403	0.779				
404	0.779				
405	0.78				
406	0.781				
407	0.781				
408	0.782				
409	0.782				
410	0.783				
411	0.783				
412	0.784				
413	0.785				
414	0.785				
415	0.786				
416	0.786				
417	0.786				
418	0.787				
419	0.787				
420	0.788				
421	0.788				
422	0.789				
423	0.789				
424	0.79				
425	0.79				
426	0.791				
427	0.791				
428	0.792				
429	0.792				
430	0.793				
431	0.792				
432	0.793				
433	0.793				
434	0.794				
435	0.795				
436	0.795				
437	0.795				
438	0.796				
439	0.797				
440	0.797				
441	0.797				
442	0.797				
443	0.798				
444	0.798				
445	0.799				
446	0.799				
447	0.8				
448	0.8				
449	0.8				
450	0.801				
451	0.801				
452	0.801				
453	0.802				
454	0.802				
455	0.803				
456	0.803				
457	0.803				
458	0.804				
459	0.804				
460	0.805				
461	0.805				
462	0.805				
463	0.806				
464	0.806				
465	0.805				
466	0.806				
467	0.806				
468	0.807				
469	0.807				
470	0.807				
471	0.808				
472	0.808				
473	0.808				
474	0.809				
475	0.809				
476	0.809				
477	0.81				
478	0.81				
479	0.81				
480	0.81				
481	0.811				
482	0.811				
483	0.811				
484	0.811				
485	0.812				
486	0.812				
487	0.812				
488	0.812				
489	0.813				
490	0.813				
491	0.813				
492	0.814				
493	0.814				
494	0.814				
495	0.815				
496	0.815				
497	0.814				
498	0.815				
499	0.815				
500	0.816				
501	0.816				
502	0.816				
503	0.816				
504	0.816				
505	0.816				
506	0.817				
507	0.816				
508	0.817				
509	0.817				
510	0.817				
511	0.818				
512	0.817				
513	0.818				
514	0.818				
515	0.818				
516	0.818				
517	0.819				
518	0.818				
519	0.818				
520	0.818				
521	0.819				
522	0.819				
523	0.819				
524	0.819				
525	0.82				
526	0.819				
527	0.819				
528	0.82				
529	0.82				
530	0.821				
531	0.821				
532	0.821				
533	0.821				
534	0.821				
535	0.821				
536	0.821				
537	0.822				
538	0.822				
539	0.822				
540	0.822				
541	0.822				
542	0.821				
543	0.823				
544	0.822				
545	0.823				
546	0.823				
547	0.823				
548	0.823				
549	0.823				
550	0.824				
551	0.823				
552	0.825				
553	0.824				
554	0.825				
555	0.825				
556	0.824				
557	0.824				
558	0.825				
559	0.824				
560	0.825				
561	0.826				
562	0.825				
563	0.825				
564	0.825				
565	0.826				
566	0.825				
567	0.825				
568	0.826				
569	0.825				
570	0.826				
571	0.825				
572	0.826				
573	0.826				
574	0.825				
575	0.826				
576	0.826				
577	0.825				
578	0.826				
579	0.827				
580	0.826				
581	0.827				
582	0.827				
583	0.827				
584	0.827				
585	0.827				
586	0.827				
587	0.827				
588	0.827				
589	0.828				
590	0.826				
591	0.826				
592	0.828				
593	0.828				
594	0.826				
595	0.827				
596	0.827				
597	0.827				
598	0.828				
599	0.828				
600	0.827				
601	0.827				
602	0.828				
603	0.828				
604	0.827				
605	0.828				
606	0.828				
607	0.827				
608	0.827				
609	0.828				
610	0.828				
611	0.828				
612	0.828				
613	0.828				
614	0.828				
615	0.829				
616	0.828				
617	0.829				
618	0.829				
619	0.829				
620	0.829				
621	0.828				
622	0.828				
623	0.829				
624	0.828				
625	0.828				
