Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
700	0.005		Omega	1064/1540 DUAL Dual Band	W2687
701	0.006				
702	0.001				
703	0.002				
704	0.003				
705	0.005				
706	0.005				
707	0.002				
708	0.005				
709	0.003				
710	0.002				
711	0.0				
712	0.0				
713	0.0				
714	0.0				
715	0.0				
716	0.0				
717	0.002				
718	0.0				
719	0.0				
720	0.0				
721	0.0				
722	0.004				
723	0.002				
724	0.003				
725	0.0				
726	0.0				
727	0.0				
728	0.0				
729	0.0				
730	0.0				
731	0.0				
732	0.002				
733	0.0				
734	0.002				
735	0.001				
736	0.001				
737	0.0				
738	0.005				
739	0.0				
740	0.0				
741	0.0				
742	0.006				
743	0.0				
744	0.0				
745	0.003				
746	0.0				
747	0.001				
748	0.0				
749	0.0				
750	0.0				
751	0.0				
752	0.0				
753	0.001				
754	0.0				
755	0.0				
756	0.001				
757	0.002				
758	0.002				
759	0.001				
760	0.0				
761	0.0				
762	0.0				
763	0.0				
764	0.0				
765	0.0				
766	0.0				
767	0.001				
768	0.001				
769	0.001				
770	0.0				
771	0.0				
772	0.001				
773	0.007				
774	0.0				
775	0.0				
776	0.003				
777	0.0				
778	0.0				
779	0.0				
780	0.0				
781	0.0				
782	0.0				
783	0.003				
784	0.0				
785	0.002				
786	0.004				
787	0.002				
788	0.0				
789	0.001				
790	0.001				
791	0.001				
792	0.0				
793	0.0				
794	0.003				
795	0.003				
796	0.0				
797	0.0				
798	0.0				
799	0.001				
800	0.002				
801	0.003				
802	0.004				
803	0.003				
804	0.007				
805	0.003				
806	0.0				
807	0.004				
808	0.004				
809	0.001				
810	0.0				
811	0.005				
812	0.008				
813	0.003				
814	0.003				
815	0.004				
816	0.005				
817	0.008				
818	0.005				
819	0.007				
820	0.005				
821	0.005				
822	0.004				
823	0.005				
824	0.008				
825	0.008				
826	0.009				
827	0.007				
828	0.006				
829	0.006				
830	0.012				
831	0.005				
832	0.004				
833	0.009				
834	0.012				
835	0.011				
836	0.013				
837	0.008				
838	0.015				
839	0.014				
840	0.022				
841	0.012				
842	0.018				
843	0.016				
844	0.018				
845	0.016				
846	0.015				
847	0.02				
848	0.021				
849	0.02				
850	0.02				
851	0.021				
852	0.031				
853	0.026				
854	0.018				
855	0.03				
856	0.034				
857	0.03				
858	0.019				
859	0.028				
860	0.029				
861	0.019				
862	0.033				
863	0.022				
864	0.041				
865	0.041				
866	0.037				
867	0.035				
868	0.035				
869	0.024				
870	0.035				
871	0.046				
872	0.031				
873	0.038				
874	0.05				
875	0.035				
876	0.043				
877	0.04				
878	0.03				
879	0.048				
880	0.061				
881	0.025				
882	0.055				
883	0.058				
884	0.0				
885	0.0				
886	0.0				
887	0.0				
888	0.0				
889	0.0				
890	0.0				
891	0.0				
892	0.0				
893	0.0				
894	0.0				
895	0.0				
896	0.0				
897	0.0				
898	0.0				
899	0.0				
900	0.0				
901	0.0				
902	0.0				
903	0.0				
904	0.0				
905	0.0				
906	0.0				
907	0.0				
908	0.0				
909	0.0				
910	0.0				
911	0.0				
912	0.0				
913	0.0				
914	0.0				
915	0.0				
916	0.0				
917	0.0				
918	0.0				
919	0.0				
920	0.0				
921	0.0				
922	0.0				
923	0.0				
924	0.0				
925	0.0				
926	0.0				
927	0.0				
928	0.0				
929	0.0				
930	0.0				
931	0.0				
932	0.0				
933	0.0				
934	0.0				
935	0.0				
936	0.0				
937	0.0				
938	0.0				
939	0.0				
940	0.0				
941	0.0				
942	0.0				
943	0.0				
944	0.0				
945	0.0				
946	0.0				
947	0.0				
948	0.0				
949	0.0				
950	0.0				
951	0.0				
952	0.0				
953	0.0				
954	0.0				
955	0.0				
956	0.0				
957	0.0				
958	0.0				
959	0.0				
960	0.0				
961	0.0				
962	0.0				
963	0.0				
964	0.0				
965	0.0				
966	0.0				
967	0.0				
968	0.0				
969	0.0				
970	0.0				
971	0.0				
972	0.0				
973	0.0				
974	0.0				
975	0.0				
976	0.0				
977	0.0				
978	0.0				
979	0.0				
980	0.0				
981	0.0				
982	0.0				
983	0.0				
984	0.0				
985	0.0				
986	0.0				
987	0.0				
988	0.0				
989	0.0				
990	0.0				
991	0.0				
992	0.0				
993	0.0				
994	0.0				
995	0.0				
996	0.0				
997	0.0				
998	0.0				
999	0.0				
1000	0.0				
1001	0.0				
1002	0.0				
1003	0.0				
1004	0.0				
1005	0.0				
1006	0.0				
1007	0.0				
1008	0.0				
1009	0.0				
1010	0.0				
1011	0.0				
1012	0.0				
1013	0.0				
1014	0.0				
1015	0.0				
1016	0.0				
1017	0.0				
1018	0.0				
1019	0.0				
1020	0.0				
1021	0.007				
1022	0.029				
1023	0.054				
1024	0.077				
1025	0.094				
1026	0.129				
1027	0.174				
1028	0.209				
1029	0.275				
1030	0.347				
1031	0.431				
1032	0.527				
1033	0.651				
1034	0.818				
1035	1.026				
1036	1.27				
1037	1.581				
1038	2.001				
1039	2.543				
1040	3.247				
1041	4.235				
1042	5.516				
1043	7.224				
1044	9.614				
1045	12.77				
1046	16.87				
1047	22.603				
1048	29.482				
1049	37.396				
1050	46.626				
1051	55.845				
1052	63.691				
1053	70.298				
1054	74.27				
1055	76.129				
1056	76.506				
1057	76.032				
1058	75.319				
1059	74.702				
1060	74.433				
1061	74.592				
1062	75.124				
1063	75.928				
1064	76.912				
1065	77.917				
1066	78.907				
1067	79.613				
1068	80.022				
1069	80.164				
1070	80.002				
1071	79.61				
1072	79.099				
1073	78.585				
1074	78.224				
1075	78.057				
1076	78.194				
1077	78.664				
1078	79.415				
1079	80.228				
1080	80.727				
1081	80.504				
1082	78.952				
1083	75.726				
1084	70.229				
1085	62.662				
1086	53.751				
1087	44.804				
1088	35.899				
1089	28.104				
1090	21.813				
1091	16.625				
1092	12.793				
1093	9.892				
1094	7.673				
1095	6.029				
1096	4.758				
1097	3.791				
1098	3.025				
1099	2.449				
1100	2.003				
