Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.001		Omega	700CFSP Shortpass	W2733
301	0.001				
302	0.001				
303	0.001				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.001				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.001				
314	0.002				
315	0.001				
316	0.0				
317	0.002				
318	0.002				
319	0.0				
320	0.002				
321	0.004				
322	0.004				
323	0.004				
324	0.009				
325	0.012				
326	0.021				
327	0.034				
328	0.06				
329	0.103				
330	0.184				
331	0.321				
332	0.531				
333	0.814				
334	1.191				
335	1.674				
336	2.317				
337	3.183				
338	4.421				
339	5.734				
340	7.096				
341	8.242				
342	9.078				
343	9.827				
344	10.792				
345	12.246				
346	14.385				
347	17.353				
348	21.11				
349	24.114				
350	26.905				
351	28.482				
352	28.98				
353	28.892				
354	28.828				
355	29.083				
356	29.905				
357	31.291				
358	33.176				
359	35.423				
360	37.837				
361	40.254				
362	42.529				
363	44.465				
364	46.062				
365	47.278				
366	48.036				
367	48.404				
368	48.455				
369	48.101				
370	47.535				
371	46.841				
372	46.141				
373	45.645				
374	45.389				
375	45.52				
376	46.108				
377	47.123				
378	48.646				
379	50.622				
380	52.909				
381	55.346				
382	57.739				
383	59.756				
384	61.271				
385	62.014				
386	62.001				
387	61.326				
388	60.149				
389	58.665				
390	57.216				
391	55.958				
392	55.007				
393	54.434				
394	54.312				
395	54.612				
396	55.354				
397	56.454				
398	57.842				
399	59.467				
400	61.136				
401	62.732				
402	64.196				
403	65.384				
404	66.177				
405	66.636				
406	66.649				
407	66.377				
408	65.909				
409	65.262				
410	64.659				
411	64.112				
412	63.714				
413	63.489				
414	63.499				
415	63.73				
416	64.212				
417	64.802				
418	65.646				
419	66.584				
420	67.588				
421	68.638				
422	69.629				
423	70.524				
424	71.365				
425	72.04				
426	72.568				
427	72.929				
428	73.144				
429	73.306				
430	73.303				
431	73.219				
432	73.169				
433	73.144				
434	73.05				
435	73.029				
436	73.056				
437	73.103				
438	73.237				
439	73.346				
440	73.441				
441	73.588				
442	73.688				
443	73.744				
444	73.793				
445	73.716				
446	73.645				
447	73.492				
448	73.227				
449	72.957				
450	72.664				
451	72.366				
452	72.026				
453	71.684				
454	71.44				
455	71.208				
456	71.032				
457	70.905				
458	70.871				
459	70.893				
460	70.965				
461	71.114				
462	71.294				
463	71.538				
464	71.838				
465	72.094				
466	72.407				
467	72.653				
468	72.916				
469	73.1				
470	73.299				
471	73.402				
472	73.483				
473	73.424				
474	73.32				
475	73.212				
476	73.013				
477	72.746				
478	72.488				
479	72.175				
480	71.819				
481	71.487				
482	71.157				
483	70.854				
484	70.548				
485	70.288				
486	70.011				
487	69.805				
488	69.647				
489	69.502				
490	69.443				
491	69.366				
492	69.376				
493	69.376				
494	69.396				
495	69.498				
496	69.567				
497	69.623				
498	69.77				
499	69.856				
500	69.983				
501	70.092				
502	70.184				
503	70.291				
504	70.367				
505	70.442				
506	70.507				
507	70.584				
508	70.592				
509	70.648				
510	70.688				
511	70.707				
512	70.742				
513	70.742				
514	70.752				
515	70.794				
516	70.79				
517	70.76				
518	70.8				
519	70.798				
520	70.812				
521	70.807				
522	70.798				
523	70.797				
524	70.79				
525	70.75				
526	70.777				
527	70.705				
528	70.684				
529	70.7				
530	70.605				
531	70.567				
532	70.541				
533	70.462				
534	70.4				
535	70.35				
536	70.271				
537	70.219				
538	70.149				
539	70.113				
540	70.061				
541	69.983				
542	69.93				
543	69.937				
544	69.905				
545	69.896				
546	69.892				
547	69.911				
548	69.952				
549	70.015				
550	70.08				
551	70.173				
552	70.278				
553	70.396				
554	70.556				
555	70.669				
556	70.81				
557	70.992				
558	71.095				
559	71.243				
560	71.442				
561	71.602				
562	71.707				
563	71.86				
564	72.007				
565	72.144				
566	72.239				
567	72.414				
568	72.508				
569	72.696				
570	72.757				
571	72.798				
572	72.822				
573	72.925				
574	72.968				
575	72.941				
576	72.979				
577	72.957				
578	72.983				
579	72.962				
580	72.962				
581	72.902				
582	72.942				
583	72.927				
584	72.897				
585	72.897				
586	72.884				
587	72.877				
588	72.843				
589	72.877				
590	72.864				
591	72.859				
592	72.876				
593	72.88				
594	72.866				
595	72.909				
596	72.927				
597	72.933				
598	72.971				
599	72.997				
600	73.048				
601	73.046				
602	73.086				
603	73.086				
604	73.131				
605	73.119				
606	73.146				
607	73.137				
608	73.16				
609	73.166				
610	73.169				
611	73.165				
612	73.138				
613	73.137				
614	73.12				
615	73.147				
616	73.129				
617	73.129				
618	73.069				
619	73.123				
620	73.097				
621	73.114				
622	73.114				
623	73.154				
624	73.182				
625	73.2				
626	73.268				
627	73.361				
628	73.414				
629	73.457				
630	73.541				
631	73.663				
632	73.764				
633	73.824				
634	73.933				
635	74.052				
636	74.168				
637	74.264				
638	74.35				
639	74.503				
640	74.606				
641	74.687				
642	74.788				
643	74.845				
644	74.882				
645	74.99				
646	75.013				
647	75.025				
648	75.051				
649	75.073				
650	75.024				
651	74.971				
652	74.944				
653	74.873				
654	74.81				
655	74.714				
656	74.665				
657	74.549				
658	74.436				
659	74.291				
660	74.208				
661	74.119				
662	73.976				
663	73.853				
664	73.767				
665	73.651				
666	73.486				
667	73.382				
668	73.203				
669	73.044				
670	72.817				
671	72.562				
672	72.238				
673	71.871				
674	71.411				
675	70.84				
676	70.145				
677	69.327				
678	68.36				
679	67.216				
680	65.899				
681	64.348				
682	62.664				
683	60.765				
684	58.627				
685	56.364				
686	53.948				
687	51.368				
688	48.679				
689	45.947				
690	43.158				
691	40.414				
692	37.698				
693	35.041				
694	32.46				
695	30.001				
696	27.667				
697	25.444				
698	23.39				
699	21.481				
700	19.684				
701	18.038				
702	16.529				
703	15.134				
704	13.876				
705	12.712				
706	11.656				
707	10.692				
708	9.813				
709	9.013				
710	8.294				
711	7.64				
712	7.04				
713	6.493				
714	6.003				
715	5.558				
716	5.142				
717	4.768				
718	4.426				
719	4.117				
720	3.829				
721	3.571				
722	3.331				
723	3.115				
724	2.913				
725	2.729				
726	2.559				
727	2.402				
728	2.257				
729	2.123				
730	1.997				
731	1.886				
732	1.778				
733	1.678				
734	1.59				
735	1.51				
736	1.43				
737	1.358				
738	1.289				
739	1.227				
740	1.17				
741	1.111				
742	1.06				
743	1.012				
744	0.967				
745	0.924				
746	0.885				
747	0.849				
748	0.817				
749	0.782				
750	0.75				
751	0.723				
752	0.697				
753	0.671				
754	0.647				
755	0.624				
756	0.602				
757	0.58				
758	0.56				
759	0.541				
760	0.526				
761	0.509				
762	0.494				
763	0.48				
764	0.465				
765	0.452				
766	0.44				
767	0.427				
768	0.417				
769	0.407				
770	0.396				
771	0.387				
772	0.379				
773	0.366				
774	0.357				
775	0.351				
776	0.342				
777	0.335				
778	0.33				
779	0.324				
780	0.314				
781	0.31				
782	0.303				
783	0.3				
784	0.296				
785	0.289				
786	0.287				
787	0.278				
788	0.277				
789	0.272				
790	0.269				
791	0.265				
792	0.26				
793	0.258				
794	0.257				
795	0.25				
796	0.248				
797	0.246				
798	0.243				
799	0.243				
800	0.243				
801	0.238				
802	0.235				
803	0.235				
804	0.232				
805	0.229				
806	0.228				
807	0.227				
808	0.225				
809	0.226				
810	0.224				
811	0.224				
812	0.222				
813	0.22				
814	0.22				
815	0.223				
816	0.22				
817	0.219				
818	0.22				
819	0.219				
820	0.217				
821	0.221				
822	0.22				
823	0.218				
824	0.219				
825	0.219				
826	0.22				
827	0.222				
828	0.22				
829	0.221				
830	0.224				
831	0.224				
832	0.227				
833	0.225				
834	0.228				
835	0.228				
836	0.227				
837	0.232				
838	0.233				
839	0.235				
840	0.236				
841	0.238				
842	0.24				
843	0.242				
844	0.245				
845	0.244				
846	0.249				
847	0.25				
848	0.255				
849	0.256				
850	0.261				
851	0.264				
852	0.264				
853	0.268				
854	0.27				
855	0.273				
856	0.276				
857	0.279				
858	0.284				
859	0.288				
860	0.292				
861	0.301				
862	0.304				
863	0.307				
864	0.312				
865	0.318				
866	0.324				
867	0.328				
868	0.337				
869	0.336				
870	0.343				
871	0.354				
872	0.358				
873	0.366				
874	0.376				
875	0.383				
876	0.39				
877	0.392				
878	0.413				
879	0.385				
880	0.386				
881	0.391				
882	0.383				
883	0.41				
884	0.39				
885	0.406				
886	0.388				
887	0.431				
888	0.43				
889	0.5				
890	0.491				
891	0.485				
892	0.445				
893	0.519				
894	0.512				
895	0.567				
896	0.555				
897	0.521				
898	0.587				
899	0.572				
900	0.636				
901	0.629				
902	0.658				
903	0.668				
904	0.714				
905	0.742				
906	0.769				
907	0.789				
908	0.797				
909	0.848				
910	0.861				
911	0.884				
912	0.942				
913	0.978				
914	1.039				
915	1.081				
916	1.112				
917	1.18				
918	1.255				
919	1.307				
920	1.366				
921	1.42				
922	1.484				
923	1.571				
924	1.659				
925	1.728				
926	1.811				
927	1.914				
928	1.992				
929	2.092				
930	2.207				
931	2.333				
932	2.456				
933	2.567				
934	2.697				
935	2.839				
936	3.011				
937	3.181				
938	3.359				
939	3.542				
940	3.762				
941	3.956				
942	4.197				
943	4.45				
944	4.709				
945	5.01				
946	5.316				
947	5.642				
948	6.008				
949	6.416				
950	6.826				
951	7.275				
952	7.785				
953	8.316				
954	8.908				
955	9.545				
956	10.251				
957	10.984				
958	11.787				
959	12.672				
960	13.623				
961	14.718				
962	15.851				
963	17.069				
964	18.379				
965	19.878				
966	21.411				
967	23.131				
968	25.02				
969	26.944				
970	29.06				
971	31.334				
972	33.706				
973	36.193				
974	38.876				
975	41.601				
976	44.378				
977	47.159				
978	49.929				
979	52.68				
980	55.309				
981	57.74				
982	60.142				
983	62.076				
984	63.683				
985	65.145				
986	66.243				
987	66.833				
988	67.179				
989	67.091				
990	66.673				
991	65.954				
992	64.942				
993	63.704				
994	62.428				
995	60.832				
996	59.232				
997	57.535				
998	55.784				
999	53.939				
1000	51.986				
