Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
700	0.0		Omega	RG780 Absorption Glass	W2745
701	0.0				
702	0.0				
703	0.0				
704	0.0				
705	0.0				
706	0.0				
707	0.0				
708	0.0				
709	0.0				
710	0.0				
711	0.0				
712	0.0				
713	0.0				
714	0.0				
715	0.0				
716	0.001				
717	0.001				
718	0.002				
719	0.001				
720	0.0				
721	0.002				
722	0.003				
723	0.005				
724	0.009				
725	0.012				
726	0.016				
727	0.02				
728	0.027				
729	0.033				
730	0.041				
731	0.053				
732	0.067				
733	0.086				
734	0.106				
735	0.136				
736	0.167				
737	0.208				
738	0.262				
739	0.328				
740	0.403				
741	0.496				
742	0.611				
743	0.741				
744	0.911				
745	1.121				
746	1.366				
747	1.651				
748	1.988				
749	2.392				
750	2.853				
751	3.377				
752	3.97				
753	4.615				
754	5.336				
755	6.133				
756	7.005				
757	7.993				
758	9.054				
759	10.245				
760	11.532				
761	12.894				
762	14.359				
763	15.912				
764	17.615				
765	19.338				
766	21.169				
767	22.925				
768	24.698				
769	26.594				
770	28.745				
771	30.943				
772	33.257				
773	35.641				
774	38.044				
775	40.428				
776	42.845				
777	45.275				
778	47.54				
779	49.909				
780	52.256				
781	54.241				
782	56.496				
783	58.494				
784	60.377				
785	62.315				
786	64.374				
787	66.105				
788	67.825				
789	69.312				
790	70.875				
791	72.088				
792	73.416				
793	74.377				
794	75.485				
795	76.475				
796	77.317				
797	78.276				
798	79.057				
799	79.524				
800	80.337				
801	80.954				
802	81.367				
803	82.104				
804	82.736				
805	83.179				
806	83.463				
807	83.978				
808	84.252				
809	84.7				
810	85.109				
811	85.415				
812	85.582				
813	85.91				
814	86.244				
815	86.474				
816	86.477				
817	86.783				
818	87.095				
819	87.177				
820	87.548				
821	87.685				
822	87.68				
823	87.923				
824	88.117				
825	87.84				
826	88.138				
827	88.311				
828	88.263				
829	88.545				
830	88.483				
831	88.721				
832	88.682				
833	88.728				
834	89.03				
835	88.962				
836	88.707				
837	88.906				
838	89.109				
839	88.899				
840	89.221				
841	88.88				
842	88.681				
843	88.897				
844	89.276				
845	89.116				
846	89.474				
847	89.72				
848	89.244				
849	89.5				
850	89.309				
