Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
480	0.0		Omega	531DF25 Bandpass	W2761
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.001				
492	0.001				
493	0.001				
494	0.002				
495	0.003				
496	0.003				
497	0.006				
498	0.012				
499	0.028				
500	0.054				
501	0.091				
502	0.133				
503	0.203				
504	0.367				
505	0.772				
506	1.738				
507	3.559				
508	6.299				
509	10.634				
510	19.009				
511	34.998				
512	56.404				
513	73.041				
514	79.837				
515	81.055				
516	81.143				
517	81.101				
518	80.624				
519	80.207				
520	79.596				
521	78.387				
522	76.71				
523	75.968				
524	76.832				
525	78.94				
526	81.164				
527	82.342				
528	82.406				
529	81.839				
530	81.443				
531	81.699				
532	81.826				
533	80.46				
534	78.002				
535	75.853				
536	75.386				
537	76.773				
538	78.133				
539	76.808				
540	72.24				
541	68.241				
542	61.509				
543	37.876				
544	12.352				
545	2.616				
546	0.592				
547	0.169				
548	0.058				
549	0.023				
550	0.01				
551	0.005				
552	0.003				
553	0.002				
554	0.001				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	0.0				
561	0.0				
562	0.0				
563	0.0				
564	0.0				
565	0.0				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	0.0				
571	0.0				
572	0.0				
573	0.0				
574	0.0				
575	0.0				
576	0.0				
577	0.0				
578	0.0				
579	0.0				
580	0.0				
