Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
510	0.0		Omega	600BP45-52 Bandpass	W2770
511	0.0				
512	0.0				
513	0.002				
514	0.0				
515	0.0				
516	0.0				
517	0.004				
518	0.0				
519	0.002				
520	0.0				
521	0.0				
522	0.0				
523	0.001				
524	0.0				
525	0.002				
526	0.0				
527	0.0				
528	0.002				
529	0.0				
530	0.0				
531	0.0				
532	0.001				
533	0.0				
534	0.001				
535	0.002				
536	0.0				
537	0.0				
538	0.0				
539	0.002				
540	0.004				
541	0.003				
542	0.0				
543	0.0				
544	0.002				
545	0.0				
546	0.007				
547	0.005				
548	0.0				
549	0.002				
550	0.0				
551	0.0				
552	0.0				
553	0.0				
554	0.003				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	0.003				
560	0.014				
561	0.097				
562	0.376				
563	0.213				
564	0.074				
565	0.051				
566	0.051				
567	0.058				
568	0.085				
569	0.134				
570	0.236				
571	0.477				
572	1.138				
573	3.225				
574	10.729				
575	31.165				
576	52.044				
577	53.861				
578	53.281				
579	57.025				
580	61.723				
581	63.929				
582	64.198				
583	64.599				
584	66.344				
585	69.328				
586	72.287				
587	74.277				
588	74.887				
589	74.979				
590	75.02				
591	75.566				
592	76.24				
593	76.862				
594	76.678				
595	75.928				
596	74.829				
597	73.863				
598	73.438				
599	73.636				
600	74.161				
601	75.006				
602	75.722				
603	76.273				
604	76.516				
605	76.748				
606	76.709				
607	76.735				
608	76.571				
609	76.211				
610	75.529				
611	74.646				
612	73.46				
613	71.782				
614	69.317				
615	65.222				
616	59.225				
617	51.388				
618	42.61				
619	33.887				
620	26.16				
621	19.838				
622	14.901				
623	11.076				
624	8.105				
625	5.86				
626	4.183				
627	2.928				
628	2.01				
629	1.362				
630	0.917				
631	0.609				
632	0.401				
633	0.269				
634	0.182				
635	0.125				
636	0.082				
637	0.058				
638	0.039				
639	0.03				
640	0.022				
641	0.016				
642	0.013				
643	0.009				
644	0.006				
645	0.005				
646	0.002				
647	0.005				
648	0.005				
649	0.002				
650	0.003				
651	0.0				
652	0.0				
653	0.003				
654	0.001				
655	0.0				
656	0.0				
657	0.003				
658	0.0				
659	0.006				
660	0.0				
661	0.001				
662	0.0				
663	0.0				
664	0.0				
665	0.004				
666	0.0				
667	0.001				
668	0.0				
669	0.0				
670	0.0				
671	0.0				
672	0.0				
673	0.001				
674	0.001				
675	0.005				
676	0.002				
677	0.0				
678	0.0				
679	0.0				
680	0.003				
