Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.005		Omega	740CFSP-19MM Shortpass	W2809
301	0.0				
302	0.001				
303	0.001				
304	0.001				
305	0.002				
306	0.0				
307	0.001				
308	0.0				
309	0.003				
310	0.004				
311	0.003				
312	0.01				
313	0.022				
314	0.087				
315	0.365				
316	3.295				
317	24.251				
318	12.576				
319	5.117				
320	6.67				
321	15.369				
322	45.49				
323	63.223				
324	39.395				
325	28.185				
326	29.329				
327	39.734				
328	59.787				
329	78.238				
330	79.388				
331	69.749				
332	63.39				
333	62.955				
334	68.391				
335	75.591				
336	84.352				
337	88.328				
338	90.604				
339	88.449				
340	90.4				
341	89.286				
342	92.214				
343	90.889				
344	93.635				
345	91.722				
346	93.914				
347	92.141				
348	93.529				
349	97.271				
350	97.34				
351	97.807				
352	98.294				
353	98.071				
354	97.856				
355	97.818				
356	97.684				
357	97.99				
358	98.183				
359	98.674				
360	98.537				
361	98.632				
362	98.424				
363	97.873				
364	97.438				
365	97.64				
366	97.699				
367	97.943				
368	98.419				
369	98.765				
370	98.798				
371	98.768				
372	98.463				
373	97.955				
374	97.545				
375	97.252				
376	97.274				
377	97.531				
378	97.881				
379	98.296				
380	98.626				
381	98.676				
382	98.234				
383	97.98				
384	97.29				
385	96.858				
386	96.511				
387	96.543				
388	97.048				
389	97.542				
390	98.043				
391	98.363				
392	98.57				
393	98.619				
394	98.237				
395	97.663				
396	97.174				
397	96.63				
398	96.395				
399	96.542				
400	96.728				
401	97.271				
402	97.907				
403	98.402				
404	98.657				
405	98.74				
406	98.566				
407	98.035				
408	97.578				
409	97.099				
410	96.603				
411	96.536				
412	96.563				
413	96.988				
414	97.503				
415	98.062				
416	98.656				
417	98.876				
418	98.94				
419	98.789				
420	98.417				
421	97.786				
422	97.276				
423	96.774				
424	96.334				
425	96.076				
426	96.17				
427	96.472				
428	96.982				
429	97.565				
430	98.139				
431	98.743				
432	99.142				
433	99.24				
434	99.178				
435	98.931				
436	98.536				
437	97.985				
438	97.611				
439	97.278				
440	97.095				
441	97.025				
442	97.177				
443	97.488				
444	97.799				
445	98.301				
446	98.7				
447	98.97				
448	99.154				
449	99.174				
450	99.058				
451	98.756				
452	98.388				
453	98.068				
454	97.711				
455	97.397				
456	97.153				
457	97.031				
458	97.094				
459	97.327				
460	97.596				
461	97.968				
462	98.236				
463	98.491				
464	98.825				
465	99.026				
466	99.054				
467	98.872				
468	98.687				
469	98.416				
470	98.121				
471	97.694				
472	97.386				
473	97.252				
474	97.12				
475	97.018				
476	97.02				
477	97.076				
478	97.383				
479	97.552				
480	97.833				
481	98.091				
482	98.342				
