Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
750	0.013		Omega	1065 AGBL Other	W2823
751	0.01				
752	0.011				
753	0.01				
754	0.01				
755	0.009				
756	0.009				
757	0.011				
758	0.01				
759	0.009				
760	0.007				
761	0.008				
762	0.006				
763	0.005				
764	0.008				
765	0.007				
766	0.007				
767	0.006				
768	0.006				
769	0.006				
770	0.008				
771	0.006				
772	0.008				
773	0.01				
774	0.004				
775	0.004				
776	0.005				
777	0.004				
778	0.006				
779	0.005				
780	0.004				
781	0.001				
782	0.004				
783	0.003				
784	0.004				
785	0.005				
786	0.006				
787	0.003				
788	0.002				
789	0.003				
790	0.005				
791	0.003				
792	0.004				
793	0.003				
794	0.006				
795	0.006				
796	0.003				
797	0.002				
798	0.004				
799	0.006				
800	0.003				
801	0.003				
802	0.003				
803	0.003				
804	0.003				
805	0.002				
806	0.005				
807	0.003				
808	0.001				
809	0.005				
810	0.002				
811	0.003				
812	0.002				
813	0.004				
814	0.004				
815	0.001				
816	0.004				
817	0.004				
818	0.004				
819	0.002				
820	0.002				
821	0.002				
822	0.004				
823	0.003				
824	0.004				
825	0.002				
826	0.0				
827	0.005				
828	0.003				
829	0.003				
830	0.003				
831	0.001				
832	0.002				
833	0.005				
834	0.003				
835	0.002				
836	0.002				
837	0.003				
838	0.002				
839	0.004				
840	0.0				
841	0.001				
842	0.005				
843	0.004				
844	0.002				
845	0.002				
846	0.003				
847	0.001				
848	0.004				
849	0.003				
850	0.004				
851	0.0				
852	0.005				
853	0.004				
854	0.001				
855	0.003				
856	0.004				
857	0.003				
858	0.002				
859	0.001				
860	0.006				
861	0.003				
862	0.001				
863	0.004				
864	0.004				
865	0.005				
866	0.003				
867	0.004				
868	0.004				
869	0.002				
870	0.001				
871	0.002				
872	0.003				
873	0.004				
874	0.004				
875	0.004				
876	0.0				
877	0.004				
878	0.003				
879	0.009				
880	0.008				
881	0.0				
882	0.0				
883	0.0				
884	0.004				
885	0.005				
886	0.017				
887	0.018				
888	0.01				
889	0.025				
890	0.039				
891	0.0				
892	0.0				
893	0.038				
894	0.01				
895	0.006				
896	0.001				
897	0.0				
898	0.001				
899	0.0				
900	0.019				
901	0.017				
902	0.019				
903	0.0				
904	0.0				
905	0.024				
906	0.013				
907	0.021				
908	0.016				
909	0.02				
910	0.022				
911	0.016				
912	0.014				
913	0.006				
914	0.0				
915	0.004				
916	0.009				
917	0.01				
918	0.009				
919	0.01				
920	0.0				
921	0.005				
922	0.014				
923	0.003				
924	0.018				
925	0.024				
926	0.024				
927	0.011				
928	0.012				
929	0.016				
930	0.015				
931	0.013				
932	0.019				
933	0.011				
934	0.007				
935	0.029				
936	0.026				
937	0.018				
938	0.032				
939	0.024				
940	0.015				
941	0.026				
942	0.015				
943	0.026				
944	0.036				
945	0.025				
946	0.053				
947	0.035				
948	0.032				
949	0.028				
950	0.041				
951	0.042				
952	0.034				
953	0.065				
954	0.048				
955	0.052				
956	0.059				
957	0.057				
958	0.057				
959	0.063				
960	0.061				
961	0.064				
962	0.074				
963	0.075				
964	0.08				
965	0.084				
966	0.093				
967	0.089				
968	0.096				
969	0.105				
970	0.116				
971	0.107				
972	0.119				
973	0.135				
974	0.14				
975	0.161				
976	0.168				
977	0.174				
978	0.196				
979	0.191				
980	0.212				
981	0.255				
982	0.251				
983	0.265				
984	0.274				
985	0.31				
986	0.336				
987	0.351				
988	0.365				
989	0.421				
990	0.441				
991	0.487				
992	0.51				
993	0.547				
994	0.615				
995	0.656				
996	0.709				
997	0.785				
998	0.851				
999	0.938				
1000	1.0				
1001	1.106				
1002	1.193				
1003	1.306				
1004	1.457				
1005	1.595				
1006	1.772				
1007	1.928				
1008	2.131				
1009	2.347				
1010	2.582				
1011	2.861				
1012	3.168				
1013	3.523				
1014	3.897				
1015	4.336				
1016	4.825				
1017	5.385				
1018	5.988				
1019	6.692				
1020	7.456				
1021	8.319				
1022	9.317				
1023	10.386				
1024	11.602				
1025	12.981				
1026	14.452				
1027	16.077				
1028	17.899				
1029	19.827				
1030	21.932				
1031	24.161				
1032	26.538				
1033	28.972				
1034	31.506				
1035	34.121				
1036	36.674				
1037	39.318				
1038	41.781				
1039	44.226				
1040	46.473				
1041	48.664				
1042	50.564				
1043	52.331				
1044	53.922				
1045	55.294				
1046	56.549				
1047	57.567				
1048	58.545				
1049	59.339				
1050	60.09				
1051	60.69				
1052	61.29				
1053	61.809				
1054	62.311				
1055	62.789				
1056	63.2				
1057	63.671				
1058	64.041				
1059	64.513				
1060	64.89				
1061	65.308				
1062	65.674				
1063	66.049				
1064	66.371				
1065	66.699				
1066	66.952				
1067	67.147				
1068	67.305				
1069	67.327				
1070	67.354				
1071	67.226				
1072	67.068				
1073	66.73				
1074	66.356				
1075	65.865				
1076	65.289				
1077	64.622				
1078	63.851				
1079	63.0				
1080	62.057				
1081	61.071				
1082	59.931				
1083	58.884				
1084	57.649				
1085	56.428				
1086	55.232				
1087	53.945				
1088	52.691				
1089	51.412				
1090	50.224				
1091	48.96				
1092	47.757				
1093	46.518				
1094	45.395				
1095	44.242				
1096	43.148				
1097	42.143				
1098	41.109				
1099	40.159				
1100	39.258				
