Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	1.061		Omega	575DCLPEXTR Dichroic	W2909
401	1.698				
402	2.7				
403	4.69				
404	5.244				
405	3.158				
406	1.654				
407	0.975				
408	0.65				
409	0.455				
410	0.391				
411	0.372				
412	0.388				
413	0.481				
414	0.603				
415	1.062				
416	2.704				
417	4.547				
418	4.69				
419	2.239				
420	0.652				
421	0.327				
422	0.223				
423	0.205				
424	0.2				
425	0.169				
426	0.241				
427	0.562				
428	1.396				
429	2.833				
430	2.597				
431	0.462				
432	0.116				
433	0.053				
434	0.05				
435	0.012				
436	0.069				
437	0.014				
438	0.062				
439	0.07				
440	0.058				
441	0.071				
442	0.037				
443	0.047				
444	0.048				
445	0.058				
446	0.032				
447	0.036				
448	0.053				
449	0.039				
450	0.06				
451	0.034				
452	0.032				
453	0.075				
454	0.049				
455	0.052				
456	0.028				
457	0.014				
458	0.057				
459	0.075				
460	0.035				
461	0.04				
462	0.079				
463	0.023				
464	0.071				
465	0.023				
466	0.056				
467	0.019				
468	0.027				
469	0.011				
470	0.03				
471	0.078				
472	0.027				
473	0.04				
474	0.059				
475	0.034				
476	0.028				
477	0.053				
478	0.067				
479	0.058				
480	0.073				
481	0.065				
482	0.013				
483	0.081				
484	0.04				
485	0.034				
486	0.068				
487	0.027				
488	0.032				
489	0.051				
490	0.036				
491	0.027				
492	0.04				
493	0.05				
494	0.08				
495	0.032				
496	0.023				
497	0.079				
498	0.016				
499	0.014				
500	0.029				
501	0.029				
502	0.039				
503	0.033				
504	0.03				
505	0.0				
506	0.06				
507	0.04				
508	0.111				
509	0.073				
510	0.0				
511	0.037				
512	0.051				
513	0.005				
514	0.042				
515	0.005				
516	0.0				
517	0.0				
518	0.019				
519	0.031				
520	0.024				
521	0.021				
522	0.051				
523	0.046				
524	0.054				
525	0.072				
526	0.058				
527	0.01				
528	0.037				
529	0.033				
530	0.042				
531	0.045				
532	0.037				
533	0.013				
534	0.046				
535	0.039				
536	0.022				
537	0.032				
538	0.075				
539	0.023				
540	0.049				
541	0.026				
542	0.027				
543	0.04				
544	0.085				
545	0.036				
546	0.098				
547	0.056				
548	0.039				
549	0.139				
550	0.002				
551	0.01				
552	0.0				
553	0.125				
554	0.046				
555	0.104				
556	0.059				
557	0.149				
558	0.306				
559	0.197				
560	0.288				
561	0.345				
562	0.593				
563	0.847				
564	1.105				
565	1.818				
566	2.379				
567	3.525				
568	5.18				
569	7.847				
570	12.445				
571	17.873				
572	25.982				
573	36.75				
574	49.965				
575	63.099				
576	76.993				
577	86.632				
578	91.35				
579	94.286				
580	94.938				
581	94.477				
582	94.123				
583	93.999				
584	93.977				
585	94.204				
586	94.526				
587	95.111				
588	95.65				
589	95.76				
590	95.979				
591	95.987				
592	95.733				
593	95.602				
594	95.535				
595	95.239				
596	95.093				
597	95.116				
598	95.046				
599	95.152				
600	95.141				
601	95.191				
602	95.268				
603	95.657				
604	95.621				
605	95.847				
606	95.845				
607	95.714				
608	95.782				
609	95.784				
610	95.81				
611	95.737				
612	95.547				
613	95.681				
614	95.453				
615	95.227				
616	95.162				
617	95.205				
618	95.302				
619	95.148				
620	95.299				
621	95.329				
622	95.369				
623	95.362				
624	95.388				
625	95.648				
626	95.521				
627	95.698				
628	95.898				
629	95.829				
630	95.971				
631	96.246				
632	95.934				
633	95.866				
634	96.11				
635	96.004				
636	96.112				
637	96.066				
638	96.041				
639	96.005				
640	95.737				
641	95.628				
642	95.43				
643	95.796				
644	95.572				
645	95.703				
646	95.56				
647	95.67				
648	95.437				
649	95.651				
650	95.743				
651	95.719				
652	95.77				
653	95.793				
654	95.715				
655	96.055				
656	95.745				
657	95.811				
658	96.092				
659	96.213				
660	96.132				
661	96.268				
662	96.438				
663	96.161				
664	96.219				
665	96.062				
666	96.02				
667	96.117				
668	95.966				
669	96.198				
670	95.643				
671	95.807				
672	95.57				
673	95.665				
674	95.659				
675	95.593				
676	95.35				
677	95.476				
678	95.655				
679	95.424				
680	95.653				
681	95.542				
682	95.636				
683	95.82				
684	95.588				
685	95.834				
686	95.855				
687	95.899				
688	96.104				
689	96.269				
690	96.018				
691	96.424				
692	96.228				
693	96.125				
694	96.12				
695	96.403				
696	96.279				
697	96.143				
698	96.243				
699	95.973				
700	95.868				
