Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
510	0.0		Omega	610AF70 Bandpass	W2934
511	0.0				
512	0.0				
513	0.0				
514	0.0				
515	0.0				
516	0.0				
517	0.0				
518	0.0				
519	0.0				
520	0.0				
521	0.0				
522	0.0				
523	0.0				
524	0.0				
525	0.0				
526	0.0				
527	0.0				
528	0.0				
529	0.0				
530	0.0				
531	0.0				
532	0.0				
533	0.0				
534	0.0				
535	0.0				
536	0.0				
537	0.0				
538	0.0				
539	0.0				
540	0.0				
541	0.0				
542	0.0				
543	0.0				
544	0.0				
545	0.0				
546	0.0				
547	0.0				
548	0.0				
549	0.0				
550	0.0				
551	0.0				
552	0.0				
553	0.0				
554	0.0				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	0.0				
561	0.001				
562	0.004				
563	0.007				
564	0.011				
565	0.019				
566	0.033				
567	0.06				
568	0.114				
569	0.216				
570	0.526				
571	1.316				
572	3.619				
573	10.592				
574	27.942				
575	54.292				
576	73.26				
577	80.808				
578	83.56				
579	84.672				
580	84.763				
581	84.13				
582	83.444				
583	82.855				
584	82.422				
585	82.242				
586	82.074				
587	82.134				
588	81.897				
589	81.75				
590	81.649				
591	81.604				
592	81.556				
593	81.914				
594	82.264				
595	82.842				
596	83.532				
597	83.933				
598	84.53				
599	85.01				
600	85.214				
601	85.451				
602	85.405				
603	85.401				
604	85.095				
605	84.717				
606	84.472				
607	84.246				
608	84.227				
609	84.155				
610	84.284				
611	84.577				
612	84.555				
613	84.518				
614	84.491				
615	84.312				
616	83.801				
617	83.594				
618	83.217				
619	83.065				
620	83.2				
621	83.036				
622	83.019				
623	82.816				
624	82.533				
625	81.886				
626	81.435				
627	80.872				
628	80.892				
629	81.09				
630	81.479				
631	81.826				
632	82.184				
633	82.193				
634	81.907				
635	81.503				
636	81.254				
637	81.085				
638	81.018				
639	80.204				
640	78.788				
641	77.088				
642	76.206				
643	76.233				
644	74.871				
645	66.282				
646	46.193				
647	22.676				
648	8.183				
649	2.511				
650	0.764				
651	0.248				
652	0.088				
653	0.034				
654	0.014				
655	0.006				
656	0.003				
657	0.001				
658	0.001				
659	0.0				
660	0.0				
661	0.0				
662	0.0				
663	0.0				
664	0.0				
665	0.0				
666	0.0				
667	0.0				
668	0.0				
669	0.0				
670	0.0				
671	0.0				
672	0.0				
673	0.0				
674	0.0				
675	0.0				
676	0.0				
677	0.0				
678	0.0				
679	0.0				
680	0.0				
681	0.0				
682	0.0				
683	0.0				
684	0.0				
685	0.0				
686	0.0				
687	0.0				
688	0.0				
689	0.0				
690	0.0				
691	0.0				
692	0.0				
693	0.0				
694	0.0				
695	0.0				
696	0.0				
697	0.0				
698	0.0				
699	0.0				
700	0.0				
701	0.0				
702	0.0				
703	0.0				
704	0.0				
705	0.0				
706	0.0				
707	0.0				
708	0.0				
709	0.0				
710	0.0				
