Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
440	0.0		Omega	542.5AF55 Bandpass	W3053
441	0.0				
442	0.0				
443	0.003				
444	0.0				
445	0.0				
446	0.0				
447	0.002				
448	0.0				
449	0.0				
450	0.0				
451	0.0				
452	0.0				
453	0.0				
454	0.003				
455	0.0				
456	0.0				
457	0.0				
458	0.0				
459	0.0				
460	0.0				
461	0.0				
462	0.002				
463	0.0				
464	0.0				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	0.002				
470	0.0				
471	0.0				
472	0.0				
473	0.002				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.002				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	0.0				
498	0.0				
499	0.0				
500	0.0				
501	0.0				
502	0.0				
503	0.0				
504	0.002				
505	0.0				
506	0.003				
507	0.0				
508	0.0				
509	0.0				
510	0.0				
511	0.0				
512	0.004				
513	0.02				
514	0.131				
515	1.049				
516	11.578				
517	51.046				
518	64.053				
519	75.29				
520	79.296				
521	77.618				
522	79.978				
523	80.124				
524	78.11				
525	78.381				
526	80.056				
527	80.273				
528	80.178				
529	81.612				
530	83.536				
531	82.487				
532	78.619				
533	75.614				
534	75.825				
535	78.633				
536	81.143				
537	80.818				
538	78.592				
539	76.779				
540	76.591				
541	77.299				
542	77.434				
543	76.426				
544	75.329				
545	75.571				
546	77.61				
547	80.744				
548	83.236				
549	83.802				
550	82.546				
551	80.69				
552	79.378				
553	78.625				
554	78.102				
555	77.143				
556	75.944				
557	75.0				
558	74.917				
559	76.049				
560	77.872				
561	79.891				
562	81.029				
563	80.937				
564	79.81				
565	78.492				
566	77.309				
567	75.767				
568	71.202				
569	59.474				
570	40.417				
571	22.474				
572	10.958				
573	5.165				
574	2.499				
575	1.239				
576	0.643				
577	0.342				
578	0.193				
579	0.109				
580	0.06				
581	0.04				
582	0.026				
583	0.009				
584	0.007				
585	0.004				
586	0.001				
587	0.003				
588	0.002				
589	0.004				
590	0.0				
591	0.0				
592	0.001				
593	0.0				
594	0.0				
595	0.0				
596	0.001				
597	0.0				
598	0.001				
599	0.0				
600	0.0				
601	0.0				
602	0.001				
603	0.0				
604	0.0				
605	0.0				
606	0.0				
607	0.003				
608	0.0				
609	0.0				
610	0.0				
611	0.0				
612	0.0				
613	0.0				
614	0.0				
615	0.0				
616	0.005				
617	0.0				
618	0.0				
619	0.0				
620	0.0				
621	0.0				
622	0.002				
623	0.0				
624	0.0				
625	0.0				
626	0.0				
627	0.0				
628	0.001				
629	0.0				
630	0.0				
631	0.0				
632	0.0				
633	0.001				
634	0.002				
635	0.0				
636	0.0				
637	0.001				
638	0.0				
639	0.001				
640	0.0				
