Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	28.746		Omega	505SP Shortpass	W3275
351	31.883				
352	32.6				
353	32.567				
354	34.285				
355	39.294				
356	46.688				
357	53.461				
358	57.072				
359	57.633				
360	59.421				
361	63.33				
362	68.12				
363	69.038				
364	64.406				
365	57.333				
366	52.666				
367	51.817				
368	55.887				
369	64.164				
370	74.442				
371	81.946				
372	83.494				
373	80.277				
374	77.156				
375	76.453				
376	77.356				
377	76.575				
378	70.528				
379	60.184				
380	48.873				
381	39.806				
382	33.695				
383	30.238				
384	28.811				
385	29.24				
386	31.062				
387	34.242				
388	38.31				
389	42.986				
390	47.642				
391	52.012				
392	56.046				
393	60.105				
394	64.444				
395	69.492				
396	75.137				
397	80.933				
398	86.486				
399	90.79				
400	93.714				
401	95.064				
402	95.548				
403	95.325				
404	95.162				
405	95.171				
406	95.186				
407	95.374				
408	95.399				
409	95.586				
410	95.32				
411	95.264				
412	95.291				
413	95.47				
414	95.42				
415	95.66				
416	95.647				
417	95.739				
418	95.626				
419	95.503				
420	95.466				
421	95.334				
422	95.273				
423	95.294				
424	95.428				
425	95.5				
426	95.595				
427	95.551				
428	95.554				
429	95.45				
430	95.483				
431	95.348				
432	95.266				
433	95.378				
434	95.464				
435	95.585				
436	95.649				
437	95.676				
438	95.691				
439	95.69				
440	95.63				
441	95.592				
442	95.372				
443	95.34				
444	95.221				
445	95.218				
446	95.312				
447	95.263				
448	95.291				
449	95.32				
450	95.359				
451	95.568				
452	95.569				
453	95.679				
454	95.676				
455	95.798				
456	95.691				
457	95.71				
458	95.644				
459	95.547				
460	95.497				
461	95.43				
462	95.331				
463	95.333				
464	95.368				
465	95.455				
466	95.475				
467	95.448				
468	95.514				
469	95.457				
470	95.331				
471	95.288				
472	95.119				
473	95.041				
474	94.947				
475	95.026				
476	95.105				
477	95.175				
478	95.417				
479	95.634				
480	95.681				
481	95.756				
482	95.879				
483	95.806				
484	95.697				
485	95.556				
486	95.488				
487	95.424				
488	95.508				
489	95.532				
490	95.603				
491	95.706				
492	95.638				
493	95.414				
494	95.231				
495	95.042				
496	94.956				
497	95.007				
498	95.338				
499	95.646				
500	95.011				
501	92.415				
502	86.472				
503	76.335				
504	63.075				
505	49.172				
506	36.43				
507	26.298				
508	18.833				
509	13.54				
510	9.851				
511	7.299				
512	5.531				
513	4.281				
514	3.398				
515	2.739				
516	2.266				
517	1.905				
518	1.642				
519	1.435				
520	1.28				
521	1.165				
522	1.075				
523	1.008				
524	0.962				
525	0.932				
526	0.914				
527	0.91				
528	0.921				
529	0.929				
530	0.943				
531	0.96				
532	0.976				
533	0.979				
534	0.957				
535	0.915				
536	0.856				
537	0.787				
538	0.698				
539	0.619				
540	0.546				
541	0.477				
542	0.423				
543	0.372				
544	0.335				
545	0.304				
546	0.277				
547	0.26				
548	0.242				
549	0.234				
550	0.224				
551	0.217				
552	0.218				
553	0.222				
554	0.228				
555	0.235				
556	0.246				
557	0.257				
558	0.269				
559	0.277				
560	0.281				
561	0.277				
562	0.272				
563	0.254				
564	0.227				
565	0.206				
566	0.185				
567	0.159				
568	0.139				
569	0.119				
570	0.105				
571	0.092				
572	0.081				
573	0.077				
574	0.068				
575	0.064				
576	0.057				
577	0.058				
578	0.051				
579	0.051				
580	0.05				
581	0.052				
582	0.051				
583	0.053				
584	0.054				
585	0.063				
586	0.063				
587	0.069				
588	0.071				
589	0.086				
590	0.097				
591	0.099				
592	0.115				
593	0.122				
594	0.126				
595	0.124				
596	0.121				
597	0.111				
598	0.096				
599	0.085				
600	0.069				
601	0.062				
602	0.053				
603	0.045				
604	0.043				
605	0.037				
606	0.032				
607	0.031				
608	0.024				
609	0.024				
610	0.023				
611	0.024				
612	0.021				
613	0.023				
614	0.027				
615	0.022				
616	0.024				
617	0.027				
618	0.03				
619	0.033				
620	0.039				
621	0.046				
622	0.057				
623	0.075				
624	0.103				
625	0.148				
626	0.218				
627	0.286				
628	0.293				
629	0.245				
630	0.171				
631	0.106				
632	0.067				
633	0.048				
634	0.034				
635	0.02				
636	0.017				
637	0.011				
638	0.009				
639	0.008				
640	0.006				
641	0.008				
642	0.007				
643	0.005				
644	0.006				
645	0.002				
646	0.0				
647	0.002				
648	0.001				
649	0.001				
650	0.002				
651	0.002				
652	0.0				
653	0.0				
654	0.0				
655	0.001				
656	0.0				
657	0.002				
658	0.001				
659	0.0				
660	0.001				
661	0.002				
662	0.0				
663	0.001				
664	0.0				
665	0.001				
666	0.002				
667	0.002				
668	0.0				
669	0.003				
670	0.0				
671	0.001				
672	0.003				
673	0.001				
674	0.001				
675	0.0				
676	0.002				
677	0.004				
678	0.003				
679	0.002				
680	0.003				
681	0.004				
682	0.004				
683	0.004				
684	0.007				
685	0.004				
686	0.005				
687	0.006				
688	0.012				
689	0.01				
690	0.012				
691	0.014				
692	0.024				
693	0.032				
694	0.045				
695	0.07				
696	0.105				
697	0.157				
698	0.222				
699	0.256				
700	0.226				
701	0.178				
702	0.123				
703	0.086				
704	0.065				
705	0.047				
706	0.035				
707	0.03				
708	0.023				
709	0.023				
710	0.019				
711	0.016				
712	0.014				
713	0.012				
714	0.012				
715	0.015				
716	0.011				
717	0.01				
718	0.009				
719	0.009				
720	0.006				
721	0.007				
722	0.008				
723	0.01				
724	0.009				
725	0.008				
726	0.01				
727	0.003				
728	0.007				
729	0.008				
730	0.01				
731	0.011				
732	0.011				
733	0.009				
734	0.01				
735	0.012				
736	0.011				
737	0.01				
738	0.012				
739	0.015				
740	0.015				
741	0.015				
742	0.019				
743	0.02				
744	0.023				
745	0.023				
746	0.029				
747	0.034				
748	0.036				
749	0.039				
750	0.049				
