Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	77.622		Omega	280nm Filter Dichroic	W3288
301	76.919				
302	76.384				
303	76.244				
304	76.788				
305	77.371				
306	78.752				
307	80.63				
308	82.532				
309	84.05				
310	85.912				
311	87.283				
312	88.227				
313	88.308				
314	87.97				
315	86.967				
316	85.963				
317	84.007				
318	82.096				
319	80.691				
320	79.547				
321	78.777				
322	78.511				
323	78.779				
324	79.383				
325	80.259				
326	81.429				
327	83.054				
328	84.867				
329	85.992				
330	87.372				
331	88.398				
332	89.459				
333	90.036				
334	90.222				
335	90.242				
336	89.965				
337	89.658				
338	89.304				
339	89.236				
340	88.981				
341	88.82				
342	88.947				
343	89.204				
344	89.205				
345	89.227				
346	89.044				
347	88.901				
348	88.172				
349	87.351				
350	86.625				
351	85.4				
352	84.259				
353	82.652				
354	81.496				
355	80.765				
356	79.916				
357	79.23				
358	78.821				
359	78.832				
360	79.114				
361	79.714				
362	80.561				
363	81.868				
364	83.44				
365	84.818				
366	86.913				
367	88.428				
368	90.255				
369	92.012				
370	92.929				
371	93.815				
372	94.109				
373	93.951				
374	93.316				
375	92.177				
376	91.141				
377	89.338				
378	87.723				
379	85.74				
380	83.874				
381	82.876				
382	81.018				
383	80.345				
384	79.217				
385	78.595				
386	78.181				
387	78.05				
388	78.079				
389	78.465				
390	79.126				
391	79.881				
392	80.862				
393	81.875				
394	83.15				
395	84.636				
396	85.748				
397	86.892				
398	88.243				
399	89.02				
400	90.128				
401	90.816				
402	91.142				
403	91.521				
404	91.758				
405	91.809				
406	91.752				
407	91.356				
408	91.107				
409	90.523				
410	90.221				
411	89.757				
412	89.402				
413	88.874				
414	88.481				
415	87.995				
416	87.671				
417	87.25				
418	87.084				
419	86.709				
420	86.35				
421	86.056				
422	85.784				
423	85.647				
424	85.378				
425	85.131				
426	84.855				
427	84.388				
428	84.082				
429	83.991				
430	83.588				
431	83.182				
432	82.644				
433	82.288				
434	81.802				
435	81.396				
436	80.855				
437	80.432				
438	79.851				
439	79.355				
440	78.878				
441	78.258				
442	77.698				
443	77.108				
444	76.499				
445	75.995				
446	75.406				
447	74.841				
448	74.391				
449	74.011				
450	73.827				
451	73.547				
452	73.587				
453	73.602				
454	73.753				
455	74.04				
456	74.33				
457	74.983				
458	75.835				
459	76.735				
460	77.463				
461	78.302				
462	78.945				
463	79.511				
464	79.659				
465	79.397				
466	78.428				
467	76.504				
468	74.413				
469	70.439				
470	65.945				
471	60.67				
472	55.748				
473	50.28				
474	44.256				
475	39.313				
476	33.228				
477	29.582				
478	25.432				
479	22.531				
480	19.274				
481	16.579				
482	14.253				
483	12.3				
484	11.025				
485	9.658				
486	8.499				
487	7.256				
488	6.484				
489	5.956				
490	5.245				
491	4.645				
492	4.298				
493	3.85				
494	3.566				
495	3.188				
496	2.962				
497	2.696				
498	2.501				
499	2.301				
500	2.105				
501	1.963				
502	1.829				
503	1.732				
504	1.587				
505	1.447				
506	1.413				
507	1.336				
508	1.266				
509	1.224				
510	1.167				
511	1.1				
512	1.01				
513	0.996				
514	0.916				
515	0.871				
516	0.803				
517	0.823				
518	0.845				
519	0.741				
520	0.746				
521	0.743				
522	0.67				
523	0.678				
524	0.708				
525	0.672				
526	0.648				
527	0.618				
528	0.607				
529	0.617				
530	0.606				
531	0.592				
532	0.594				
533	0.601				
534	0.596				
535	0.651				
536	0.704				
537	0.603				
538	0.577				
539	0.586				
540	0.582				
541	0.577				
542	0.656				
543	0.685				
544	0.666				
545	0.64				
546	0.685				
547	0.683				
548	0.697				
549	0.719				
550	0.729				
551	0.677				
552	0.725				
553	0.758				
554	0.834				
555	0.708				
556	0.799				
557	0.893				
558	0.92				
559	0.875				
560	0.983				
561	1.068				
562	1.121				
563	1.084				
564	1.195				
565	1.3				
566	1.231				
567	1.295				
568	1.494				
569	1.463				
570	1.588				
571	1.691				
572	1.707				
573	1.78				
574	1.919				
575	2.021				
576	2.216				
577	2.297				
578	2.518				
579	2.658				
580	2.876				
581	3.083				
582	3.45				
583	3.674				
584	3.907				
585	4.374				
586	4.761				
587	5.071				
588	5.342				
589	6.052				
590	6.801				
591	7.298				
592	7.868				
593	8.951				
594	9.978				
595	11.118				
596	12.419				
597	13.905				
598	15.351				
599	17.138				
600	19.096				
