Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
450	39.295		Omega	557DRSP Dichroic	W3342
451	44.51				
452	49.446				
453	56.284				
454	62.091				
455	68.699				
456	72.426				
457	74.385				
458	74.919				
459	74.206				
460	73.698				
461	73.28				
462	73.566				
463	74.534				
464	76.367				
465	78.448				
466	80.871				
467	84.551				
468	88.023				
469	89.933				
470	92.042				
471	92.906				
472	92.689				
473	90.332				
474	87.979				
475	85.36				
476	83.484				
477	81.149				
478	78.964				
479	77.896				
480	77.048				
481	76.265				
482	76.427				
483	76.333				
484	76.25				
485	76.499				
486	76.588				
487	76.617				
488	76.29				
489	76.16				
490	75.887				
491	75.439				
492	75.278				
493	75.068				
494	74.985				
495	75.519				
496	76.081				
497	76.665				
498	77.391				
499	78.633				
500	79.421				
501	80.612				
502	81.783				
503	82.447				
504	83.135				
505	83.439				
506	83.703				
507	83.699				
508	83.39				
509	82.92				
510	82.778				
511	82.393				
512	82.17				
513	82.226				
514	82.286				
515	82.787				
516	83.324				
517	84.336				
518	85.508				
519	86.612				
520	87.801				
521	88.527				
522	89.679				
523	90.81				
524	91.487				
525	91.922				
526	92.08				
527	92.034				
528	91.923				
529	91.67				
530	91.267				
531	90.722				
532	90.616				
533	90.274				
534	90.005				
535	89.825				
536	89.902				
537	89.869				
538	90.022				
539	90.396				
540	90.612				
541	90.499				
542	89.865				
543	89.166				
544	87.939				
545	85.815				
546	83.798				
547	81.115				
548	77.642				
549	73.217				
550	68.763				
551	63.667				
552	58.322				
553	52.834				
554	46.686				
555	40.382				
556	35.879				
557	32.296				
558	27.802				
559	24.45				
560	20.199				
561	17.398				
562	15.333				
563	13.415				
564	11.738				
565	10.283				
566	8.863				
567	7.52				
568	6.752				
569	6.329				
570	5.782				
571	5.117				
572	4.75				
573	4.698				
574	4.237				
575	3.903				
576	3.581				
577	3.494				
578	3.284				
579	3.165				
580	2.958				
581	3.011				
582	2.677				
583	2.582				
584	2.667				
585	3.028				
586	2.787				
587	2.497				
588	2.867				
589	2.643				
590	2.635				
591	2.927				
592	2.76				
593	3.189				
594	3.367				
595	3.551				
596	3.837				
597	4.105				
598	4.563				
599	4.757				
600	5.213				
601	5.598				
602	6.517				
603	7.134				
604	8.109				
605	9.104				
606	10.488				
607	11.891				
608	13.236				
609	16.102				
610	18.317				
611	21.65				
612	25.688				
613	29.332				
614	33.365				
615	38.062				
616	43.052				
617	48.497				
618	52.481				
619	56.686				
620	59.961				
621	64.419				
622	68.851				
623	72.456				
624	75.458				
625	77.372				
626	77.439				
627	75.981				
628	72.419				
629	68.212				
630	62.94				
631	58.559				
632	54.716				
633	51.263				
634	49.632				
635	48.14				
636	46.535				
637	46.924				
638	47.039				
639	47.167				
640	48.17				
641	49.08				
642	50.672				
643	51.58				
644	54.572				
645	56.706				
646	59.304				
647	61.71				
648	64.844				
649	68.077				
650	71.272				
651	75.026				
652	77.955				
653	81.094				
654	83.647				
655	86.954				
656	89.004				
657	90.7				
658	92.994				
659	93.391				
660	93.624				
661	93.322				
662	92.292				
663	91.935				
664	89.884				
665	88.254				
666	87.353				
667	85.685				
668	84.318				
669	83.494				
670	82.88				
671	82.228				
672	81.821				
673	82.046				
674	82.1				
675	82.12				
676	82.528				
677	83.458				
678	84.358				
679	84.884				
680	85.907				
681	86.975				
682	88.05				
683	89.644				
684	90.039				
685	91.637				
686	92.77				
687	93.41				
688	94.019				
689	94.505				
690	94.301				
691	94.0				
692	93.982				
693	93.623				
694	92.795				
695	92.407				
696	90.945				
697	89.765				
698	88.786				
699	87.779				
700	86.456				
