Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
450	48.936		Omega	ND 0.3 Neutral Density	W3390
451	49.189				
452	49.434				
453	49.663				
454	49.881				
455	50.088				
456	50.26				
457	50.428				
458	50.562				
459	50.674				
460	50.765				
461	50.833				
462	50.888				
463	50.915				
464	50.928				
465	50.918				
466	50.894				
467	50.858				
468	50.822				
469	50.774				
470	50.708				
471	50.651				
472	50.572				
473	50.505				
474	50.426				
475	50.353				
476	50.273				
477	50.2				
478	50.117				
479	50.041				
480	49.958				
481	49.882				
482	49.81				
483	49.731				
484	49.661				
485	49.585				
486	49.516				
487	49.453				
488	49.387				
489	49.324				
490	49.273				
491	49.213				
492	49.164				
493	49.117				
494	49.063				
495	49.02				
496	48.973				
497	48.936				
498	48.897				
499	48.863				
500	48.823				
501	48.795				
502	48.754				
503	48.742				
504	48.713				
505	48.7				
506	48.679				
507	48.668				
508	48.658				
509	48.651				
510	48.655				
511	48.657				
512	48.662				
513	48.664				
514	48.67				
515	48.684				
516	48.693				
517	48.708				
518	48.727				
519	48.746				
520	48.768				
521	48.78				
522	48.81				
523	48.843				
524	48.871				
525	48.903				
526	48.936				
527	48.972				
528	49.009				
529	49.054				
530	49.086				
531	49.122				
532	49.168				
533	49.205				
534	49.238				
535	49.263				
536	49.299				
537	49.32				
538	49.349				
539	49.373				
540	49.386				
541	49.405				
542	49.409				
543	49.418				
544	49.421				
545	49.424				
546	49.412				
547	49.408				
548	49.394				
549	49.39				
550	49.372				
551	49.357				
552	49.338				
553	49.311				
554	49.297				
555	49.264				
556	49.229				
557	49.183				
558	49.144				
559	49.094				
560	49.041				
561	48.985				
562	48.915				
563	48.846				
564	48.767				
565	48.691				
566	48.611				
567	48.521				
568	48.437				
569	48.331				
570	48.243				
571	48.139				
572	48.046				
573	47.941				
574	47.844				
575	47.738				
576	47.643				
577	47.532				
578	47.434				
579	47.328				
580	47.237				
581	47.138				
582	47.051				
583	46.951				
584	46.863				
585	46.779				
586	46.71				
587	46.63				
588	46.571				
589	46.506				
590	46.455				
591	46.407				
592	46.365				
593	46.338				
594	46.316				
595	46.299				
596	46.286				
597	46.271				
598	46.272				
599	46.267				
600	46.273				
601	46.276				
602	46.28				
603	46.298				
604	46.309				
605	46.326				
606	46.338				
607	46.354				
608	46.372				
609	46.39				
610	46.406				
611	46.425				
612	46.438				
613	46.451				
614	46.472				
615	46.476				
616	46.496				
617	46.501				
618	46.503				
619	46.507				
620	46.501				
621	46.494				
622	46.494				
623	46.478				
624	46.462				
625	46.442				
626	46.417				
627	46.389				
628	46.357				
629	46.322				
630	46.283				
631	46.241				
632	46.203				
633	46.155				
634	46.106				
635	46.058				
636	46.004				
637	45.952				
638	45.895				
639	45.842				
640	45.795				
641	45.742				
642	45.688				
643	45.636				
644	45.586				
645	45.541				
646	45.504				
647	45.456				
648	45.42				
649	45.382				
650	45.35				
651	45.319				
652	45.305				
653	45.281				
654	45.266				
655	45.251				
656	45.242				
657	45.24				
658	45.236				
659	45.247				
660	45.259				
661	45.278				
662	45.295				
663	45.323				
664	45.358				
665	45.392				
666	45.438				
667	45.489				
668	45.548				
669	45.609				
670	45.68				
671	45.758				
672	45.841				
673	45.923				
674	46.016				
675	46.116				
676	46.217				
677	46.322				
678	46.428				
679	46.534				
680	46.647				
681	46.753				
682	46.869				
683	46.976				
684	47.084				
685	47.195				
686	47.301				
687	47.404				
688	47.501				
689	47.597				
690	47.687				
691	47.775				
692	47.863				
693	47.942				
694	48.018				
695	48.085				
696	48.148				
697	48.208				
698	48.259				
699	48.314				
700	48.358				
701	48.399				
702	48.429				
703	48.463				
704	48.48				
705	48.499				
706	48.511				
707	48.509				
708	48.517				
709	48.513				
710	48.501				
711	48.49				
712	48.467				
713	48.437				
714	48.41				
715	48.374				
716	48.334				
717	48.3				
718	48.245				
719	48.192				
720	48.135				
721	48.069				
722	48.015				
723	47.948				
724	47.879				
725	47.806				
726	47.735				
727	47.656				
728	47.576				
729	47.49				
730	47.41				
731	47.318				
732	47.236				
733	47.142				
734	47.043				
735	46.947				
736	46.851				
737	46.743				
738	46.642				
739	46.544				
740	46.441				
741	46.337				
742	46.23				
743	46.122				
744	46.009				
745	45.901				
746	45.794				
747	45.672				
748	45.558				
749	45.451				
750	45.337				
