Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
920	0.0		Omega	967DF12.5 Bandpass	W3429
921	0.0				
922	0.0				
923	0.0				
924	0.0				
925	0.0				
926	0.0				
927	0.0				
928	0.0				
929	0.0				
930	0.0				
931	0.0				
932	0.0				
933	0.0				
934	0.0				
935	0.0				
936	0.0				
937	0.0				
938	0.0				
939	0.0				
940	0.0				
941	0.0				
942	0.0				
943	0.0				
944	0.0				
945	0.0				
946	0.0				
947	0.0				
948	0.0				
949	0.0				
950	0.0				
951	0.0				
952	0.0				
953	0.0				
954	0.0				
955	0.233				
956	0.934				
957	2.159				
958	4.412				
959	8.795				
960	15.616				
961	27.044				
962	43.162				
963	59.088				
964	72.798				
965	82.011				
966	85.4				
967	85.876				
968	84.414				
969	81.457				
970	76.306				
971	67.139				
972	55.672				
973	42.054				
974	28.088				
975	17.516				
976	10.324				
977	5.752				
978	3.005				
979	1.565				
980	0.622				
981	0.073				
982	0.0				
983	0.0				
984	0.0				
985	0.0				
986	0.0				
987	0.0				
988	0.0				
989	0.0				
990	0.0				
991	0.0				
992	0.0				
993	0.0				
994	0.0				
995	0.0				
996	0.0				
997	0.0				
998	0.0				
999	0.0				
1000	0.0				
1001	0.0				
1002	0.0				
1003	0.0				
1004	0.0				
1005	0.0				
1006	0.0				
1007	0.0				
1008	0.0				
1009	0.0				
1010	0.0				
1011	0.0				
1012	0.0				
1013	0.0				
1014	0.0				
1015	0.0				
1016	0.0				
1017	0.0				
1018	0.0				
1019	0.0				
1020	0.0				
