Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
650	0.0		Omega	750AF40-EM Bandpass	W3476
651	0.0				
652	0.0				
653	0.0				
654	0.0				
655	0.0				
656	0.0				
657	0.0				
658	0.0				
659	0.0				
660	0.0				
661	0.0				
662	0.0				
663	0.0				
664	0.0				
665	0.0				
666	0.0				
667	0.0				
668	0.0				
669	0.0				
670	0.0				
671	0.0				
672	0.0				
673	0.0				
674	0.0				
675	0.0				
676	0.0				
677	0.0				
678	0.0				
679	0.0				
680	0.0				
681	0.0				
682	0.0				
683	0.0				
684	0.0				
685	0.0				
686	0.0				
687	0.0				
688	0.0				
689	0.0				
690	0.0				
691	0.0				
692	0.0				
693	0.0				
694	0.0				
695	0.0				
696	0.0				
697	0.0				
698	0.0				
699	0.0				
700	0.0				
701	0.0				
702	0.0				
703	0.0				
704	0.0				
705	0.0				
706	0.0				
707	0.002				
708	0.009				
709	0.021				
710	0.041				
711	0.072				
712	0.119				
713	0.188				
714	0.295				
715	0.462				
716	0.706				
717	1.113				
718	1.515				
719	2.397				
720	3.428				
721	4.92				
722	7.01				
723	9.953				
724	13.832				
725	18.707				
726	24.241				
727	30.174				
728	36.014				
729	41.462				
730	46.58				
731	51.443				
732	56.316				
733	61.198				
734	65.533				
735	69.811				
736	73.863				
737	76.975				
738	79.097				
739	79.876				
740	80.03				
741	79.643				
742	79.288				
743	79.356				
744	79.748				
745	80.487				
746	81.589				
747	82.73				
748	83.675				
749	84.378				
750	84.276				
751	83.738				
752	82.536				
753	80.902				
754	78.863				
755	76.547				
756	74.443				
757	72.756				
758	71.938				
759	71.793				
760	72.394				
761	73.175				
762	74.326				
763	75.5				
764	76.454				
765	76.561				
766	75.369				
767	72.102				
768	66.012				
769	57.124				
770	46.301				
771	34.672				
772	24.167				
773	16.426				
774	11.177				
775	7.029				
776	4.425				
777	2.73				
778	1.713				
779	1.09				
780	0.7				
781	0.462				
782	0.305				
783	0.206				
784	0.139				
785	0.09				
786	0.06				
787	0.041				
788	0.026				
789	0.015				
790	0.008				
791	0.004				
792	0.0				
793	0.0				
794	0.0				
795	0.0				
796	0.0				
797	0.0				
798	0.0				
799	0.0				
800	0.0				
801	0.0				
802	0.0				
803	0.0				
804	0.0				
805	0.0				
806	0.0				
807	0.0				
808	0.0				
809	0.0				
810	0.0				
811	0.0				
812	0.0				
813	0.0				
814	0.0				
815	0.0				
816	0.0				
817	0.0				
818	0.0				
819	0.0				
820	0.0				
821	0.0				
822	0.0				
823	0.0				
824	0.0				
825	0.0				
826	0.0				
827	0.0				
828	0.0				
829	0.0				
830	0.0				
831	0.0				
832	0.0				
833	0.0				
834	0.0				
835	0.0				
836	0.0				
837	0.0				
838	0.0				
839	0.0				
840	0.0				
841	0.0				
842	0.0				
843	0.0				
844	0.0				
845	0.0				
846	0.0				
847	0.0				
848	0.0				
849	0.0				
850	0.0				
