Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
450	0.0		Omega	525AF45-CY3 X Bandpass	W3509
451	0.0				
452	0.0				
453	0.0				
454	0.0				
455	0.0				
456	0.0				
457	0.0				
458	0.0				
459	0.0				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.0				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.001				
486	0.002				
487	0.003				
488	0.007				
489	0.01				
490	0.017				
491	0.028				
492	0.049				
493	0.092				
494	0.184				
495	0.362				
496	0.678				
497	1.196				
498	2.051				
499	3.67				
500	7.277				
501	15.752				
502	32.297				
503	52.707				
504	65.992				
505	70.696				
506	73.225				
507	76.07				
508	77.743				
509	77.603				
510	76.888				
511	76.672				
512	77.549				
513	78.826				
514	79.564				
515	79.11				
516	77.68				
517	75.714				
518	74.263				
519	73.642				
520	74.056				
521	74.974				
522	76.133				
523	76.907				
524	77.062				
525	76.808				
526	76.179				
527	75.889				
528	75.811				
529	76.306				
530	77.379				
531	78.769				
532	79.868				
533	80.338				
534	80.195				
535	79.239				
536	77.87				
537	76.768				
538	75.601				
539	75.028				
540	74.635				
541	74.308				
542	73.713				
543	71.255				
544	67.225				
545	62.139				
546	48.938				
547	26.909				
548	9.607				
549	2.122				
550	0.277				
551	0.042				
552	0.011				
553	0.004				
554	0.0				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	0.0				
561	0.0				
562	0.0				
563	0.0				
564	0.0				
565	0.0				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	0.0				
571	0.0				
572	0.0				
573	0.0				
574	0.0				
575	0.0				
576	0.0				
577	0.0				
578	0.0				
579	0.0				
580	0.0				
581	0.0				
582	0.0				
583	0.0				
584	0.0				
585	0.0				
586	0.0				
587	0.0				
588	0.0				
589	0.0				
590	0.0				
591	0.0				
592	0.0				
593	0.0				
594	0.0				
595	0.0				
596	0.0				
597	0.0				
598	0.0				
599	0.0				
600	0.0				
