Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Omega	635DCSP Dichroic	W3534
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.011				
328	0.0				
329	0.039				
330	0.0				
331	0.0				
332	0.2				
333	0.297				
334	0.378				
335	0.588				
336	1.1				
337	1.283				
338	1.889				
339	2.53				
340	3.26				
341	4.258				
342	5.33				
343	6.619				
344	7.896				
345	9.53				
346	10.985				
347	12.7				
348	14.77				
349	16.61				
350	18.973				
351	20.943				
352	23.08				
353	24.833				
354	26.673				
355	28.946				
356	31.164				
357	32.97				
358	34.288				
359	35.572				
360	37.272				
361	39.478				
362	41.672				
363	42.87				
364	44.101				
365	45.139				
366	46.44				
367	48.11				
368	49.46				
369	49.773				
370	48.385				
371	46.23				
372	42.366				
373	38.254				
374	35.394				
375	32.271				
376	30.173				
377	28.129				
378	26.411				
379	24.435				
380	22.345				
381	19.438				
382	16.789				
383	14.414				
384	12.141				
385	10.635				
386	9.081				
387	8.101				
388	7.272				
389	6.893				
390	6.798				
391	6.916				
392	7.4				
393	8.287				
394	10.126				
395	11.86				
396	15.561				
397	20.034				
398	27.904				
399	36.177				
400	44.103				
401	49.26				
402	51.949				
403	51.576				
404	49.498				
405	47.34				
406	46.776				
407	47.912				
408	51.031				
409	56.762				
410	62.609				
411	70.119				
412	76.276				
413	82.826				
414	86.461				
415	87.158				
416	86.191				
417	84.19				
418	82.967				
419	82.514				
420	83.506				
421	85.82				
422	87.977				
423	90.716				
424	92.855				
425	93.754				
426	93.318				
427	92.365				
428	90.95				
429	89.558				
430	88.521				
431	88.448				
432	88.963				
433	90.13				
434	91.737				
435	93.576				
436	95.166				
437	95.99				
438	96.13				
439	95.902				
440	95.081				
441	94.171				
442	93.113				
443	92.758				
444	92.236				
445	92.356				
446	93.098				
447	93.951				
448	94.946				
449	95.748				
450	96.42				
451	96.93				
452	96.88				
453	96.414				
454	96.124				
455	95.541				
456	94.992				
457	94.59				
458	94.61				
459	94.692				
460	94.943				
461	95.501				
462	95.824				
463	96.385				
464	96.809				
465	97.003				
466	97.008				
467	96.876				
468	96.64				
469	96.417				
470	96.098				
471	95.93				
472	95.924				
473	95.789				
474	95.748				
475	96.015				
476	96.3				
477	96.472				
478	96.675				
479	96.996				
480	97.093				
481	97.104				
482	97.015				
483	96.916				
484	96.684				
485	96.631				
486	96.407				
487	96.38				
488	96.363				
489	96.383				
490	96.434				
491	96.603				
492	96.897				
493	96.98				
494	96.974				
495	97.232				
496	97.21				
497	97.073				
498	97.156				
499	96.959				
500	96.942				
501	96.815				
502	96.824				
503	96.655				
504	96.682				
505	96.782				
506	96.9				
507	97.142				
508	97.171				
509	97.362				
510	97.452				
511	97.417				
512	97.495				
513	97.578				
514	97.476				
515	97.244				
516	97.096				
517	96.954				
518	96.783				
519	96.756				
520	96.654				
521	96.673				
522	96.748				
523	96.921				
524	96.918				
525	97.25				
526	97.428				
527	97.58				
528	97.804				
529	97.796				
530	97.918				
531	97.93				
532	97.783				
533	97.604				
534	97.368				
535	97.337				
536	97.106				
537	96.866				
538	96.718				
539	96.528				
540	96.549				
541	96.683				
542	96.603				
543	96.751				
544	97.027				
545	97.132				
546	97.349				
