Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	0.004		Omega	590ALP Longpass	W3608
401	0.0				
402	0.0				
403	0.003				
404	0.002				
405	0.0				
406	0.0				
407	0.001				
408	0.002				
409	0.001				
410	0.003				
411	0.002				
412	0.002				
413	0.002				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.001				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.002				
425	0.002				
426	0.0				
427	0.001				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	0.0				
434	0.001				
435	0.0				
436	0.0				
437	0.001				
438	0.0				
439	0.0				
440	0.002				
441	0.0				
442	0.004				
443	0.0				
444	0.0				
445	0.0				
446	0.003				
447	0.0				
448	0.0				
449	0.0				
450	0.0				
451	0.0				
452	0.007				
453	0.003				
454	0.003				
455	0.001				
456	0.0				
457	0.0				
458	0.003				
459	0.0				
460	0.004				
461	0.0				
462	0.0				
463	0.0				
464	0.004				
465	0.0				
466	0.001				
467	0.001				
468	0.003				
469	0.0				
470	0.001				
471	0.001				
472	0.0				
473	0.003				
474	0.0				
475	0.002				
476	0.0				
477	0.002				
478	0.004				
479	0.002				
480	0.0				
481	0.0				
482	0.001				
483	0.0				
484	0.0				
485	0.004				
486	0.0				
487	0.006				
488	0.0				
489	0.002				
490	0.004				
491	0.0				
492	0.0				
493	0.002				
494	0.0				
495	0.006				
496	0.001				
497	0.006				
498	0.002				
499	0.0				
500	0.002				
501	0.001				
502	0.0				
503	0.0				
504	0.0				
505	0.002				
506	0.0				
507	0.001				
508	0.0				
509	0.0				
510	0.001				
511	0.004				
512	0.0				
513	0.004				
514	0.001				
515	0.002				
516	0.006				
517	0.0				
518	0.001				
519	0.0				
520	0.003				
521	0.0				
522	0.0				
523	0.001				
524	0.002				
525	0.0				
526	0.001				
527	0.0				
528	0.0				
529	0.002				
530	0.0				
531	0.0				
532	0.001				
533	0.001				
534	0.002				
535	0.0				
536	0.0				
537	0.002				
538	0.007				
539	0.0				
540	0.0				
541	0.0				
542	0.0				
543	0.0				
544	0.001				
545	0.0				
546	0.0				
547	0.0				
548	0.0				
549	0.001				
550	0.004				
551	0.002				
552	0.0				
553	0.002				
554	0.0				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	0.0				
561	0.001				
562	0.0				
563	0.0				
564	0.0				
565	0.003				
566	0.0				
567	0.0				
568	0.003				
569	0.001				
570	0.005				
571	0.001				
572	0.0				
573	0.002				
574	0.001				
575	0.002				
576	0.0				
577	0.002				
578	0.002				
579	0.002				
580	0.0				
581	0.005				
582	0.012				
583	0.028				
584	0.063				
585	0.173				
586	0.515				
587	1.717				
588	6.578				
589	26.051				
590	65.642				
591	85.705				
592	85.53				
593	86.861				
594	89.537				
595	90.43				
596	89.899				
597	89.187				
598	89.393				
599	90.382				
600	91.576				
601	92.44				
602	92.623				
603	92.269				
604	91.775				
605	91.378				
606	91.438				
607	91.938				
608	92.584				
609	93.282				
610	93.852				
611	93.955				
612	93.777				
613	93.325				
614	92.786				
