Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
575	0.0		Omega	628AF44/M Bandpass	W3764
576	0.0				
577	0.001				
578	0.001				
579	0.001				
580	0.0				
581	0.0				
582	0.002				
583	0.001				
584	0.001				
585	0.002				
586	0.001				
587	0.003				
588	0.005				
589	0.007				
590	0.01				
591	0.015				
592	0.022				
593	0.032				
594	0.05				
595	0.084				
596	0.142				
597	0.26				
598	0.46				
599	0.784				
600	1.244				
601	1.928				
602	2.954				
603	4.701				
604	7.978				
605	14.291				
606	25.958				
607	42.746				
608	58.418				
609	67.208				
610	70.76				
611	73.138				
612	76.036				
613	78.751				
614	80.957				
615	81.93				
616	82.044				
617	81.485				
618	80.311				
619	78.905				
620	77.691				
621	76.485				
622	75.417				
623	74.566				
624	74.272				
625	74.536				
626	75.2				
627	75.754				
628	76.078				
629	75.802				
630	75.493				
631	75.276				
632	75.239				
633	75.762				
634	76.214				
635	76.244				
636	76.005				
637	75.398				
638	74.979				
639	75.054				
640	75.669				
641	76.185				
642	75.401				
643	72.772				
644	69.066				
645	64.58				
646	57.653				
647	44.048				
648	25.922				
649	12.224				
650	5.331				
651	2.343				
652	1.078				
653	0.519				
654	0.26				
655	0.135				
656	0.076				
657	0.04				
658	0.023				
659	0.014				
660	0.008				
661	0.006				
662	0.004				
663	0.003				
664	0.002				
665	0.003				
666	0.001				
667	0.001				
668	0.0				
669	0.001				
670	0.001				
671	0.0				
672	0.001				
673	0.001				
674	0.0				
675	0.001				
