Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
655	0.435		Omega	685DMLP-OX Dichroic	W3880
656	0.481				
657	0.517				
658	0.39				
659	0.566				
660	0.594				
661	0.577				
662	0.638				
663	0.859				
664	0.966				
665	1.119				
666	1.392				
667	1.768				
668	1.765				
669	2.002				
670	2.493				
671	3.134				
672	3.703				
673	4.858				
674	5.97				
675	7.613				
676	9.108				
677	10.842				
678	13.203				
679	14.903				
680	17.925				
681	20.93				
682	24.312				
683	28.427				
684	32.841				
685	37.373				
686	44.128				
687	48.873				
688	54.612				
689	60.608				
690	66.043				
691	71.066				
692	76.119				
693	80.017				
694	82.184				
695	84.873				
696	87.222				
697	88.925				
698	89.529				
699	89.744				
700	89.474				
701	89.126				
702	89.029				
703	89.215				
704	89.657				
705	90.462				
706	91.328				
707	92.287				
708	93.486				
709	94.397				
710	95.267				
711	95.743				
712	96.383				
713	96.489				
714	96.512				
715	96.281				
716	96.125				
717	96.036				
718	95.643				
719	95.284				
720	95.316				
721	94.654				
722	94.992				
723	94.654				
724	94.698				
725	94.981				
726	95.416				
727	95.527				
728	95.799				
729	96.014				
730	96.175				
