Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	85.008		Omega	545DMSP Dichroic	W3918
401	86.451				
402	87.997				
403	88.73				
404	89.336				
405	89.916				
406	90.138				
407	90.492				
408	90.612				
409	90.767				
410	90.721				
411	90.41				
412	90.626				
413	90.453				
414	90.51				
415	90.717				
416	90.78				
417	90.969				
418	91.561				
419	91.604				
420	91.543				
421	91.681				
422	91.787				
423	92.469				
424	91.971				
425	91.992				
426	92.09				
427	92.092				
428	91.821				
429	92.145				
430	92.15				
431	91.923				
432	91.784				
433	92.066				
434	91.977				
435	92.014				
436	91.906				
437	92.109				
438	92.255				
439	92.337				
440	92.461				
441	92.503				
442	92.744				
443	93.003				
444	92.62				
445	92.66				
446	92.63				
447	92.938				
448	92.188				
449	91.944				
450	92.135				
451	91.934				
452	91.498				
453	90.881				
454	90.583				
455	90.621				
456	89.974				
457	89.706				
458	89.548				
459	89.329				
460	89.03				
461	88.851				
462	88.538				
463	88.681				
464	88.658				
465	88.377				
466	88.605				
467	88.149				
468	88.624				
469	88.53				
470	88.518				
471	88.628				
472	88.235				
473	88.282				
474	88.476				
475	88.271				
476	88.452				
477	88.351				
478	88.042				
479	88.148				
480	87.716				
481	87.622				
482	87.777				
483	87.55				
484	87.322				
485	86.965				
486	87.072				
487	86.778				
488	86.776				
489	86.248				
490	86.163				
491	85.927				
492	86.078				
493	85.825				
494	85.65				
495	85.585				
496	85.765				
497	85.786				
498	85.466				
499	85.936				
500	85.273				
501	85.107				
502	85.402				
503	85.42				
504	85.676				
505	85.396				
506	85.715				
507	85.86				
508	86.03				
509	86.145				
510	86.061				
511	86.416				
512	86.758				
513	87.046				
514	87.014				
515	86.712				
516	87.146				
517	87.038				
518	86.652				
519	86.525				
520	86.195				
521	85.436				
522	84.101				
523	83.013				
524	81.161				
525	79.047				
526	77.214				
527	75.036				
528	73.426				
529	71.001				
530	68.528				
531	66.557				
532	64.254				
533	61.47				
534	60.57				
535	58.84				
536	56.086				
537	55.034				
538	53.298				
539	51.244				
540	49.288				
541	46.801				
542	44.096				
543	42.22				
544	39.632				
545	37.412				
546	35.095				
547	32.543				
548	30.413				
549	27.957				
550	25.857				
551	23.88				
552	21.83				
553	19.741				
554	17.852				
555	16.419				
556	14.612				
557	14.046				
558	12.622				
559	11.635				
560	10.116				
561	9.398				
562	8.756				
563	8.038				
564	7.605				
565	6.734				
566	6.462				
567	5.865				
568	5.402				
569	5.065				
570	4.559				
571	3.971				
572	3.861				
573	3.918				
574	3.495				
575	3.571				
576	3.201				
577	3.006				
578	2.772				
579	2.294				
580	2.511				
581	2.274				
582	2.313				
583	2.099				
584	2.045				
585	1.996				
586	1.701				
587	1.674				
588	1.474				
589	1.635				
590	1.669				
591	1.389				
592	1.653				
593	1.246				
594	1.012				
595	1.109				
596	0.894				
597	1.286				
598	1.198				
599	0.96				
600	0.933				
601	0.875				
602	1.211				
603	0.947				
604	1.02				
605	0.628				
606	0.842				
607	0.859				
608	1.005				
609	0.802				
610	0.784				
611	0.474				
612	0.758				
613	0.578				
614	0.784				
615	0.687				
616	0.963				
617	0.743				
618	0.718				
619	0.746				
620	0.493				
621	0.932				
622	0.506				
623	0.599				
624	0.806				
625	0.659				
626	0.697				
627	0.622				
628	0.424				
629	0.876				
630	0.517				
631	0.62				
632	0.808				
633	0.625				
634	0.76				
635	0.537				
636	0.89				
637	0.769				
638	0.762				
639	0.703				
640	0.889				
641	0.68				
642	0.873				
643	0.662				
644	0.918				
645	0.656				
646	0.939				
647	0.769				
648	0.63				
649	0.813				
650	0.579				
651	0.857				
652	1.019				
653	1.022				
654	1.487				
655	0.823				
656	1.383				
657	0.75				
658	0.732				
659	0.979				
660	0.945				
661	1.094				
662	1.176				
663	1.049				
664	0.942				
665	1.085				
666	1.155				
667	1.323				
668	1.392				
669	1.177				
670	1.518				
671	1.414				
672	1.728				
673	1.357				
674	1.133				
675	1.388				
676	1.751				
677	2.113				
678	1.944				
679	1.92				
680	1.887				
681	1.82				
682	2.276				
683	2.013				
684	2.19				
685	2.581				
686	2.605				
687	2.706				
688	3.155				
689	3.148				
690	2.88				
691	3.072				
692	3.453				
693	3.763				
694	3.724				
695	4.285				
696	4.467				
697	4.594				
698	4.94				
699	5.532				
700	5.65				
