Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
620	0.0		Omega	682DF30-M Bandpass	W3926
621	0.0				
622	0.0				
623	0.0				
624	0.0				
625	0.0				
626	0.0				
627	0.0				
628	0.0				
629	0.0				
630	0.0				
631	0.0				
632	0.0				
633	0.0				
634	0.0				
635	0.0				
636	0.0				
637	0.0				
638	0.0				
639	0.0				
640	0.0				
641	0.0				
642	0.0				
643	0.0				
644	0.0				
645	0.0				
646	0.0				
647	0.0				
648	0.0				
649	0.001				
650	0.002				
651	0.006				
652	0.011				
653	0.018				
654	0.028				
655	0.043				
656	0.064				
657	0.098				
658	0.155				
659	0.252				
660	0.427				
661	0.749				
662	1.374				
663	2.64				
664	5.341				
665	11.142				
666	22.917				
667	41.826				
668	62.17				
669	74.717				
670	78.655				
671	78.489				
672	78.208				
673	79.004				
674	79.886				
675	80.985				
676	81.803				
677	82.317				
678	82.818				
679	83.284				
680	83.586				
681	84.065				
682	84.382				
683	84.526				
684	84.462				
685	84.106				
686	83.436				
687	81.989				
688	80.029				
689	77.38				
690	74.477				
691	71.662				
692	69.882				
693	69.622				
694	71.29				
695	74.604				
696	77.377				
697	73.587				
698	57.509				
699	35.523				
700	18.486				
701	9.095				
702	4.562				
703	2.421				
704	1.347				
705	0.795				
706	0.483				
707	0.304				
708	0.195				
709	0.126				
710	0.085				
711	0.059				
712	0.039				
713	0.026				
714	0.015				
715	0.01				
716	0.005				
717	0.001				
718	0.0				
719	0.0				
720	0.0				
721	0.0				
722	0.0				
723	0.0				
724	0.0				
725	0.0				
726	0.0				
727	0.0				
728	0.0				
729	0.0				
730	0.0				
731	0.0				
732	0.0				
733	0.0				
734	0.0				
735	0.0				
736	0.0				
737	0.0				
738	0.0				
739	0.0				
740	0.0				
