Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
750	0.0		Omega	800LP Longpass	W3945
751	0.0				
752	0.0				
753	0.0				
754	0.0				
755	0.0				
756	0.0				
757	0.0				
758	0.0				
759	0.0				
760	0.0				
761	0.0				
762	0.0				
763	0.0				
764	0.0				
765	0.0				
766	0.0				
767	0.0				
768	0.0				
769	0.0				
770	0.0				
771	0.0				
772	0.0				
773	0.0				
774	0.0				
775	0.0				
776	0.0				
777	0.0				
778	0.0				
779	0.017				
780	0.088				
781	0.172				
782	0.3				
783	0.47				
784	0.706				
785	1.043				
786	1.493				
787	2.136				
788	3.037				
789	4.328				
790	6.107				
791	8.605				
792	12.111				
793	16.968				
794	23.28				
795	31.146				
796	40.586				
797	50.884				
798	61.027				
799	69.762				
800	76.835				
801	81.961				
802	85.286				
803	87.183				
804	88.364				
805	89.026				
806	89.344				
807	89.221				
808	89.301				
809	89.228				
810	89.175				
811	88.892				
812	88.809				
813	88.517				
814	88.417				
815	88.144				
816	88.023				
817	87.993				
818	87.576				
819	87.53				
820	87.35				
821	87.139				
822	87.149				
823	86.988				
824	86.938				
825	86.695				
826	86.822				
827	86.37				
828	86.384				
829	86.386				
830	86.238				
831	86.222				
832	86.05				
833	86.002				
834	85.916				
835	85.98				
836	85.826				
837	85.782				
838	85.783				
839	86.041				
840	86.278				
841	86.469				
842	86.808				
843	86.895				
844	87.491				
845	87.729				
846	88.097				
847	88.071				
848	88.342				
849	88.247				
850	88.424				
851	88.49				
852	88.683				
853	89.057				
854	88.528				
855	88.623				
856	88.152				
857	88.036				
858	87.967				
859	87.551				
860	87.954				
861	87.959				
862	87.414				
863	87.34				
864	87.232				
865	87.797				
866	88.121				
867	87.58				
868	87.727				
869	87.846				
870	87.356				
871	87.888				
872	87.877				
873	87.062				
874	88.46				
875	87.829				
876	88.428				
877	87.126				
878	86.975				
879	86.968				
880	86.774				
881	87.546				
882	86.03				
883	88.13				
884	87.392				
885	87.458				
886	87.477				
887	87.559				
888	87.649				
889	87.766				
890	87.876				
891	88.005				
892	88.091				
893	88.214				
894	88.34				
895	88.335				
896	88.412				
897	88.435				
898	88.42				
899	88.4				
900	88.3				
901	88.239				
902	88.11				
903	88.068				
904	87.956				
905	87.869				
906	87.72				
907	87.654				
908	87.638				
909	87.599				
910	87.548				
911	87.538				
912	87.604				
913	87.66				
914	87.716				
915	87.743				
916	87.885				
917	87.953				
918	88.011				
919	88.086				
920	88.111				
921	88.226				
922	88.165				
923	88.166				
924	88.109				
925	88.059				
926	87.952				
927	87.879				
928	87.706				
929	87.641				
930	87.494				
931	87.405				
932	87.247				
933	87.17				
934	87.082				
935	86.986				
936	86.937				
937	86.928				
938	86.872				
939	86.899				
940	86.956				
941	86.98				
942	87.021				
943	87.113				
944	87.151				
945	87.213				
946	87.24				
947	87.297				
948	87.289				
949	87.303				
950	87.252				
951	87.234				
952	87.157				
953	87.049				
954	86.919				
955	86.862				
956	86.681				
957	86.532				
958	86.415				
959	86.295				
960	86.064				
961	86.031				
962	85.873				
963	85.775				
964	85.673				
965	85.63				
966	85.555				
967	85.548				
968	85.537				
969	85.616				
970	85.566				
971	85.738				
972	85.731				
973	85.824				
974	85.886				
975	85.998				
976	86.069				
977	86.116				
978	86.202				
979	86.256				
980	86.309				
981	86.354				
982	86.374				
983	86.359				
984	86.333				
985	86.437				
986	86.312				
987	86.366				
988	86.352				
989	86.35				
990	86.348				
991	86.366				
992	86.356				
993	86.386				
994	86.42				
995	86.539				
996	86.542				
997	86.618				
998	86.701				
999	86.784				
1000	86.904				
