Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.002		Omega	450BP100/9MM Bandpass	W4379
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.001				
361	0.002				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.002				
367	0.0				
368	0.0				
369	0.0				
370	0.001				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.003				
376	0.0				
377	0.0				
378	0.003				
379	0.003				
380	0.002				
381	0.004				
382	0.0				
383	0.003				
384	0.001				
385	0.004				
386	0.005				
387	0.006				
388	0.008				
389	0.013				
390	0.034				
391	0.128				
392	0.801				
393	2.596				
394	2.351				
395	2.169				
396	3.584				
397	8.619				
398	24.897				
399	57.661				
400	80.403				
401	86.36				
402	88.328				
403	89.04				
404	89.682				
405	90.515				
406	90.796				
407	90.879				
408	91.544				
409	92.228				
410	92.164				
411	91.658				
412	91.507				
413	92.183				
414	93.082				
415	93.768				
416	93.518				
417	93.233				
418	93.366				
419	93.729				
420	94.242				
421	94.348				
422	94.043				
423	94.01				
424	94.39				
425	94.942				
426	95.395				
427	95.023				
428	94.312				
429	93.88				
430	94.156				
431	94.936				
432	95.468				
433	95.612				
434	95.396				
435	95.193				
436	95.429				
437	95.574				
438	95.68				
439	95.488				
440	95.382				
441	95.5				
442	95.902				
443	96.023				
444	95.848				
445	95.616				
446	95.892				
447	96.643				
448	97.152				
449	96.96				
450	96.114				
451	95.249				
452	95.066				
453	95.569				
454	96.426				
455	96.973				
456	96.977				
457	96.344				
458	96.016				
459	96.195				
460	96.94				
461	97.491				
462	97.461				
463	96.822				
464	95.986				
465	95.288				
466	95.063				
467	95.383				
468	95.976				
469	96.428				
470	96.85				
471	97.212				
472	97.222				
473	97.268				
474	97.016				
475	96.721				
476	96.455				
477	96.558				
478	96.758				
479	97.23				
480	97.216				
481	96.892				
482	96.288				
483	95.708				
484	95.553				
485	96.118				
486	96.883				
487	97.379				
488	97.397				
489	96.702				
490	95.871				
491	95.648				
492	96.226				
493	97.08				
494	96.794				
495	93.399				
496	85.653				
497	74.091				
498	60.969				
499	48.33				
500	37.73				
501	29.337				
502	23.095				
503	18.532				
504	15.03				
505	12.404				
506	10.327				
507	8.583				
508	7.051				
509	5.663				
510	4.444				
511	3.409				
512	2.55				
513	1.901				
514	1.419				
515	1.063				
516	0.814				
517	0.637				
518	0.51				
519	0.412				
520	0.339				
521	0.29				
522	0.26				
523	0.231				
524	0.212				
525	0.198				
526	0.192				
527	0.192				
528	0.188				
529	0.188				
530	0.192				
531	0.193				
532	0.195				
533	0.2				
534	0.201				
535	0.185				
536	0.16				
537	0.125				
538	0.096				
539	0.07				
540	0.055				
541	0.042				
542	0.038				
543	0.031				
544	0.023				
545	0.024				
546	0.027				
547	0.031				
548	0.031				
549	0.024				
550	0.013				
551	0.008				
552	0.002				
553	0.001				
554	0.001				
555	0.003				
556	0.002				
557	0.001				
558	0.0				
559	0.003				
560	0.001				
561	0.0				
562	0.004				
563	0.001				
564	0.001				
565	0.003				
566	0.009				
567	0.009				
568	0.017				
569	0.024				
570	0.03				
571	0.027				
572	0.025				
573	0.02				
574	0.018				
575	0.015				
576	0.019				
577	0.014				
578	0.016				
579	0.021				
580	0.022				
581	0.02				
582	0.025				
583	0.021				
584	0.021				
585	0.022				
586	0.022				
587	0.016				
588	0.017				
589	0.016				
590	0.015				
591	0.021				
592	0.022				
593	0.018				
594	0.02				
595	0.02				
596	0.024				
597	0.029				
598	0.03				
599	0.034				
600	0.036				
601	0.04				
602	0.046				
603	0.046				
604	0.046				
605	0.041				
606	0.043				
607	0.041				
608	0.031				
