Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.0		Omega	BLUE NB Bandpass	W4384
351	0.0				
352	0.0				
353	0.002				
354	0.0				
355	0.0				
356	0.0				
357	0.004				
358	0.0				
359	0.001				
360	0.0				
361	0.0				
362	0.003				
363	0.0				
364	0.0				
365	0.003				
366	0.0				
367	0.002				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.002				
373	0.0				
374	0.002				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.001				
383	0.002				
384	0.002				
385	0.001				
386	0.001				
387	0.002				
388	0.008				
389	0.002				
390	0.021				
391	0.087				
392	0.884				
393	2.398				
394	2.9				
395	11.25				
396	37.289				
397	54.148				
398	73.695				
399	91.181				
400	94.526				
401	95.238				
402	95.822				
403	96.443				
404	96.704				
405	96.95				
406	96.747				
407	96.325				
408	96.88				
409	97.135				
410	97.207				
411	97.503				
412	97.54				
413	96.967				
414	96.986				
415	97.003				
416	96.3				
417	96.276				
418	97.332				
419	97.912				
420	97.831				
421	98.125				
422	97.798				
423	96.535				
424	95.97				
425	96.629				
426	97.101				
427	96.7				
428	97.003				
429	97.927				
430	98.341				
431	97.888				
432	97.868				
433	97.68				
434	96.315				
435	95.549				
436	96.273				
437	97.091				
438	97.048				
439	97.172				
440	97.843				
441	97.907				
442	97.509				
443	95.856				
444	93.164				
445	89.727				
446	69.211				
447	33.151				
448	12.289				
449	5.097				
450	2.052				
451	0.695				
452	0.227				
453	0.072				
454	0.023				
455	0.004				
456	0.005				
457	0.01				
458	0.0				
459	0.0				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.0				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	0.003				
470	0.0				
471	0.0				
472	0.002				
473	0.002				
474	0.0				
475	0.0				
476	0.002				
477	0.0				
478	0.0				
479	0.001				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
