Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
700	0.0		Omega	800AGLP Longpass	W4418
701	0.001				
702	0.0				
703	0.0				
704	0.0				
705	0.001				
706	0.001				
707	0.001				
708	0.0				
709	0.0				
710	0.001				
711	0.001				
712	0.0				
713	0.001				
714	0.001				
715	0.0				
716	0.0				
717	0.0				
718	0.0				
719	0.0				
720	0.001				
721	0.0				
722	0.001				
723	0.001				
724	0.0				
725	0.0				
726	0.001				
727	0.0				
728	0.001				
729	0.001				
730	0.001				
731	0.0				
732	0.0				
733	0.0				
734	0.0				
735	0.001				
736	0.0				
737	0.0				
738	0.0				
739	0.001				
740	0.001				
741	0.0				
742	0.001				
743	0.0				
744	0.001				
745	0.001				
746	0.0				
747	0.0				
748	0.0				
749	0.0				
750	0.0				
751	0.0				
752	0.0				
753	0.0				
754	0.0				
755	0.001				
756	0.0				
757	0.0				
758	0.001				
759	0.0				
760	0.0				
761	0.001				
762	0.001				
763	0.001				
764	0.0				
765	0.0				
766	0.0				
767	0.0				
768	0.001				
769	0.0				
770	0.001				
771	0.001				
772	0.001				
773	0.0				
774	0.001				
775	0.001				
776	0.001				
777	0.002				
778	0.002				
779	0.003				
780	0.004				
781	0.006				
782	0.008				
783	0.012				
784	0.017				
785	0.025				
786	0.043				
787	0.067				
788	0.112				
789	0.191				
790	0.333				
791	0.593				
792	1.085				
793	2.069				
794	4.048				
795	8.062				
796	16.103				
797	30.754				
798	51.262				
799	70.228				
800	81.313				
801	84.681				
802	85.161				
803	85.125				
804	85.275				
805	86.365				
806	87.338				
807	88.066				
808	88.446				
809	89.082				
810	88.943				
811	88.778				
812	89.045				
813	88.775				
814	88.53				
815	88.752				
816	88.635				
817	88.84				
818	88.899				
819	88.68				
820	89.026				
821	89.085				
822	89.135				
823	88.861				
824	89.02				
825	88.808				
826	88.692				
827	88.665				
828	88.488				
829	88.501				
830	88.178				
831	87.899				
832	87.751				
833	87.721				
834	87.696				
835	87.501				
836	87.628				
837	87.488				
838	87.624				
839	88.003				
840	88.007				
841	88.254				
842	88.761				
843	88.814				
844	88.803				
845	89.347				
846	89.6				
847	89.724				
848	89.656				
849	90.042				
850	89.687				
851	89.898				
852	89.936				
853	89.738				
854	89.798				
855	89.537				
856	89.568				
857	89.831				
858	89.198				
859	89.06				
860	89.421				
861	89.062				
862	88.857				
863	88.757				
864	88.785				
865	88.623				
866	88.932				
867	88.682				
868	88.487				
869	88.423				
870	88.636				
871	88.614				
872	88.382				
873	88.058				
874	89.352				
875	89.197				
876	88.693				
877	88.802				
878	88.929				
879	88.751				
880	89.759				
881	88.933				
882	89.671				
883	89.785				
884	89.556				
885	89.695				
886	89.576				
887	89.641				
888	90.732				
889	89.851				
890	89.805				
891	89.806				
892	89.82				
893	89.765				
894	89.767				
895	89.689				
896	89.631				
897	89.547				
898	89.423				
899	89.358				
900	89.203				
901	89.112				
902	89.0				
903	88.848				
904	88.74				
905	88.646				
906	88.508				
907	88.418				
908	88.332				
909	88.255				
910	88.149				
911	88.19				
912	88.113				
913	88.136				
914	88.119				
915	88.194				
916	88.211				
917	88.313				
918	88.373				
919	88.464				
920	88.567				
921	88.685				
922	88.767				
923	88.891				
924	89.002				
925	89.103				
926	89.185				
927	89.294				
