Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.003		Omega	531/40 Bandpass	W4551
351	0.004				
352	0.003				
353	0.006				
354	0.005				
355	0.003				
356	0.002				
357	0.005				
358	0.004				
359	0.005				
360	0.003				
361	0.004				
362	0.005				
363	0.005				
364	0.004				
365	0.005				
366	0.005				
367	0.004				
368	0.003				
369	0.004				
370	0.006				
371	0.006				
372	0.004				
373	0.007				
374	0.006				
375	0.004				
376	0.007				
377	0.008				
378	0.004				
379	0.006				
380	0.001				
381	0.004				
382	0.004				
383	0.01				
384	0.004				
385	0.009				
386	0.006				
387	0.005				
388	0.004				
389	0.004				
390	0.002				
391	0.006				
392	0.002				
393	0.005				
394	0.003				
395	0.005				
396	0.002				
397	0.005				
398	0.007				
399	0.004				
400	0.005				
401	0.007				
402	0.003				
403	0.003				
404	0.005				
405	0.004				
406	0.004				
407	0.005				
408	0.004				
409	0.004				
410	0.002				
411	0.006				
412	0.004				
413	0.005				
414	0.004				
415	0.004				
416	0.008				
417	0.006				
418	0.008				
419	0.008				
420	0.004				
421	0.005				
422	0.004				
423	0.002				
424	0.003				
425	0.003				
426	0.005				
427	0.005				
428	0.004				
429	0.005				
430	0.004				
431	0.003				
432	0.005				
433	0.004				
434	0.006				
435	0.004				
436	0.002				
437	0.003				
438	0.004				
439	0.005				
440	0.005				
441	0.007				
442	0.002				
443	0.005				
444	0.004				
445	0.005				
446	0.005				
447	0.003				
448	0.005				
449	0.004				
450	0.006				
451	0.004				
452	0.003				
453	0.009				
454	0.004				
455	0.003				
456	0.007				
457	0.005				
458	0.0				
459	0.005				
460	0.003				
461	0.004				
462	0.004				
463	0.002				
464	0.006				
465	0.0				
466	0.006				
467	0.004				
468	0.003				
469	0.006				
470	0.001				
471	0.007				
472	0.004				
473	0.002				
474	0.008				
475	0.006				
476	0.003				
477	0.004				
478	0.005				
479	0.002				
480	0.004				
481	0.004				
482	0.006				
483	0.007				
484	0.002				
485	0.003				
486	0.004				
487	0.005				
488	0.005				
489	0.002				
490	0.001				
491	0.006				
492	0.001				
493	0.003				
494	0.001				
495	0.006				
496	0.006				
497	0.009				
498	0.004				
499	0.003				
500	0.012				
501	0.009				
502	0.013				
503	0.023				
504	0.046				
505	0.121				
506	0.333				
507	1.054				
508	4.127				
509	19.24				
510	61.491				
511	90.539				
512	92.606				
513	94.844				
514	95.705				
515	96.33				
516	97.424				
517	97.574				
518	96.577				
519	96.112				
520	96.814				
521	97.909				
522	98.386				
523	98.557				
524	98.707				
525	98.512				
526	97.998				
527	97.471				
528	97.234				
529	97.603				
530	97.958				
531	97.91				
532	97.714				
533	97.524				
534	97.766				
535	97.887				
536	97.801				
537	97.706				
538	97.756				
539	97.957				
540	97.82				
541	97.609				
542	97.257				
543	97.534				
544	98.069				
545	98.254				
546	97.974				
547	97.756				
548	97.988				
549	98.114				
550	97.981				
551	97.731				
552	96.099				
553	84.319				
554	43.131				
555	9.145				
556	1.374				
557	0.264				
558	0.066				
559	0.024				
560	0.012				
561	0.007				
562	0.01				
563	0.006				
564	0.006				
565	0.007				
566	0.003				
567	0.006				
568	0.006				
569	0.004				
570	0.005				
571	0.002				
572	0.0				
573	0.003				
574	0.004				
575	0.004				
576	0.005				
577	0.006				
578	0.007				
579	0.008				
580	0.007				
581	0.007				
582	0.003				
583	0.005				
584	0.006				
585	0.006				
586	0.006				
587	0.006				
588	0.001				
589	0.006				
590	0.006				
591	0.006				
592	0.003				
593	0.006				
594	0.006				
595	0.003				
596	0.0				
597	0.0				
598	0.006				
599	0.005				
600	0.005				
601	0.008				
602	0.005				
603	0.003				
604	0.008				
605	0.007				
606	0.005				
607	0.007				
608	0.008				
609	0.005				
610	0.003				
611	0.007				
612	0.003				
613	0.004				
614	0.005				
615	0.005				
616	0.008				
617	0.006				
618	0.002				
619	0.0				
620	0.004				
621	0.008				
622	0.004				
623	0.003				
624	0.005				
625	0.011				
626	0.004				
627	0.005				
628	0.002				
629	0.007				
630	0.007				
631	0.001				
632	0.004				
633	0.006				
634	0.003				
635	0.006				
636	0.007				
637	0.002				
638	0.005				
639	0.004				
640	0.007				
641	0.005				
642	0.006				
643	0.005				
644	0.007				
645	0.004				
646	0.006				
647	0.003				
648	0.007				
649	0.007				
650	0.007				
651	0.003				
652	0.002				
653	0.002				
654	0.002				
655	0.006				
656	0.006				
657	0.008				
658	0.003				
659	0.007				
660	0.005				
661	0.005				
662	0.008				
663	0.006				
664	0.008				
665	0.001				
666	0.004				
667	0.003				
668	0.001				
669	0.004				
670	0.008				
671	0.002				
672	0.003				
673	0.002				
674	0.008				
675	0.005				
676	0.004				
677	0.004				
678	0.005				
679	0.005				
680	0.005				
681	0.001				
682	0.005				
683	0.004				
684	0.005				
685	0.007				
686	0.002				
687	0.003				
688	0.008				
689	0.003				
690	0.006				
691	0.006				
692	0.007				
693	0.004				
694	0.001				
695	0.004				
696	0.0				
697	0.005				
698	0.002				
699	0.005				
700	0.01				
