Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	56.573		Omega	660AELP-HELIOS Longpass	W4607
401	43.759				
402	37.666				
403	50.091				
404	48.026				
405	23.956				
406	13.98				
407	15.513				
408	28.353				
409	32.823				
410	16.94				
411	10.968				
412	14.32				
413	28.271				
414	36.112				
415	28.66				
416	20.245				
417	6.45				
418	1.305				
419	0.381				
420	0.205				
421	0.208				
422	0.189				
423	0.062				
424	0.013				
425	0.005				
426	0.003				
427	0.003				
428	0.002				
429	0.003				
430	0.001				
431	0.001				
432	0.005				
433	0.001				
434	0.0				
435	0.0				
436	0.0				
437	0.0				
438	0.0				
439	0.002				
440	0.0				
441	0.001				
442	0.0				
443	0.0				
444	0.0				
445	0.0				
446	0.0				
447	0.0				
448	0.002				
449	0.0				
450	0.003				
451	0.001				
452	0.0				
453	0.0				
454	0.001				
455	0.0				
456	0.003				
457	0.0				
458	0.002				
459	0.001				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.0				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.001				
472	0.001				
473	0.0				
474	0.001				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.001				
482	0.003				
483	0.0				
484	0.0				
485	0.0				
486	0.001				
487	0.002				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.001				
493	0.0				
494	0.002				
495	0.0				
496	0.001				
497	0.0				
498	0.0				
499	0.0				
500	0.0				
501	0.002				
502	0.0				
503	0.0				
504	0.0				
505	0.0				
506	0.0				
507	0.001				
508	0.001				
509	0.0				
510	0.0				
511	0.003				
512	0.002				
513	0.002				
514	0.0				
515	0.001				
516	0.0				
517	0.0				
518	0.0				
519	0.0				
520	0.0				
521	0.003				
522	0.004				
523	0.001				
524	0.003				
525	0.0				
526	0.004				
527	0.0				
528	0.001				
529	0.001				
530	0.0				
531	0.0				
532	0.001				
533	0.0				
534	0.0				
535	0.004				
536	0.0				
537	0.0				
538	0.0				
539	0.0				
540	0.001				
541	0.004				
542	0.0				
543	0.0				
544	0.0				
545	0.0				
546	0.001				
547	0.0				
548	0.0				
549	0.0				
550	0.0				
551	0.003				
552	0.0				
553	0.0				
554	0.0				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	0.001				
561	0.0				
562	0.0				
563	0.001				
564	0.0				
565	0.0				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	0.001				
571	0.0				
572	0.002				
573	0.004				
574	0.0				
575	0.0				
576	0.0				
577	0.003				
578	0.001				
579	0.0				
580	0.0				
581	0.0				
582	0.002				
583	0.0				
584	0.0				
585	0.0				
586	0.001				
587	0.0				
588	0.004				
589	0.0				
590	0.0				
591	0.001				
592	0.001				
593	0.002				
594	0.0				
595	0.001				
596	0.002				
597	0.0				
598	0.0				
599	0.0				
600	0.001				
601	0.003				
602	0.001				
603	0.004				
604	0.004				
605	0.001				
606	0.0				
607	0.0				
608	0.0				
609	0.001				
610	0.0				
611	0.005				
612	0.002				
613	0.002				
614	0.002				
615	0.0				
616	0.002				
617	0.001				
618	0.003				
619	0.001				
620	0.0				
621	0.0				
622	0.0				
623	0.001				
624	0.003				
625	0.003				
626	0.0				
627	0.002				
628	0.0				
629	0.002				
630	0.0				
631	0.0				
632	0.001				
633	0.0				
634	0.0				
635	0.0				
636	0.0				
637	0.001				
638	0.0				
639	0.0				
640	0.003				
641	0.0				
642	0.003				
643	0.0				
644	0.0				
645	0.0				
646	0.0				
647	0.001				
648	0.004				
649	0.0				
650	0.0				
651	0.001				
652	0.005				
653	0.005				
654	0.013				
655	0.062				
656	0.227				
657	0.793				
658	2.546				
659	7.501				
660	21.764				
661	53.328				
662	87.612				
663	97.717				
664	95.517				
665	94.994				
666	96.763				
667	98.501				
668	99.022				
669	98.815				
670	98.384				
671	98.388				
672	98.729				
673	99.249				
674	99.535				
675	99.322				
676	98.954				
677	98.345				
678	97.961				
679	97.944				
680	98.216				
681	98.657				
682	99.207				
683	99.613				
684	99.639				
685	99.273				
686	98.783				
687	98.068				
688	97.61				
689	97.217				
690	97.301				
691	97.474				
692	97.952				
693	98.581				
694	99.142				
695	99.512				
696	99.619				
697	99.525				
698	99.24				
699	98.986				
700	98.598				
701	98.375				
702	98.175				
703	98.403				
704	98.519				
705	98.805				
706	99.165				
707	99.472				
708	99.516				
709	99.657				
710	99.434				
711	99.246				
712	98.984				
713	98.722				
714	98.439				
715	98.264				
716	98.378				
717	98.478				
718	98.618				
719	99.017				
