Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	47.964		Omega	50/50BS/35MM*45MM Beam Splitter	W4617
401	47.705				
402	47.137				
403	46.454				
404	46.012				
405	45.81				
406	45.546				
407	45.252				
408	44.823				
409	44.823				
410	44.72				
411	44.728				
412	44.341				
413	44.355				
414	44.38				
415	44.38				
416	44.576				
417	44.393				
418	44.553				
419	44.528				
420	44.798				
421	44.758				
422	44.81				
423	45.036				
424	45.293				
425	45.436				
426	45.643				
427	45.685				
428	46.099				
429	46.231				
430	46.556				
431	46.742				
432	47.178				
433	47.228				
434	47.381				
435	47.75				
436	47.959				
437	48.342				
438	48.606				
439	48.812				
440	49.08				
441	49.289				
442	49.47				
443	49.544				
444	49.776				
445	50.098				
446	50.216				
447	50.524				
448	50.75				
449	50.731				
450	50.852				
451	50.96				
452	51.171				
453	51.295				
454	51.408				
455	51.579				
456	51.667				
457	51.59				
458	51.681				
459	51.796				
460	51.61				
461	51.778				
462	51.697				
463	51.802				
464	51.977				
465	51.584				
466	51.63				
467	51.687				
468	51.395				
469	51.51				
470	51.333				
471	51.136				
472	51.079				
473	51.122				
474	51.047				
475	50.828				
476	50.62				
477	50.632				
478	50.622				
479	50.348				
480	50.196				
481	50.154				
482	49.862				
483	49.861				
484	49.715				
485	49.577				
486	49.502				
487	49.376				
488	49.206				
489	49.149				
490	48.934				
491	48.859				
492	48.625				
493	48.462				
494	48.53				
495	48.381				
496	48.169				
497	48.107				
498	48.019				
499	47.997				
500	47.788				
501	47.832				
502	47.618				
503	47.509				
504	47.472				
505	47.339				
506	47.296				
507	47.151				
508	47.241				
509	47.171				
510	46.989				
511	46.947				
512	46.926				
513	46.898				
514	46.824				
515	46.773				
516	46.719				
517	46.615				
518	46.838				
519	46.626				
520	46.538				
521	46.638				
522	46.481				
523	46.479				
524	46.53				
525	46.485				
526	46.681				
527	46.481				
528	46.382				
529	46.438				
530	46.439				
531	46.514				
532	46.56				
533	46.535				
534	46.498				
535	46.617				
536	46.551				
537	46.493				
538	46.504				
539	46.722				
540	46.577				
541	46.59				
542	46.888				
543	46.596				
544	46.786				
545	46.626				
546	46.601				
547	46.867				
548	46.8				
549	46.928				
550	46.811				
551	46.728				
552	46.854				
553	46.966				
554	46.834				
555	46.78				
556	46.957				
557	47.103				
558	47.085				
559	47.138				
560	47.106				
561	46.866				
562	47.105				
563	47.072				
564	46.98				
565	46.869				
566	47.377				
567	47.196				
568	47.212				
569	46.874				
570	47.202				
571	47.404				
572	46.82				
573	47.04				
574	47.348				
575	47.262				
576	47.035				
577	46.925				
578	46.998				
579	47.082				
580	47.24				
581	47.028				
582	46.99				
583	47.149				
584	47.153				
585	47.084				
586	47.64				
587	46.946				
588	47.249				
589	47.286				
590	47.409				
591	46.688				
592	47.092				
593	46.819				
594	46.971				
595	47.432				
596	47.08				
597	47.247				
598	47.052				
599	46.894				
600	47.226				
601	46.76				
602	47.182				
603	47.356				
604	46.764				
605	46.946				
606	46.965				
607	46.968				
608	46.781				
609	46.973				
610	47.006				
611	47.256				
612	47.101				
613	47.03				
614	47.136				
615	47.172				
616	47.436				
617	46.952				
618	47.057				
619	47.284				
620	47.148				
621	47.185				
622	47.105				
623	47.093				
624	47.658				
625	46.979				
626	47.255				
627	47.114				
628	47.275				
629	47.529				
630	47.213				
631	47.097				
632	47.319				
633	47.432				
634	47.454				
635	47.332				
636	47.801				
637	47.548				
638	47.574				
639	47.728				
640	47.258				
641	47.79				
642	48.463				
643	47.756				
644	48.051				
645	47.735				
646	48.059				
647	48.198				
648	47.948				
649	47.826				
650	48.513				
651	48.113				
652	48.434				
653	48.293				
654	48.505				
655	48.74				
656	48.63				
657	48.551				
658	48.387				
659	48.836				
660	48.938				
661	48.947				
662	49.338				
663	49.107				
664	49.292				
665	49.744				
666	48.994				
667	50.087				
668	49.244				
669	49.668				
670	49.713				
671	49.839				
672	50.068				
673	50.243				
674	50.304				
675	50.309				
676	50.211				
677	51.001				
678	50.693				
679	50.764				
680	50.297				
681	50.845				
682	50.896				
683	50.848				
684	50.959				
685	51.282				
686	52.076				
687	51.582				
688	51.765				
689	51.819				
690	51.801				
691	52.268				
692	52.605				
693	52.482				
694	52.598				
695	52.654				
696	52.872				
697	52.951				
698	53.071				
699	53.513				
700	53.421				
