Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.0		Omega	DUAL DICHROIC-EMITTER Dichroic	W4632
351	0.077				
352	0.0				
353	0.186				
354	0.0				
355	0.0				
356	0.138				
357	0.211				
358	0.0				
359	0.01				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.106				
366	0.0				
367	0.0				
368	0.078				
369	0.0				
370	0.0				
371	0.064				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.024				
380	0.033				
381	0.0				
382	0.08				
383	0.012				
384	0.0				
385	0.103				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.108				
392	0.0				
393	0.0				
394	0.0				
395	0.099				
396	0.0				
397	0.064				
398	0.0				
399	0.0				
400	0.084				
401	0.01				
402	0.0				
403	0.079				
404	0.018				
405	0.0				
406	0.0				
407	0.045				
408	0.112				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.195				
414	0.0				
415	0.0				
416	0.0				
417	0.047				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.033				
423	0.111				
424	0.0				
425	0.0				
426	0.067				
427	0.089				
428	0.0				
429	0.058				
430	0.0				
431	0.0				
432	0.037				
433	0.0				
434	0.0				
435	0.0				
436	0.092				
437	0.0				
438	0.0				
439	0.0				
440	0.092				
441	0.0				
442	0.0				
443	0.0				
444	0.0				
445	0.0				
446	0.0				
447	0.0				
448	0.0				
449	0.0				
450	0.006				
451	0.014				
452	0.0				
453	0.0				
454	0.0				
455	0.035				
456	0.0				
457	0.089				
458	0.0				
459	0.032				
460	0.028				
461	0.0				
462	0.0				
463	0.0				
464	0.042				
465	0.02				
466	0.029				
467	0.058				
468	0.0				
469	0.0				
470	0.05				
471	0.025				
472	0.0				
473	0.09				
474	0.0				
475	0.0				
476	0.027				
477	0.016				
478	0.0				
479	0.05				
480	0.101				
481	0.0				
482	0.169				
483	1.095				
484	3.23				
485	5.633				
486	7.961				
487	12.56				
488	16.971				
489	20.029				
490	22.152				
491	24.667				
492	27.672				
493	29.428				
494	31.451				
495	34.085				
496	36.237				
497	39.214				
498	40.99				
499	43.125				
500	44.258				
501	45.772				
502	46.85				
503	47.742				
504	48.635				
505	49.279				
506	49.782				
507	50.09				
508	50.166				
509	50.566				
510	50.554				
511	50.736				
512	51.397				
513	51.802				
514	52.297				
515	52.826				
516	53.062				
517	53.405				
518	56.253				
519	61.82				
520	70.355				
521	78.689				
522	85.054				
523	90.255				
524	94.28				
525	96.217				
526	96.897				
527	97.144				
528	97.167				
529	97.099				
530	97.234				
531	97.242				
532	97.441				
533	97.364				
534	97.493				
535	97.464				
536	97.475				
537	97.604				
538	97.474				
539	97.164				
540	96.627				
541	96.842				
542	97.173				
543	97.164				
544	97.554				
545	97.592				
546	96.921				
547	96.471				
548	95.589				
549	94.735				
550	93.622				
551	92.271				
552	89.529				
553	86.268				
554	83.006				
555	79.215				
556	74.524				
557	71.463				
558	67.761				
559	64.523				
560	61.128				
561	58.075				
562	55.292				
563	52.911				
564	49.779				
565	46.566				
566	42.888				
567	39.03				
568	34.397				
569	29.564				
570	24.778				
571	19.828				
572	15.9				
573	12.396				
574	10.26				
575	8.173				
576	6.579				
577	5.535				
578	4.777				
579	3.975				
580	3.463				
581	3.427				
582	2.831				
583	2.757				
584	2.741				
585	2.957				
586	2.638				
587	2.386				
588	2.673				
589	2.84				
590	2.532				
591	2.773				
592	2.613				
593	3.134				
594	3.406				
595	3.22				
596	3.408				
597	3.832				
598	3.907				
599	4.286				
600	4.678				
601	5.218				
602	5.755				
603	6.461				
604	7.14				
605	8.414				
606	9.226				
607	10.725				
608	11.932				
609	13.543				
610	16.31				
611	19.072				
612	21.39				
613	23.822				
614	27.376				
615	30.924				
616	35.143				
617	38.46				
618	41.705				
619	44.778				
620	47.157				
621	48.86				
622	51.254				
623	52.337				
624	53.09				
625	53.714				
626	53.817				
627	53.503				
628	53.567				
629	53.266				
630	53.024				
631	52.942				
632	52.97				
633	53.286				
634	53.614				
635	54.228				
636	54.69				
637	57.178				
638	58.636				
639	61.01				
640	64.034				
641	67.635				
642	72.144				
643	77.63				
644	83.565				
645	87.875				
646	91.203				
647	93.53				
648	95.715				
649	96.611				
650	96.566				
651	96.68				
652	96.282				
653	96.053				
654	96.082				
655	95.91				
656	95.703				
657	95.444				
658	96.301				
659	96.25				
660	96.623				
661	96.976				
662	97.152				
663	97.401				
664	97.327				
665	97.083				
666	97.262				
667	97.179				
668	96.749				
669	97.266				
670	97.166				
671	96.672				
672	96.592				
673	97.535				
674	96.701				
675	96.728				
676	96.449				
677	96.896				
678	96.898				
679	97.152				
680	96.66				
681	97.066				
682	97.46				
683	97.15				
684	96.999				
685	97.66				
686	97.459				
687	96.921				
688	97.372				
689	97.196				
690	97.242				
691	97.365				
692	97.333				
693	97.049				
694	97.582				
695	96.667				
696	97.13				
697	97.027				
698	96.857				
699	96.839				
700	96.678				
701	96.79				
702	96.707				
703	96.826				
704	96.82				
705	96.568				
706	96.807				
707	96.831				
708	96.523				
709	96.181				
710	95.754				
711	95.423				
712	95.232				
713	94.452				
714	94.52				
715	94.131				
716	93.561				
717	93.274				
718	92.555				
719	92.357				
720	91.724				
721	91.528				
722	91.289				
723	91.166				
724	90.902				
725	90.254				
726	89.926				
727	89.984				
728	89.499				
729	89.83				
730	89.504				
731	89.791				
732	89.27				
733	88.87				
734	89.157				
735	88.712				
736	88.163				
737	87.79				
738	87.373				
739	86.902				
740	87.508				
741	86.109				
742	86.01				
743	85.572				
744	84.62				
745	83.451				
746	83.301				
747	83.587				
748	82.271				
749	81.646				
750	80.737				
