Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.0		Omega	FITC/CY5 DUAL BAND EXCITER Dual Band	W4729
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.001				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.003				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.003				
371	0.001				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.004				
381	0.0				
382	0.0				
383	0.0				
384	0.001				
385	0.0				
386	0.0				
387	0.002				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.003				
393	0.0				
394	0.0				
395	0.005				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.002				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.001				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.002				
412	0.0				
413	0.0				
414	0.002				
415	0.002				
416	0.0				
417	0.001				
418	0.0				
419	0.0				
420	0.0				
421	0.003				
422	0.0				
423	0.002				
424	0.003				
425	0.0				
426	0.003				
427	0.0				
428	0.0				
429	0.004				
430	0.0				
431	0.0				
432	0.002				
433	0.0				
434	0.002				
435	0.0				
436	0.0				
437	0.001				
438	0.0				
439	0.0				
440	0.0				
441	0.002				
442	0.001				
443	0.0				
444	0.0				
445	0.003				
446	0.0				
447	0.004				
448	0.0				
449	0.002				
450	0.001				
451	0.0				
452	0.005				
453	0.004				
454	0.01				
455	0.014				
456	0.018				
457	0.06				
458	0.119				
459	0.124				
460	0.255				
461	1.363				
462	4.224				
463	8.059				
464	26.977				
465	52.521				
466	73.939				
467	95.008				
468	97.44				
469	97.008				
470	96.976				
471	97.972				
472	97.537				
473	97.892				
474	97.817				
475	97.735				
476	97.991				
477	98.247				
478	97.837				
479	96.66				
480	95.605				
481	71.653				
482	21.067				
483	3.415				
484	1.104				
485	0.419				
486	0.051				
487	0.007				
488	0.002				
489	0.003				
490	0.0				
491	0.001				
492	0.001				
493	0.0				
494	0.0				
495	0.003				
496	0.006				
497	0.003				
498	0.0				
499	0.003				
500	0.001				
501	0.002				
502	0.0				
503	0.007				
504	0.0				
505	0.0				
506	0.0				
507	0.004				
508	0.003				
509	0.0				
510	0.001				
511	0.002				
512	0.003				
513	0.0				
514	0.0				
515	0.0				
516	0.0				
517	0.004				
518	0.001				
519	0.002				
520	0.0				
521	0.001				
522	0.0				
523	0.001				
524	0.0				
525	0.0				
526	0.003				
527	0.0				
528	0.0				
529	0.005				
530	0.0				
531	0.0				
532	0.0				
533	0.0				
534	0.002				
535	0.0				
536	0.0				
537	0.0				
538	0.0				
539	0.0				
540	0.0				
541	0.0				
542	0.001				
543	0.0				
544	0.0				
545	0.0				
546	0.001				
547	0.0				
548	0.0				
549	0.003				
550	0.004				
551	0.0				
552	0.0				
553	0.0				
554	0.001				
555	0.001				
556	0.001				
557	0.0				
558	0.0				
559	0.0				
560	0.0				
561	0.005				
562	0.0				
563	0.0				
564	0.0				
565	0.002				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	0.002				
571	0.0				
572	0.005				
573	0.0				
574	0.0				
575	0.0				
576	0.002				
577	0.0				
578	0.0				
579	0.001				
580	0.004				
581	0.0				
582	0.0				
583	0.003				
584	0.003				
585	0.0				
586	0.0				
587	0.0				
588	0.001				
589	0.0				
590	0.001				
591	0.006				
592	0.007				
593	0.005				
594	0.008				
595	0.018				
596	0.034				
597	0.077				
598	0.147				
599	0.253				
600	0.431				
601	0.921				
602	2.534				
603	9.861				
604	43.355				
605	89.948				
606	91.212				
607	92.05				
608	95.595				
609	94.46				
610	93.514				
611	94.706				
612	95.581				
613	95.464				
614	95.729				
615	96.736				
616	97.287				
617	96.676				
618	95.629				
619	95.599				
620	96.326				
621	96.887				
622	97.1				
623	97.298				
624	97.589				
625	97.97				
626	98.15				
627	98.018				
628	97.758				
629	97.726				
630	97.955				
631	97.902				
632	97.685				
633	97.442				
634	97.524				
635	97.712				
636	97.839				
637	97.999				
638	97.488				
639	94.494				
640	80.5				
641	47.409				
642	17.362				
643	5.092				
644	1.496				
645	0.503				
646	0.185				
647	0.083				
648	0.03				
649	0.016				
650	0.009				
651	0.007				
652	0.001				
653	0.0				
654	0.007				
655	0.003				
656	0.001				
657	0.0				
658	0.002				
659	0.0				
660	0.0				
661	0.002				
662	0.002				
663	0.005				
664	0.004				
665	0.004				
666	0.002				
667	0.003				
668	0.0				
669	0.001				
670	0.0				
671	0.0				
672	0.0				
673	0.0				
674	0.004				
675	0.0				
676	0.0				
677	0.003				
678	0.0				
679	0.003				
680	0.002				
681	0.002				
682	0.0				
683	0.0				
684	0.001				
685	0.0				
686	0.0				
687	0.0				
688	0.0				
689	0.004				
690	0.002				
691	0.0				
692	0.0				
693	0.0				
694	0.0				
695	0.002				
696	0.0				
697	0.0				
698	0.0				
699	0.001				
700	0.0				
701	0.0				
702	0.001				
703	0.001				
704	0.002				
705	0.002				
706	0.0				
707	0.0				
708	0.008				
709	0.0				
710	0.0				
711	0.0				
712	0.001				
713	0.0				
714	0.0				
715	0.001				
716	0.0				
717	0.0				
718	0.0				
719	0.0				
720	0.0				
721	0.0				
722	0.005				
723	0.0				
724	0.002				
725	0.002				
726	0.0				
727	0.003				
728	0.0				
729	0.0				
730	0.004				
731	0.0				
732	0.001				
733	0.0				
734	0.002				
735	0.0				
736	0.0				
737	0.0				
738	0.0				
739	0.0				
740	0.003				
741	0.0				
742	0.0				
743	0.0				
744	0.0				
745	0.0				
746	0.002				
747	0.0				
748	0.0				
749	0.0				
750	0.0				
751	0.0				
752	0.0				
753	0.0				
754	0.0				
755	0.002				
756	0.0				
757	0.0				
758	0.0				
759	0.004				
760	0.0				
761	0.001				
762	0.001				
763	0.003				
764	0.0				
765	0.0				
766	0.0				
767	0.001				
768	0.0				
769	0.001				
770	0.002				
771	0.0				
772	0.004				
773	0.0				
774	0.0				
775	0.0				
776	0.0				
777	0.0				
778	0.008				
779	0.002				
780	0.0				
781	0.0				
782	0.0				
783	0.0				
784	0.0				
785	0.003				
786	0.002				
787	0.0				
788	0.0				
789	0.0				
790	0.0				
791	0.0				
792	0.002				
793	0.0				
794	0.0				
795	0.0				
796	0.0				
797	0.0				
798	0.0				
799	0.0				
800	0.001				
