Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	4.157		Omega	FITC/CY5 DUAL BAND DICHROIC Dichroic	W4730
351	4.324				
352	5.29				
353	6.114				
354	6.871				
355	5.088				
356	2.45				
357	1.098				
358	0.73				
359	0.601				
360	0.641				
361	0.774				
362	1.083				
363	1.959				
364	4.262				
365	10.21				
366	16.433				
367	19.058				
368	18.338				
369	15.869				
370	14.118				
371	15.272				
372	18.124				
373	23.704				
374	31.126				
375	43.338				
376	53.078				
377	60.42				
378	62.205				
379	61.305				
380	58.675				
381	56.244				
382	54.017				
383	52.571				
384	49.278				
385	46.973				
386	44.545				
387	44.713				
388	47.327				
389	50.28				
390	53.279				
391	51.953				
392	45.377				
393	38.477				
394	30.566				
395	24.558				
396	20.964				
397	19.848				
398	20.36				
399	22.889				
400	27.721				
401	38.246				
402	54.703				
403	68.477				
404	72.502				
405	67.037				
406	56.272				
407	46.78				
408	40.297				
409	38.774				
410	39.712				
411	43.901				
412	51.338				
413	62.142				
414	71.896				
415	78.215				
416	78.782				
417	76.063				
418	68.838				
419	59.474				
420	52.466				
421	42.151				
422	34.03				
423	26.569				
424	21.593				
425	16.713				
426	13.687				
427	11.487				
428	9.37				
429	7.912				
430	7.334				
431	6.885				
432	6.757				
433	7.031				
434	7.636				
435	8.852				
436	11.199				
437	14.151				
438	21.419				
439	34.393				
440	49.719				
441	57.378				
442	57.24				
443	49.46				
444	35.527				
445	26.116				
446	19.835				
447	17.374				
448	16.329				
449	17.088				
450	20.674				
451	24.898				
452	28.39				
453	30.942				
454	31.163				
455	28.696				
456	23.171				
457	17.176				
458	11.479				
459	7.749				
460	5.185				
461	3.448				
462	2.548				
463	2.103				
464	1.687				
465	1.454				
466	1.302				
467	1.126				
468	1.113				
469	0.948				
470	0.906				
471	0.776				
472	1.041				
473	0.886				
474	1.008				
475	1.166				
476	1.046				
477	1.446				
478	1.476				
479	1.641				
480	1.848				
481	2.191				
482	2.69				
483	3.346				
484	4.088				
485	5.059				
486	5.869				
487	7.682				
488	9.63				
489	12.723				
490	16.28				
491	20.235				
492	24.893				
493	29.121				
494	35.751				
495	42.996				
496	50.338				
497	59.716				
498	67.026				
499	75.578				
500	83.852				
501	89.079				
502	91.776				
503	92.657				
504	93.635				
505	94.596				
506	95.56				
507	96.136				
508	96.564				
509	97.791				
510	98.077				
511	98.033				
512	98.226				
513	98.148				
514	97.835				
515	97.912				
516	97.403				
517	97.589				
518	97.576				
519	98.039				
520	98.294				
521	98.281				
522	98.683				
523	98.75				
524	98.756				
525	98.976				
526	98.459				
527	99.11				
528	98.579				
529	98.521				
530	98.247				
531	98.315				
532	98.272				
533	98.298				
534	98.094				
535	98.21				
536	98.288				
537	98.334				
538	98.31				
539	98.563				
540	98.775				
541	98.494				
542	98.696				
543	98.381				
544	98.509				
545	98.133				
546	98.072				
547	98.431				
548	98.236				
549	98.554				
550	98.585				
551	98.376				
552	98.608				
553	98.052				
554	97.687				
555	98.011				
556	97.793				
557	98.083				
558	97.522				
559	97.578				
560	97.793				
561	97.596				
562	97.751				
563	97.736				
564	97.028				
565	97.443				
566	96.765				
567	95.89				
568	95.202				
569	93.758				
570	92.443				
571	89.937				
572	87.243				
573	83.668				
574	80.334				
575	76.396				
576	71.99				
577	68.008				
578	62.334				
579	57.714				
580	52.836				
581	49.034				
582	43.645				
583	38.363				
584	32.245				
585	27.773				
586	22.952				
587	19.354				
588	16.508				
589	13.317				
590	10.984				
591	9.212				
592	7.438				
593	6.617				
594	5.517				
595	4.606				
596	3.901				
597	3.149				
598	3.025				
599	2.804				
600	2.457				
601	2.133				
602	1.911				
603	1.97				
604	1.627				
605	1.507				
606	1.591				
607	1.165				
608	1.183				
609	1.104				
610	1.039				
611	0.895				
612	0.693				
613	0.979				
614	0.98				
615	0.601				
616	0.826				
617	0.845				
618	1.236				
619	1.038				
620	1.359				
621	1.356				
622	1.073				
623	0.957				
624	0.673				
625	0.937				
626	1.231				
627	1.258				
628	1.129				
629	1.456				
630	1.17				
631	1.688				
632	1.904				
633	1.626				
634	2.278				
635	2.584				
636	2.344				
637	2.686				
638	2.88				
639	3.509				
640	3.676				
641	4.042				
642	4.792				
643	5.338				
644	6.388				
645	7.588				
646	8.803				
647	10.206				
648	11.866				
649	13.692				
650	16.109				
651	18.783				
652	21.129				
653	23.979				
654	27.189				
655	30.232				
656	35.544				
657	38.969				
658	43.437				
659	47.513				
660	51.542				
661	53.936				
662	58.716				
663	62.741				
664	67.693				
665	73.488				
666	79.219				
667	83.4				
668	86.853				
669	89.742				
670	93.668				
671	95.422				
672	96.83				
673	96.588				
674	95.747				
675	97.11				
676	95.884				
677	95.561				
678	95.619				
679	95.76				
680	96.589				
681	96.149				
682	96.839				
683	96.776				
684	97.273				
685	98.135				
686	97.735				
687	98.312				
688	98.548				
689	98.755				
690	98.767				
691	98.554				
692	98.3				
693	98.269				
694	98.148				
695	98.093				
696	97.868				
697	98.114				
698	98.146				
699	98.141				
700	98.084				
701	98.053				
702	97.987				
703	98.309				
704	98.536				
705	98.368				
706	98.48				
707	99.021				
708	98.733				
709	99.043				
710	99.001				
711	98.817				
712	99.081				
713	98.957				
714	98.401				
715	98.809				
716	98.736				
717	98.546				
718	98.249				
719	98.472				
720	98.912				
721	98.291				
722	98.752				
723	97.733				
724	98.423				
725	98.856				
726	98.648				
727	98.569				
728	99.296				
729	99.143				
730	99.19				
731	98.782				
732	98.445				
733	98.14				
734	98.223				
735	98.275				
736	98.623				
737	98.965				
738	98.124				
739	97.619				
740	97.776				
741	97.116				
742	96.567				
743	95.47				
744	93.896				
745	93.074				
746	90.371				
747	88.472				
748	85.408				
749	81.777				
750	78.06				
751	74.352				
752	69.965				
753	66.999				
754	63.393				
755	58.975				
756	55.967				
757	52.512				
758	47.456				
759	44.908				
760	41.444				
761	36.995				
762	33.291				
763	29.959				
764	27.754				
765	24.739				
766	22.764				
767	19.996				
768	18.718				
769	15.938				
770	14.432				
771	11.668				
772	10.941				
773	10.29				
774	9.781				
775	7.937				
776	7.246				
777	6.143				
778	6.272				
779	5.575				
780	4.565				
781	3.95				
782	3.971				
783	3.31				
784	4.028				
785	3.179				
786	3.122				
787	2.364				
788	3.052				
789	2.067				
790	2.35				
791	1.599				
