Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	28.308		Omega	FITC/CY5 SPLITTER Dichroic	W4731
351	30.179				
352	32.082				
353	33.789				
354	34.246				
355	33.275				
356	31.025				
357	28.244				
358	25.919				
359	23.408				
360	21.228				
361	19.662				
362	18.486				
363	18.033				
364	18.097				
365	18.641				
366	19.995				
367	22.097				
368	24.874				
369	27.674				
370	31.761				
371	37.052				
372	42.913				
373	47.848				
374	50.647				
375	53.317				
376	54.068				
377	53.945				
378	53.353				
379	52.796				
380	52.646				
381	52.944				
382	54.163				
383	56.016				
384	58.683				
385	61.095				
386	64.238				
387	66.663				
388	68.186				
389	68.27				
390	67.354				
391	65.689				
392	63.812				
393	61.62				
394	59.386				
395	58.022				
396	56.834				
397	55.595				
398	54.68				
399	54.648				
400	54.739				
401	55.468				
402	56.394				
403	58.132				
404	59.916				
405	61.848				
406	63.568				
407	65.251				
408	66.735				
409	67.917				
410	68.598				
411	69.379				
412	69.932				
413	70.844				
414	71.967				
415	73.168				
416	74.136				
417	75.26				
418	75.856				
419	76.043				
420	75.235				
421	73.461				
422	71.568				
423	68.192				
424	64.513				
425	60.519				
426	57.033				
427	53.341				
428	50.349				
429	47.21				
430	44.548				
431	42.383				
432	41.162				
433	40.399				
434	40.11				
435	40.748				
436	42.236				
437	44.61				
438	47.297				
439	51.757				
440	55.553				
441	59.059				
442	60.389				
443	60.167				
444	58.518				
445	56.813				
446	54.677				
447	53.785				
448	52.992				
449	52.325				
450	50.807				
451	48.719				
452	45.327				
453	42.334				
454	38.532				
455	34.277				
456	31.183				
457	28.054				
458	26.057				
459	24.876				
460	24.928				
461	26.365				
462	28.122				
463	28.677				
464	27.894				
465	25.752				
466	23.037				
467	20.345				
468	17.406				
469	16.186				
470	16.214				
471	16.857				
472	18.484				
473	20.631				
474	24.181				
475	28.344				
476	31.334				
477	34.205				
478	34.648				
479	31.732				
480	27.362				
481	21.156				
482	15.797				
483	11.893				
484	8.436				
485	6.399				
486	4.789				
487	3.571				
488	2.922				
489	2.354				
490	1.913				
491	1.517				
492	1.299				
493	1.147				
494	1.002				
495	0.836				
496	0.734				
497	0.623				
498	0.55				
499	0.524				
500	0.468				
501	0.396				
502	0.342				
503	0.323				
504	0.294				
505	0.239				
506	0.31				
507	0.223				
508	0.252				
509	0.28				
510	0.251				
511	0.248				
512	0.14				
513	0.145				
514	0.173				
515	0.194				
516	0.173				
517	0.152				
518	0.163				
519	0.169				
520	0.144				
521	0.143				
522	0.133				
523	0.143				
524	0.12				
525	0.145				
526	0.101				
527	0.149				
528	0.111				
529	0.111				
530	0.12				
531	0.112				
532	0.137				
533	0.128				
534	0.127				
535	0.133				
536	0.077				
537	0.096				
538	0.137				
539	0.103				
540	0.146				
541	0.113				
542	0.099				
543	0.085				
544	0.125				
545	0.171				
546	0.133				
547	0.187				
548	0.18				
549	0.147				
550	0.142				
551	0.16				
552	0.187				
553	0.11				
554	0.199				
555	0.184				
556	0.176				
557	0.226				
558	0.194				
559	0.094				
560	0.265				
561	0.15				
562	0.208				
563	0.286				
564	0.211				
565	0.201				
566	0.196				
567	0.298				
568	0.327				
569	0.315				
570	0.327				
571	0.326				
572	0.394				
573	0.375				
574	0.446				
575	0.331				
576	0.476				
577	0.52				
578	0.472				
579	0.523				
580	0.536				
581	0.663				
582	0.706				
583	0.763				
584	0.92				
585	0.794				
586	0.951				
587	1.154				
588	1.173				
589	1.196				
590	1.41				
591	1.378				
592	1.541				
593	1.748				
594	1.905				
595	2.102				
596	2.369				
597	2.595				
598	2.888				
599	3.214				
600	3.486				
601	3.98				
602	4.354				
603	4.912				
604	5.421				
605	6.202				
606	6.9				
607	7.596				
608	8.574				
609	9.902				
610	11.013				
611	12.238				
612	13.841				
613	15.321				
614	17.235				
615	18.909				
616	20.772				
617	22.988				
618	25.345				
