Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
450	0.006		Omega	580BP35-3.5X90MM Bandpass	W4911
451	0.0				
452	0.0				
453	0.0				
454	0.001				
455	0.017				
456	0.0				
457	0.031				
458	0.02				
459	0.0				
460	0.0				
461	0.0				
462	0.002				
463	0.0				
464	0.004				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.003				
479	0.006				
480	0.0				
481	0.008				
482	0.007				
483	0.011				
484	0.0				
485	0.0				
486	0.015				
487	0.0				
488	0.003				
489	0.0				
490	0.001				
491	0.0				
492	0.002				
493	0.0				
494	0.0				
495	0.015				
496	0.002				
497	0.005				
498	0.0				
499	0.011				
500	0.0				
501	0.0				
502	0.003				
503	0.01				
504	0.0				
505	0.028				
506	0.013				
507	0.003				
508	0.003				
509	0.009				
510	0.008				
511	0.0				
512	0.015				
513	0.002				
514	0.011				
515	0.0				
516	0.0				
517	0.002				
518	0.007				
519	0.004				
520	0.0				
521	0.0				
522	0.0				
523	0.0				
524	0.019				
525	0.0				
526	0.007				
527	0.002				
528	0.003				
529	0.0				
530	0.0				
531	0.011				
532	0.015				
533	0.005				
534	0.0				
535	0.0				
536	0.007				
537	0.017				
538	0.011				
539	0.0				
540	0.0				
541	0.019				
542	0.016				
543	0.01				
544	0.0				
545	0.006				
546	0.0				
547	0.005				
548	0.0				
549	0.002				
550	0.006				
551	0.0				
552	0.0				
553	0.0				
554	0.0				
555	0.0				
556	0.017				
557	0.004				
558	0.027				
559	0.074				
560	0.152				
561	0.394				
562	1.155				
563	3.37				
564	9.597				
565	22.535				
566	41.695				
567	61.815				
568	76.76				
569	84.676				
570	88.051				
571	89.482				
572	90.272				
573	91.251				
574	92.394				
575	93.284				
576	93.916				
577	94.185				
578	94.334				
579	94.639				
580	95.137				
581	95.67				
582	96.086				
583	96.188				
584	96.148				
585	96.092				
586	95.971				
587	96.122				
588	96.423				
589	96.7				
590	96.735				
591	96.426				
592	95.892				
593	95.27				
594	94.89				
595	94.887				
596	95.16				
597	94.943				
598	92.85				
599	86.005				
600	71.047				
601	49.436				
602	27.824				
603	12.7				
604	5.125				
605	2.009				
606	0.836				
607	0.348				
608	0.183				
609	0.089				
610	0.06				
611	0.036				
612	0.002				
613	0.017				
614	0.0				
615	0.0				
616	0.02				
617	0.0				
618	0.01				
619	0.006				
620	0.012				
621	0.004				
622	0.014				
623	0.011				
624	0.001				
625	0.0				
626	0.0				
627	0.013				
628	0.002				
629	0.0				
630	0.0				
631	0.004				
632	0.0				
633	0.003				
634	0.0				
635	0.004				
636	0.0				
637	0.005				
638	0.033				
639	0.009				
640	0.0				
641	0.005				
642	0.01				
643	0.006				
644	0.0				
645	0.02				
646	0.0				
647	0.011				
648	0.013				
649	0.01				
650	0.0				
