Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
450	0.012		Omega	690DRLP Dichroic	W4912
451	0.0				
452	0.004				
453	0.01				
454	0.02				
455	0.0				
456	0.0				
457	0.042				
458	0.0				
459	0.0				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.0				
465	0.0				
466	0.028				
467	0.009				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.018				
473	0.0				
474	0.0				
475	0.0				
476	0.015				
477	0.0				
478	0.0				
479	0.026				
480	0.002				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.004				
486	0.003				
487	0.001				
488	0.0				
489	0.008				
490	0.02				
491	0.0				
492	0.0				
493	0.019				
494	0.0				
495	0.0				
496	0.0				
497	0.0				
498	0.0				
499	0.0				
500	0.0				
501	0.0				
502	0.0				
503	0.0				
504	0.0				
505	0.016				
506	0.023				
507	0.031				
508	0.0				
509	0.0				
510	0.0				
511	0.0				
512	0.0				
513	0.013				
514	0.0				
515	0.037				
516	0.0				
517	0.001				
518	0.0				
519	0.012				
520	0.024				
521	0.007				
522	0.0				
523	0.0				
524	0.0				
525	0.004				
526	0.025				
527	0.0				
528	0.014				
529	0.0				
530	0.021				
531	0.0				
532	0.01				
533	0.0				
534	0.0				
535	0.002				
536	0.007				
537	0.0				
538	0.0				
539	0.004				
540	0.0				
541	0.0				
542	0.0				
543	0.0				
544	0.0				
545	0.01				
546	0.0				
547	0.0				
548	0.0				
549	0.0				
550	0.048				
551	0.038				
552	0.046				
553	0.0				
554	0.02				
555	0.048				
556	0.043				
557	0.012				
558	0.025				
559	0.021				
560	0.053				
561	0.117				
562	0.0				
563	0.102				
564	0.058				
565	0.0				
566	0.006				
567	0.0				
568	0.0				
569	0.057				
570	0.046				
571	0.097				
572	0.049				
573	0.0				
574	0.009				
575	0.076				
576	0.044				
577	0.007				
578	0.023				
579	0.0				
580	0.034				
581	0.0				
582	0.008				
583	0.023				
584	0.106				
585	0.01				
586	0.022				
587	0.122				
588	0.133				
589	0.0				
590	0.0				
591	0.123				
592	0.021				
593	0.079				
594	0.092				
595	0.0				
596	0.069				
597	0.127				
598	0.0				
599	0.069				
600	0.091				
601	0.0				
602	0.0				
603	0.0				
604	0.014				
605	0.0				
606	0.0				
607	0.093				
608	0.057				
609	0.08				
610	0.054				
611	0.05				
612	0.0				
613	0.093				
614	0.0				
615	0.05				
616	0.033				
617	0.056				
618	0.0				
619	0.088				
620	0.0				
621	0.059				
622	0.0				
623	0.102				
624	0.122				
625	0.206				
626	0.0				
627	0.069				
628	0.0				
629	0.084				
630	0.213				
631	0.019				
632	0.1				
633	0.045				
634	0.091				
635	0.054				
636	0.0				
637	0.043				
638	0.032				
639	0.114				
640	0.111				
641	0.039				
642	0.0				
643	0.018				
644	0.0				
645	0.138				
646	0.159				
647	0.139				
648	0.06				
649	0.105				
650	0.21				
651	0.111				
652	0.0				
653	0.016				
654	0.119				
655	0.004				
656	0.076				
657	0.0				
658	0.001				
659	0.0				
660	0.064				
661	0.055				
662	0.0				
663	0.036				
664	0.048				
665	0.023				
666	0.143				
667	0.143				
668	0.049				
669	0.0				
670	0.019				
671	0.102				
672	0.017				
673	0.0				
674	0.02				
675	0.118				
676	0.182				
677	0.399				
678	0.603				
679	1.538				
680	3.065				
681	4.671				
682	7.617				
683	11.868				
684	17.937				
685	23.651				
686	27.758				
687	30.648				
688	32.732				
689	33.397				
690	33.69				
691	34.685				
692	40.771				
693	49.588				
694	59.504				
695	72.027				
696	81.29				
697	86.52				
698	90.783				
699	93.336				
700	93.635				
701	93.971				
702	94.516				
703	95.08				
704	95.069				
705	95.183				
706	95.154				
707	95.384				
708	95.512				
709	95.83				
710	96.435				
711	96.791				
712	96.859				
713	96.85				
714	96.192				
715	95.969				
716	95.899				
717	95.91				
718	95.938				
719	96.242				
720	96.713				
721	96.871				
722	97.157				
723	96.75				
724	96.705				
725	96.593				
726	96.377				
727	96.605				
728	96.706				
729	97.177				
730	97.353				
731	97.138				
732	97.024				
733	96.881				
734	96.631				
735	96.821				
736	97.159				
737	97.295				
738	97.078				
739	97.204				
740	97.267				
741	96.886				
742	96.507				
743	94.766				
744	92.439				
745	89.251				
746	84.79				
747	80.236				
748	74.344				
749	69.037				
750	64.472				
