Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	95.48		Omega	460 OD 0.1 NOTCH Notch (Rejection Band)	W5017
401	95.511				
402	95.247				
403	95.259				
404	94.961				
405	94.746				
406	94.519				
407	94.303				
408	94.151				
409	93.755				
410	93.376				
411	93.027				
412	92.7				
413	92.204				
414	92.043				
415	91.545				
416	90.981				
417	90.571				
418	90.143				
419	89.726				
420	89.22				
421	88.632				
422	87.992				
423	87.77				
424	87.144				
425	86.565				
426	86.034				
427	85.673				
428	85.03				
429	84.714				
430	84.193				
431	83.557				
432	83.064				
433	82.636				
434	82.288				
435	81.705				
436	81.335				
437	80.883				
438	80.442				
439	80.23				
440	79.747				
441	79.374				
442	79.039				
443	78.614				
444	78.368				
445	78.276				
446	77.973				
447	77.62				
448	77.378				
449	77.121				
450	76.962				
451	76.748				
452	76.649				
453	76.408				
454	76.351				
455	76.192				
456	76.221				
457	76.06				
458	76.037				
459	75.88				
460	75.965				
461	75.916				
462	76.034				
463	76.058				
464	76.117				
465	76.122				
466	76.124				
467	76.248				
468	76.467				
469	76.487				
470	76.658				
471	76.821				
472	76.954				
473	77.094				
474	77.258				
475	77.554				
476	77.854				
477	77.988				
478	78.13				
479	78.484				
480	78.729				
481	79.085				
482	79.316				
483	79.531				
484	79.938				
485	80.267				
486	80.562				
487	80.833				
488	81.235				
489	81.505				
490	81.839				
491	82.1				
492	82.569				
493	82.829				
494	83.325				
495	83.547				
496	83.884				
497	84.448				
498	84.639				
499	84.87				
500	85.202				
501	85.521				
502	85.937				
503	86.406				
504	86.859				
505	87.11				
506	87.461				
507	87.71				
508	88.276				
509	88.39				
510	88.724				
511	89.04				
512	89.352				
513	89.664				
514	89.915				
515	90.32				
516	90.657				
517	90.914				
518	91.048				
519	91.477				
520	91.726				
521	91.75				
522	92.132				
523	92.219				
524	92.471				
525	92.89				
526	92.892				
527	93.214				
528	93.168				
529	93.416				
530	93.529				
531	93.803				
532	93.843				
533	93.908				
534	94.025				
535	94.251				
536	94.308				
537	94.518				
538	94.323				
539	94.536				
540	94.75				
541	94.708				
542	94.667				
543	94.889				
544	94.9				
545	94.893				
546	94.767				
547	94.754				
548	95.06				
549	94.908				
550	95.066				
551	94.948				
552	95.104				
553	94.983				
554	95.086				
555	95.051				
556	94.771				
557	94.815				
558	94.953				
559	94.956				
560	94.94				
561	94.76				
562	94.648				
563	94.774				
564	94.691				
565	94.491				
566	94.578				
567	94.532				
568	94.586				
569	94.492				
570	94.399				
571	94.48				
572	94.298				
573	94.229				
574	94.254				
575	94.121				
576	94.006				
577	94.155				
578	94.103				
579	93.925				
580	94.002				
581	93.886				
582	93.882				
583	93.759				
584	93.633				
585	93.635				
586	93.675				
587	93.727				
588	93.495				
589	93.622				
590	93.594				
591	93.407				
592	93.328				
593	93.364				
594	93.334				
595	93.317				
596	93.272				
597	93.325				
598	93.248				
599	93.24				
600	93.273				
601	93.274				
602	93.12				
603	93.093				
604	93.253				
605	93.171				
606	93.002				
607	93.079				
608	92.999				
609	93.148				
610	93.13				
611	93.108				
612	93.102				
613	93.068				
614	93.275				
615	93.068				
616	93.072				
617	93.08				
618	93.013				
619	93.192				
620	93.053				
621	93.011				
622	93.247				
623	93.032				
624	92.974				
625	92.956				
626	93.193				
627	93.109				
628	93.026				
629	93.076				
630	93.115				
631	92.947				
632	92.895				
633	93.253				
634	92.914				
635	93.108				
636	93.028				
637	93.092				
638	93.135				
639	93.0				
640	93.324				
641	93.288				
642	93.49				
643	93.322				
644	93.528				
645	93.359				
646	93.338				
647	93.137				
648	93.246				
649	93.498				
650	93.296				
651	93.273				
652	93.287				
653	93.219				
654	93.441				
655	93.353				
656	93.308				
657	93.316				
658	93.494				
659	93.398				
660	93.287				
661	93.388				
662	93.186				
663	93.113				
664	93.333				
665	93.238				
666	93.462				
667	93.06				
668	93.408				
669	93.331				
670	93.015				
671	93.193				
672	93.224				
673	93.174				
674	93.142				
675	93.144				
676	93.637				
677	93.269				
678	92.912				
679	92.965				
680	92.987				
681	92.941				
682	93.197				
683	92.96				
684	92.872				
685	93.076				
686	92.944				
687	92.97				
688	93.112				
689	92.841				
690	92.869				
691	92.694				
692	92.749				
693	92.75				
694	92.515				
695	92.605				
696	92.643				
697	92.744				
698	92.604				
699	92.488				
700	92.527				
