Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
600	95.59		Omega	638AESP Shortpass	W5029
601	95.534				
602	95.576				
603	95.694				
604	95.75				
605	95.784				
606	95.791				
607	95.736				
608	95.603				
609	95.409				
610	95.215				
611	95.226				
612	95.291				
613	95.437				
614	95.611				
615	95.636				
616	95.6				
617	95.482				
618	95.354				
619	95.259				
620	95.309				
621	95.404				
622	95.533				
623	95.467				
624	95.274				
625	95.084				
626	94.954				
627	95.015				
628	95.292				
629	95.496				
630	95.374				
631	94.85				
632	94.275				
633	94.138				
634	94.493				
635	94.891				
636	94.603				
637	92.92				
638	78.956				
639	41.024				
640	11.634				
641	2.8				
642	0.749				
643	0.225				
644	0.075				
645	0.032				
646	0.01				
647	0.006				
648	0.002				
649	0.004				
650	0.002				
651	0.003				
652	0.0				
653	0.0				
654	0.002				
655	0.0				
656	0.002				
657	0.0				
658	0.0				
659	0.0				
660	0.0				
661	0.0				
662	0.0				
663	0.0				
664	0.002				
665	0.004				
666	0.0				
667	0.004				
668	0.0				
669	0.0				
670	0.0				
671	0.002				
672	0.0				
673	0.001				
674	0.001				
675	0.003				
676	0.0				
677	0.001				
678	0.0				
679	0.001				
680	0.0				
681	0.0				
682	0.0				
683	0.0				
684	0.0				
685	0.0				
686	0.004				
687	0.0				
688	0.0				
689	0.001				
690	0.002				
691	0.0				
692	0.001				
693	0.0				
694	0.0				
695	0.0				
696	0.0				
697	0.0				
698	0.002				
699	0.0				
700	0.0				
