Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
700	0.0		Omega	925BP70 Bandpass	W5229
701	0.0				
702	0.0				
703	0.0				
704	0.0				
705	0.0				
706	0.0				
707	0.0				
708	0.0				
709	0.0				
710	0.0				
711	0.0				
712	0.0				
713	0.0				
714	0.0				
715	0.0				
716	0.0				
717	0.0				
718	0.0				
719	0.121				
720	0.159				
721	0.048				
722	0.181				
723	0.043				
724	0.201				
725	0.217				
726	0.165				
727	0.133				
728	0.151				
729	0.19				
730	0.015				
731	0.147				
732	0.139				
733	0.331				
734	0.253				
735	0.13				
736	0.056				
737	0.13				
738	0.215				
739	0.19				
740	0.256				
741	0.211				
742	0.162				
743	0.28				
744	0.248				
745	0.227				
746	0.21				
747	0.317				
748	0.292				
749	0.304				
750	0.175				
751	0.188				
752	0.443				
753	0.278				
754	0.478				
755	0.372				
756	0.111				
757	0.373				
758	0.192				
759	0.124				
760	0.065				
761	0.437				
762	0.229				
763	0.188				
764	0.152				
765	0.287				
766	0.457				
767	0.418				
768	0.179				
769	0.286				
770	0.164				
771	0.306				
772	0.337				
773	0.416				
774	0.484				
775	0.183				
776	0.653				
777	0.68				
778	0.294				
779	0.535				
780	0.864				
781	0.711				
782	0.637				
783	0.704				
784	0.816				
785	0.618				
786	0.586				
787	0.562				
788	0.771				
789	0.724				
790	0.674				
791	0.78				
792	0.679				
793	0.786				
794	0.54				
795	0.658				
796	0.63				
797	0.577				
798	0.34				
799	0.56				
800	0.75				
801	1.039				
802	0.708				
803	0.653				
804	0.622				
805	0.423				
806	0.853				
807	0.601				
808	0.724				
809	0.803				
810	0.883				
811	1.078				
812	0.406				
813	0.707				
814	0.625				
815	0.448				
816	0.597				
817	0.578				
818	0.98				
819	0.912				
820	0.975				
821	1.135				
822	1.502				
823	1.766				
824	1.546				
825	1.72				
826	2.066				
827	1.909				
828	2.265				
829	2.837				
830	3.105				
831	3.558				
832	3.913				
833	4.931				
834	5.622				
835	6.833				
836	7.75				
837	9.47				
838	10.945				
839	12.849				
840	15.422				
841	18.312				
842	20.774				
843	23.955				
844	28.024				
845	31.428				
846	35.26				
847	39.66				
848	43.424				
849	46.424				
850	50.46				
851	53.327				
852	56.833				
853	59.765				
854	62.619				
855	65.793				
856	68.339				
857	71.652				
858	74.408				
859	77.492				
860	79.824				
861	81.523				
862	83.14				
863	84.49				
864	85.788				
865	87.206				
866	87.84				
867	88.823				
868	89.726				
869	90.454				
870	90.774				
871	91.511				
872	92.046				
873	92.239				
874	92.695				
875	93.026				
876	92.828				
877	93.161				
878	93.074				
879	93.81				
880	93.4				
881	93.24				
882	93.034				
883	93.104				
884	92.994				
885	92.714				
886	92.995				
887	92.469				
888	92.141				
889	92.022				
890	91.958				
891	91.487				
892	91.296				
893	90.545				
894	90.413				
895	90.17				
896	89.602				
897	89.652				
898	88.88				
899	88.118				
900	87.458				
901	86.719				
902	85.131				
903	83.796				
904	81.808				
905	79.607				
906	77.455				
907	74.831				
908	72.073				
909	68.992				
910	65.351				
911	62.383				
912	58.961				
913	55.533				
914	51.877				
915	48.195				
916	44.958				
917	41.094				
918	38.314				
919	34.385				
920	31.178				
921	28.443				
922	25.48				
923	23.059				
924	20.912				
925	18.377				
926	16.348				
927	14.861				
928	13.274				
929	11.96				
930	10.583				
931	9.503				
932	8.608				
933	7.849				
934	6.893				
935	6.23				
936	5.757				
937	5.163				
938	4.7				
939	4.526				
940	4.113				
941	3.776				
942	3.295				
943	3.482				
944	2.947				
945	2.6				
946	2.582				
947	2.328				
948	2.132				
949	1.904				
950	1.955				
951	1.848				
952	1.544				
953	1.831				
954	1.582				
955	1.216				
956	1.44				
957	1.189				
958	1.503				
959	0.914				
960	1.033				
961	1.276				
962	1.676				
963	0.841				
964	0.944				
965	1.0				
966	0.78				
967	0.928				
968	0.357				
969	0.718				
970	0.944				
971	0.875				
972	0.754				
973	0.866				
974	0.699				
975	0.489				
976	0.74				
977	0.761				
978	0.564				
979	0.306				
980	0.327				
981	0.599				
982	0.836				
983	0.569				
984	0.805				
985	0.544				
986	0.765				
987	0.731				
988	0.408				
989	0.318				
990	0.392				
991	0.761				
992	0.546				
993	0.475				
994	0.578				
995	0.183				
996	0.678				
997	0.741				
998	0.49				
999	0.64				
1000	0.475				
1001	0.391				
1002	0.237				
1003	1.204				
1004	0.834				
1005	1.171				
1006	0.07				
1007	0.893				
1008	0.941				
1009	0.936				
1010	0.0				
1011	0.926				
1012	0.761				
1013	0.655				
1014	0.599				
1015	0.046				
1016	0.524				
1017	0.759				
1018	0.166				
1019	0.285				
1020	0.0				
1021	0.014				
1022	1.099				
1023	0.149				
1024	0.0				
1025	0.0				
1026	1.464				
1027	0.637				
1028	1.005				
1029	0.101				
1030	0.822				
1031	0.485				
1032	0.071				
1033	1.665				
1034	1.595				
1035	0.0				
1036	0.695				
1037	1.859				
1038	0.323				
1039	0.0				
1040	0.147				
1041	1.874				
1042	1.01				
1043	0.0				
1044	0.563				
1045	1.061				
1046	1.06				
1047	1.659				
1048	1.444				
1049	0.632				
1050	1.966				
1051	1.188				
1052	1.426				
1053	0.0				
1054	1.948				
1055	2.077				
1056	2.694				
1057	2.211				
1058	0.0				
1059	3.135				
1060	2.41				
1061	1.929				
1062	3.492				
1063	0.685				
1064	0.45				
1065	0.0				
1066	0.394				
1067	2.275				
1068	1.423				
1069	2.011				
1070	2.485				
1071	1.107				
1072	0.0				
1073	1.923				
1074	5.059				
1075	0.0				
1076	4.375				
1077	2.848				
1078	2.24				
1079	1.086				
1080	0.872				
1081	4.877				
1082	4.505				
1083	0.0				
1084	0.0				
1085	3.245				
1086	3.205				
1087	2.76				
1088	1.96				
1089	5.469				
1090	2.521				
1091	4.062				
1092	5.682				
1093	2.374				
1094	0.0				
1095	4.048				
1096	4.941				
1097	2.592				
1098	5.246				
1099	6.176				
1100	6.964				
