Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.002		Omega	670-720-970 TRIPLE BAND Triple Band	W5346
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.001				
311	0.001				
312	0.0				
313	0.001				
314	0.0				
315	0.001				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.001				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.001				
327	0.001				
328	0.002				
329	0.001				
330	0.0				
331	0.0				
332	0.001				
333	0.0				
334	0.0				
335	0.001				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.001				
343	0.0				
344	0.002				
345	0.0				
346	0.0				
347	0.001				
348	0.0				
349	0.001				
350	0.001				
351	0.0				
352	0.002				
353	0.001				
354	0.001				
355	0.0				
356	0.0				
357	0.002				
358	0.001				
359	0.0				
360	0.0				
361	0.0				
362	0.001				
363	0.0				
364	0.002				
365	0.0				
366	0.003				
367	0.003				
368	0.0				
369	0.003				
370	0.0				
371	0.0				
372	0.003				
373	0.002				
374	0.001				
375	0.003				
376	0.002				
377	0.0				
378	0.001				
379	0.0				
380	0.0				
381	0.0				
382	0.001				
383	0.001				
384	0.001				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.001				
391	0.0				
392	0.001				
393	0.002				
394	0.0				
395	0.0				
396	0.001				
397	0.0				
398	0.003				
399	0.003				
400	0.0				
401	0.002				
402	0.002				
403	0.003				
404	0.0				
405	0.001				
406	0.0				
407	0.0				
408	0.002				
409	0.002				
410	0.006				
411	0.003				
412	0.0				
413	0.003				
414	0.0				
415	0.0				
416	0.0				
417	0.001				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.001				
423	0.0				
424	0.0				
425	0.002				
426	0.0				
427	0.002				
428	0.001				
429	0.0				
430	0.0				
431	0.0				
432	0.002				
433	0.0				
434	0.001				
435	0.001				
436	0.0				
437	0.0				
438	0.003				
439	0.002				
440	0.002				
441	0.0				
442	0.0				
443	0.0				
444	0.002				
445	0.0				
446	0.002				
447	0.0				
448	0.0				
449	0.0				
450	0.001				
451	0.0				
452	0.001				
453	0.001				
454	0.003				
455	0.0				
456	0.0				
457	0.002				
458	0.004				
459	0.0				
460	0.006				
461	0.0				
462	0.003				
463	0.01				
464	0.005				
465	0.001				
466	0.003				
467	0.0				
468	0.001				
469	0.001				
470	0.0				
471	0.002				
472	0.001				
473	0.0				
474	0.0				
475	0.0				
476	0.003				
477	0.001				
478	0.0				
479	0.002				
480	0.001				
481	0.0				
482	0.0				
483	0.0				
484	0.001				
485	0.005				
486	0.002				
487	0.002				
488	0.001				
489	0.001				
490	0.002				
491	0.005				
492	0.0				
493	0.001				
494	0.003				
495	0.003				
496	0.003				
497	0.0				
498	0.0				
499	0.0				
500	0.0				
501	0.0				
502	0.0				
503	0.006				
504	0.0				
505	0.001				
506	0.001				
507	0.001				
508	0.001				
509	0.0				
510	0.004				
511	0.002				
512	0.002				
513	0.001				
514	0.001				
515	0.005				
516	0.003				
517	0.002				
518	0.001				
519	0.001				
520	0.005				
521	0.001				
522	0.002				
523	0.003				
524	0.001				
525	0.004				
526	0.0				
527	0.002				
528	0.0				
529	0.001				
530	0.002				
531	0.001				
532	0.002				
533	0.0				
534	0.0				
535	0.001				
536	0.002				
537	0.0				
538	0.001				
539	0.0				
540	0.005				
541	0.0				
542	0.001				
543	0.0				
544	0.003				
545	0.003				
546	0.001				
547	0.0				
548	0.0				
549	0.003				
550	0.004				
551	0.0				
552	0.004				
553	0.001				
554	0.001				
555	0.0				
556	0.003				
557	0.007				
558	0.003				
559	0.0				
560	0.002				
561	0.002				
562	0.005				
563	0.005				
564	0.002				
565	0.001				
566	0.0				
567	0.0				
568	0.001				
569	0.0				
570	0.001				
571	0.0				
572	0.002				
573	0.0				
574	0.003				
575	0.002				
576	0.005				
577	0.0				
578	0.003				
579	0.004				
580	0.001				
581	0.0				
582	0.002				
583	0.005				
584	0.002				
585	0.006				
586	0.001				
587	0.001				
588	0.002				
589	0.004				
