Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
500	53.861		Omega	710DCLP Dichroic	W5365
501	55.194				
502	56.2				
503	56.931				
504	57.448				
505	57.874				
506	58.32				
507	58.88				
508	59.689				
509	60.74				
510	61.983				
511	63.288				
512	64.565				
513	65.556				
514	66.169				
515	66.234				
516	65.602				
517	64.292				
518	62.248				
519	59.54				
520	56.27				
521	52.662				
522	48.784				
523	44.841				
524	40.908				
525	37.195				
526	33.668				
527	30.417				
528	27.464				
529	24.806				
530	22.43				
531	20.3				
532	18.418				
533	16.765				
534	15.271				
535	13.955				
536	12.79				
537	11.758				
538	10.837				
539	10.01				
540	9.275				
541	8.617				
542	8.019				
543	7.486				
544	6.991				
545	6.553				
546	6.165				
547	5.819				
548	5.51				
549	5.225				
550	4.966				
551	4.726				
552	4.511				
553	4.311				
554	4.125				
555	3.96				
556	3.803				
557	3.662				
558	3.528				
559	3.407				
560	3.295				
561	3.192				
562	3.095				
563	3.004				
564	2.92				
565	2.841				
566	2.768				
567	2.7				
568	2.646				
569	2.594				
570	2.549				
571	2.507				
572	2.469				
573	2.435				
574	2.403				
575	2.377				
576	2.35				
577	2.329				
578	2.309				
579	2.295				
580	2.282				
581	2.27				
582	2.263				
583	2.257				
584	2.253				
585	2.252				
586	2.253				
587	2.257				
588	2.262				
589	2.271				
590	2.278				
591	2.289				
592	2.303				
593	2.318				
594	2.333				
595	2.349				
596	2.368				
597	2.391				
598	2.411				
599	2.432				
600	2.456				
601	2.478				
602	2.505				
603	2.528				
604	2.555				
605	2.583				
606	2.609				
607	2.636				
608	2.666				
609	2.695				
610	2.727				
611	2.757				
612	2.791				
613	2.825				
614	2.861				
615	2.899				
616	2.939				
617	2.981				
618	3.025				
619	3.071				
620	3.119				
621	3.171				
622	3.225				
623	3.283				
624	3.346				
625	3.412				
626	3.48				
627	3.554				
628	3.629				
629	3.71				
630	3.797				
631	3.885				
632	3.98				
633	4.077				
634	4.182				
635	4.291				
636	4.404				
637	4.524				
638	4.646				
639	4.774				
640	4.912				
641	5.052				
642	5.2				
643	5.352				
644	5.514				
645	5.681				
646	5.854				
647	6.034				
648	6.222				
649	6.415				
650	6.62				
651	6.83				
652	7.05				
653	7.278				
654	7.518				
655	7.766				
656	8.02				
657	8.289				
658	8.571				
659	8.861				
660	9.163				
661	9.48				
662	9.812				
663	10.155				
664	10.508				
665	10.882				
666	11.268				
667	11.68				
668	12.089				
669	12.534				
670	12.992				
671	13.462				
672	13.961				
673	14.476				
674	15.012				
675	15.569				
676	16.145				
677	16.756				
678	17.384				
679	18.035				
680	18.72				
681	19.425				
682	20.149				
683	20.914				
684	21.7				
685	22.522				
686	23.378				
687	24.259				
688	25.156				
689	26.097				
690	27.066				
691	28.05				
692	29.077				
693	30.121				
694	31.207				
695	32.314				
696	33.449				
697	34.595				
698	35.789				
699	37.004				
700	38.229				
701	39.466				
702	40.735				
703	42.01				
704	43.31				
705	44.624				
706	45.938				
707	47.248				
708	48.592				
709	49.9				
710	51.219				
711	52.52				
712	53.828				
713	55.131				
714	56.399				
715	57.661				
716	58.896				
717	60.119				
718	61.343				
719	62.475				
720	63.639				
721	64.748				
722	65.844				
723	66.93				
724	67.965				
725	68.972				
726	69.939				
727	70.932				
728	71.795				
729	72.697				
730	73.585				
731	74.388				
732	75.228				
733	76.031				
734	76.744				
735	77.497				
736	78.205				
737	78.885				
738	79.537				
739	80.157				
740	80.797				
741	81.377				
742	81.959				
743	82.502				
744	82.977				
745	83.494				
746	83.982				
747	84.387				
748	84.795				
749	85.165				
750	85.532				
751	85.816				
752	86.152				
753	86.406				
754	86.672				
755	86.909				
756	87.085				
757	87.247				
758	87.372				
759	87.537				
760	87.642				
761	87.739				
762	87.844				
763	87.887				
764	87.923				
765	87.964				
766	88.004				
767	88.022				
768	88.05				
769	88.043				
770	88.05				
771	88.099				
772	88.082				
773	88.085				
774	88.056				
775	88.119				
776	88.049				
777	88.039				
778	88.12				
779	88.116				
780	88.161				
781	88.174				
782	88.17				
783	88.257				
784	88.251				
785	88.254				
786	88.348				
787	88.325				
788	88.382				
789	88.43				
790	88.51				
791	88.598				
792	88.639				
793	88.719				
794	88.752				
795	88.865				
796	88.903				
797	88.989				
798	89.071				
799	89.153				
800	89.254				
801	89.346				
802	89.44				
803	89.52				
804	89.638				
805	89.725				
806	89.838				
807	89.864				
808	90.022				
809	90.125				
810	90.205				
811	90.3				
812	90.346				
813	90.461				
814	90.565				
815	90.608				
816	90.751				
817	90.851				
818	90.936				
819	91.016				
820	91.052				
821	91.164				
822	91.189				
823	91.252				
824	91.291				
825	91.364				
826	91.464				
827	91.532				
828	91.559				
829	91.602				
830	91.679				
831	91.693				
832	91.815				
833	91.8				
834	91.792				
835	91.815				
836	91.847				
837	91.802				
838	91.858				
839	91.842				
840	91.873				
841	91.858				
842	91.828				
843	91.845				
844	91.725				
845	91.832				
846	91.794				
847	91.756				
848	91.649				
849	91.734				
850	91.67				
851	91.613				
852	91.562				
853	91.508				
854	91.461				
855	91.422				
856	91.467				
857	91.335				
858	91.355				
859	91.361				
860	91.222				
