Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	50.082		Omega	50/50 QMAX Beam Splitter	W5367
401	49.832				
402	49.75				
403	49.658				
404	49.577				
405	49.521				
406	49.391				
407	49.41				
408	49.354				
409	49.322				
410	49.248				
411	49.227				
412	49.276				
413	49.199				
414	49.231				
415	49.309				
416	49.315				
417	49.357				
418	49.398				
419	49.451				
420	49.493				
421	49.526				
422	49.593				
423	49.579				
424	49.648				
425	49.72				
426	49.902				
427	49.84				
428	49.965				
429	50.006				
430	50.103				
431	50.298				
432	50.356				
433	50.489				
434	50.547				
435	50.739				
436	50.812				
437	50.894				
438	51.012				
439	51.051				
440	51.251				
441	51.325				
442	51.335				
443	51.492				
444	51.533				
445	51.646				
446	51.644				
447	51.809				
448	51.846				
449	51.893				
450	51.987				
451	51.933				
452	52.027				
453	52.084				
454	52.072				
455	52.018				
456	52.008				
457	52.064				
458	51.954				
459	51.991				
460	51.997				
461	51.936				
462	51.911				
463	51.901				
464	51.879				
465	51.784				
466	51.773				
467	51.642				
468	51.591				
469	51.633				
470	51.503				
471	51.464				
472	51.424				
473	51.397				
474	51.271				
475	51.202				
476	51.205				
477	51.142				
478	51.068				
479	51.065				
480	51.046				
481	50.892				
482	50.883				
483	50.77				
484	50.801				
485	50.812				
486	50.737				
487	50.713				
488	50.729				
489	50.592				
490	50.591				
491	50.552				
492	50.577				
493	50.545				
494	50.528				
495	50.43				
496	50.441				
497	50.429				
498	50.409				
499	50.486				
500	50.475				
501	50.396				
502	50.448				
503	50.388				
504	50.431				
505	50.43				
506	50.317				
507	50.351				
508	50.298				
509	50.428				
510	50.38				
511	50.344				
512	50.405				
513	50.333				
514	50.351				
515	50.264				
516	50.294				
517	50.362				
518	50.381				
519	50.366				
520	50.392				
521	50.422				
522	50.349				
523	50.426				
524	50.387				
525	50.393				
526	50.409				
527	50.356				
528	50.441				
529	50.42				
530	50.4				
531	50.416				
532	50.448				
533	50.412				
534	50.446				
535	50.497				
536	50.44				
537	50.416				
538	50.422				
539	50.472				
540	50.464				
541	50.507				
542	50.561				
543	50.49				
544	50.644				
545	50.548				
546	50.565				
547	50.563				
548	50.571				
549	50.638				
550	50.543				
551	50.691				
552	50.574				
553	50.602				
554	50.765				
555	50.733				
556	50.74				
557	50.716				
558	50.646				
559	50.624				
560	50.656				
561	50.714				
562	50.656				
563	50.836				
564	50.836				
565	50.848				
566	50.816				
567	50.808				
568	50.812				
569	50.81				
570	50.779				
571	50.874				
572	50.911				
573	50.866				
574	50.909				
575	50.866				
576	50.846				
577	50.897				
578	50.92				
579	50.834				
580	50.877				
581	51.0				
582	50.966				
583	51.031				
584	51.003				
585	51.045				
586	50.922				
587	51.079				
588	51.123				
589	51.125				
590	51.19				
591	51.146				
592	51.176				
593	51.088				
594	51.131				
595	51.198				
596	51.3				
597	51.236				
598	51.282				
599	51.155				
600	51.319				
601	51.343				
602	51.31				
603	51.524				
604	51.318				
605	51.418				
606	51.42				
607	51.443				
608	51.421				
609	51.5				
610	51.594				
611	51.537				
612	51.571				
613	51.606				
614	51.549				
615	51.568				
616	51.66				
617	51.628				
618	51.763				
619	51.574				
620	51.788				
621	51.761				
622	51.76				
623	51.812				
624	51.859				
625	51.764				
626	51.915				
627	51.882				
628	51.934				
629	51.94				
630	52.075				
631	52.015				
632	51.995				
633	52.034				
634	52.121				
635	52.065				
636	51.978				
637	52.204				
638	52.022				
639	52.024				
640	52.149				
641	52.139				
642	52.149				
643	52.218				
644	52.241				
645	52.246				
646	52.189				
647	52.303				
648	52.235				
649	52.203				
650	52.271				
651	52.266				
652	52.291				
653	52.179				
654	52.222				
655	52.141				
656	52.302				
657	52.318				
658	52.237				
659	52.172				
660	52.19				
661	52.183				
662	52.245				
663	52.212				
664	52.28				
665	52.116				
666	52.228				
667	52.086				
668	52.26				
669	52.043				
670	52.156				
671	52.208				
672	52.071				
673	52.166				
674	52.099				
675	52.111				
676	52.125				
677	52.198				
678	52.148				
679	51.975				
680	52.06				
681	51.954				
682	52.048				
683	52.054				
684	51.853				
685	51.952				
686	51.87				
687	51.891				
688	51.933				
689	51.91				
690	51.925				
691	51.905				
692	51.856				
693	51.822				
694	51.599				
695	51.656				
696	51.686				
697	51.708				
698	51.736				
699	51.607				
700	51.698				
701	51.639				
702	51.651				
703	51.569				
704	51.587				
705	51.604				
706	51.557				
707	51.563				
708	51.509				
709	51.615				
710	51.334				
711	51.478				
712	51.461				
713	51.39				
714	51.473				
715	51.32				
716	51.437				
717	51.306				
718	51.269				
719	51.377				
720	51.467				
721	51.327				
722	51.477				
723	51.345				
724	51.226				
725	51.342				
726	51.405				
727	51.385				
728	51.234				
729	51.052				
730	51.222				
731	51.193				
732	51.263				
733	51.137				
734	51.076				
735	51.468				
736	51.2				
737	51.118				
738	51.086				
739	51.442				
740	51.142				
741	51.01				
742	50.98				
743	51.262				
744	51.256				
745	51.031				
746	51.094				
747	51.04				
748	51.076				
749	51.162				
750	50.903				
751	51.009				
752	51.158				
753	50.827				
754	50.895				
755	50.938				
756	50.874				
757	50.862				
758	50.81				
759	51.102				
760	51.122				
761	51.009				
762	51.174				
763	51.118				
764	51.169				
765	51.102				
766	51.077				
767	51.163				
768	51.157				
769	51.19				
770	51.079				
771	50.93				
772	51.144				
773	51.09				
774	50.836				
775	51.086				
776	50.977				
777	51.059				
778	51.088				
779	51.027				
780	50.964				
781	50.95				
782	50.724				
783	50.911				
784	50.634				
785	50.976				
786	50.828				
787	50.877				
788	51.047				
789	51.018				
790	51.075				
791	51.181				
792	51.104				
793	50.928				
794	51.015				
795	51.002				
796	50.833				
797	50.759				
798	50.793				
799	51.114				
800	50.762				
801	50.886				
802	50.948				
803	50.904				
804	51.001				
805	51.161				
806	50.644				
807	50.739				
808	50.745				
809	51.129				
810	50.85				
811	50.643				
812	50.904				
813	50.991				
814	50.888				
