Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	94.363		Omega	745 NOTCH Notch (Rejection Band)	W5374
351	92.928				
352	92.618				
353	92.932				
354	93.91				
355	95.56				
356	95.773				
357	95.031				
358	94.137				
359	94.098				
360	94.841				
361	95.464				
362	95.714				
363	95.287				
364	94.531				
365	94.042				
366	94.059				
367	94.743				
368	95.669				
369	95.692				
370	94.994				
371	93.704				
372	92.475				
373	92.032				
374	92.721				
375	94.085				
376	95.318				
377	95.926				
378	95.306				
379	93.835				
380	92.332				
381	91.3				
382	91.249				
383	92.062				
384	93.905				
385	95.215				
386	95.872				
387	95.581				
388	94.46				
389	93.183				
390	92.269				
391	92.114				
392	92.582				
393	93.824				
394	94.916				
395	95.929				
396	95.936				
397	95.685				
398	95.125				
399	94.372				
400	93.955				
401	93.922				
402	94.306				
403	95.024				
404	95.641				
405	95.998				
406	96.02				
407	95.891				
408	95.811				
409	95.581				
410	95.433				
411	95.436				
412	95.628				
413	95.579				
414	95.642				
415	95.551				
416	95.301				
417	95.296				
418	95.032				
419	95.245				
420	95.298				
421	95.589				
422	95.933				
423	95.96				
424	95.814				
425	95.429				
426	94.918				
427	94.29				
428	93.995				
429	93.498				
430	93.601				
431	93.838				
432	94.37				
433	94.895				
434	95.52				
435	96.011				
436	96.158				
437	96.216				
438	95.975				
439	95.634				
440	95.133				
441	94.702				
442	94.379				
443	94.308				
444	94.442				
445	94.509				
446	94.791				
447	94.926				
448	95.12				
449	95.24				
450	95.394				
451	95.417				
452	95.504				
453	95.524				
454	95.66				
455	95.855				
456	96.038				
457	96.118				
458	96.052				
459	96.06				
460	95.896				
461	95.741				
462	95.464				
463	95.378				
464	95.095				
465	94.998				
466	95.09				
467	95.306				
468	95.64				
469	95.852				
470	96.096				
471	96.076				
472	96.143				
473	95.946				
474	95.776				
475	95.488				
476	95.069				
477	94.815				
478	94.548				
479	94.483				
480	94.415				
481	94.656				
482	94.857				
483	95.243				
484	95.615				
485	95.852				
486	96.015				
487	96.139				
488	96.113				
489	95.839				
490	95.508				
491	95.189				
492	94.942				
493	94.671				
494	94.473				
495	94.46				
496	94.545				
497	94.738				
498	94.961				
499	95.26				
500	95.506				
501	95.85				
502	96.076				
503	96.146				
504	96.113				
505	95.946				
506	95.734				
507	95.596				
508	95.34				
509	95.134				
510	95.029				
511	95.039				
512	95.105				
513	95.262				
514	95.476				
