Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
430	95.453		Omega	460-535-600BP Triple Band	W5423
431	94.882				
432	93.505				
433	92.189				
434	91.615				
435	92.285				
436	93.24				
437	93.788				
438	93.416				
439	92.326				
440	90.938				
441	90.005				
442	89.907				
443	90.478				
444	91.443				
445	92.695				
446	93.896				
447	94.823				
448	95.169				
449	95.213				
450	94.835				
451	94.394				
452	94.092				
453	93.964				
454	94.131				
455	94.367				
456	94.885				
457	95.353				
458	95.695				
459	95.735				
460	95.556				
461	94.803				
462	93.673				
463	92.058				
464	90.673				
465	90.06				
466	90.901				
467	92.988				
468	94.932				
469	94.814				
470	91.894				
471	87.0				
472	72.965				
473	41.443				
474	14.889				
475	4.618				
476	1.557				
477	0.587				
478	0.253				
479	0.117				
480	0.065				
481	0.035				
482	0.022				
483	0.012				
484	0.008				
485	0.006				
486	0.007				
487	0.007				
488	0.0				
489	0.0				
490	0.0				
491	0.005				
492	0.0				
493	0.003				
494	0.007				
495	0.004				
496	0.008				
497	0.028				
498	0.042				
499	0.02				
500	0.007				
501	0.004				
502	0.003				
503	0.001				
504	0.0				
505	0.005				
506	0.0				
507	0.0				
508	0.0				
509	0.0				
510	0.003				
511	0.0				
512	0.0				
513	0.0				
514	0.0				
515	0.0				
516	0.0				
517	0.0				
518	0.002				
519	0.0				
520	0.002				
521	0.004				
522	0.001				
523	0.006				
524	0.005				
525	0.003				
526	0.022				
527	0.046				
528	0.145				
529	0.587				
530	3.789				
531	28.609				
532	73.302				
533	88.682				
534	89.929				
535	68.984				
536	19.275				
537	2.338				
538	0.442				
539	0.119				
540	0.045				
541	0.015				
542	0.008				
543	0.005				
544	0.005				
545	0.006				
546	0.0				
547	0.0				
548	0.0				
549	0.004				
550	0.0				
551	0.001				
552	0.001				
553	0.002				
554	0.0				
555	0.0				
556	0.003				
557	0.0				
558	0.0				
559	0.003				
560	0.001				
561	0.003				
562	0.004				
563	0.001				
564	0.002				
565	0.0				
566	0.001				
567	0.0				
568	0.005				
569	0.0				
570	0.004				
571	0.001				
572	0.0				
573	0.0				
574	0.003				
575	0.0				
576	0.001				
577	0.003				
578	0.005				
579	0.005				
580	0.008				
581	0.005				
582	0.013				
583	0.009				
584	0.028				
585	0.042				
586	0.064				
587	0.114				
588	0.194				
589	0.35				
590	0.645				
591	1.284				
592	2.655				
593	5.8				
594	13.224				
595	29.096				
596	53.949				
597	77.268				
598	88.417				
599	91.358				
600	92.818				
601	94.219				
602	95.446				
603	95.634				
604	94.942				
605	94.014				
606	92.72				
607	92.16				
608	92.072				
609	92.531				
610	93.128				
611	93.92				
612	94.216				
613	94.327				
614	94.165				
615	93.616				
616	93.355				
617	93.034				
618	92.953				
619	93.105				
620	93.39				
621	93.583				
622	93.785				
623	93.682				
624	93.572				
625	93.249				
626	93.179				
627	93.573				
628	94.068				
629	95.003				
630	95.585				
