Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
910	0.0		Omega	1010WB60 Bandpass	W5432
911	0.0				
912	0.0				
913	0.0				
914	0.0				
915	0.0				
916	0.0				
917	0.0				
918	0.0				
919	0.0				
920	0.0				
921	0.0				
922	0.0				
923	0.0				
924	0.0				
925	0.0				
926	0.0				
927	0.0				
928	0.0				
929	0.0				
930	0.0				
931	0.0				
932	0.0				
933	0.0				
934	0.0				
935	0.0				
936	0.0				
937	0.0				
938	0.0				
939	0.0				
940	0.0				
941	0.0				
942	0.0				
943	0.0				
944	0.0				
945	0.0				
946	0.0				
947	0.0				
948	0.0				
949	0.0				
950	0.0				
951	0.0				
952	0.0				
953	0.0				
954	0.0				
955	0.0				
956	0.0				
957	0.0				
958	0.0				
959	0.0				
960	0.0				
961	0.0				
962	0.0				
963	0.3				
964	0.788				
965	1.378				
966	2.031				
967	3.052				
968	4.374				
969	5.996				
970	8.257				
971	11.302				
972	15.028				
973	19.948				
974	26.285				
975	34.07				
976	42.301				
977	51.114				
978	60.152				
979	67.228				
980	73.015				
981	77.006				
982	79.132				
983	80.226				
984	80.517				
985	80.572				
986	80.326				
987	80.323				
988	80.433				
989	80.604				
990	81.095				
991	81.647				
992	82.268				
993	83.068				
994	83.543				
995	84.173				
996	84.717				
997	85.04				
998	85.168				
999	85.439				
1000	85.402				
1001	85.219				
1002	85.042				
1003	84.812				
1004	84.473				
1005	84.073				
1006	83.626				
1007	83.316				
1008	82.893				
1009	82.516				
1010	82.172				
1011	81.751				
1012	81.438				
1013	81.092				
1014	80.697				
1015	80.412				
1016	80.077				
1017	79.802				
1018	79.584				
1019	79.467				
1020	79.389				
1021	79.531				
1022	79.711				
1023	80.048				
1024	80.526				
1025	80.906				
1026	81.242				
1027	80.997				
1028	80.14				
1029	78.271				
1030	74.981				
1031	70.054				
1032	63.293				
1033	55.699				
1034	47.485				
1035	39.11				
1036	31.94				
1037	25.29				
1038	19.603				
1039	15.274				
1040	11.726				
1041	8.906				
1042	6.801				
1043	5.068				
1044	3.757				
1045	2.769				
1046	1.948				
1047	1.26				
1048	0.864				
1049	0.409				
1050	0.071				
1051	0.0				
1052	0.0				
1053	0.0				
1054	0.0				
1055	0.0				
1056	0.0				
1057	0.0				
1058	0.0				
1059	0.0				
1060	0.0				
1061	0.0				
1062	0.0				
1063	0.0				
1064	0.0				
1065	0.0				
1066	0.0				
1067	0.0				
1068	0.0				
1069	0.0				
1070	0.0				
1071	0.0				
1072	0.0				
1073	0.0				
1074	0.0				
1075	0.0				
1076	0.0				
1077	0.0				
1078	0.0				
1079	0.0				
1080	0.0				
1081	0.0				
1082	0.0				
1083	0.0				
1084	0.0				
1085	0.0				
1086	0.0				
1087	0.0				
1088	0.0				
1089	0.0				
1090	0.0				
1091	0.0				
1092	0.0				
1093	0.0				
1094	0.0				
1095	0.0				
1096	0.0				
1097	0.0				
1098	0.0				
1099	0.0				
1100	0.0				
