Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Omega	BG39 Absorption Glass	W5453
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.019				
313	0.028				
314	0.094				
315	0.178				
316	0.422				
317	0.621				
318	1.068				
319	1.818				
320	2.46				
321	3.473				
322	4.72				
323	6.365				
324	8.018				
325	9.571				
326	11.874				
327	14.104				
328	16.323				
329	18.815				
330	21.211				
331	23.179				
332	25.822				
333	28.37				
334	31.401				
335	33.484				
336	35.989				
337	38.428				
338	40.662				
339	42.999				
340	45.171				
341	46.947				
342	49.232				
343	50.738				
344	52.89				
345	54.422				
346	55.894				
347	57.257				
348	58.488				
349	59.998				
350	62.49				
351	62.43				
352	63.338				
353	64.28				
354	65.346				
355	66.17				
356	67.037				
357	67.884				
358	68.652				
359	69.169				
360	69.935				
361	70.448				
362	71.178				
363	71.731				
364	72.268				
365	72.79				
366	73.196				
367	73.71				
368	74.206				
369	74.504				
370	75.042				
371	75.288				
372	75.796				
373	76.055				
374	76.423				
375	76.836				
376	77.148				
377	77.416				
378	77.738				
379	77.983				
380	78.33				
381	78.454				
382	78.83				
383	79.032				
384	79.326				
385	79.52				
386	79.776				
387	80.062				
388	80.145				
389	80.544				
390	80.644				
391	81.022				
392	81.136				
393	81.388				
394	81.588				
395	81.749				
396	81.995				
397	82.128				
398	82.322				
399	82.418				
400	82.632				
401	82.828				
402	83.029				
403	83.204				
404	83.286				
405	83.472				
406	83.664				
407	83.756				
408	83.994				
409	84.056				
410	84.187				
411	84.348				
412	84.563				
413	84.697				
414	84.874				
415	84.973				
416	85.185				
417	85.178				
418	85.398				
419	85.481				
420	85.65				
421	85.808				
422	86.059				
423	86.016				
424	86.096				
425	86.271				
426	86.466				
427	86.622				
428	86.641				
429	86.747				
430	86.857				
431	86.898				
432	87.08				
433	87.232				
434	87.295				
435	87.426				
436	87.417				
437	87.621				
438	87.644				
439	87.801				
440	87.856				
441	87.965				
442	88.071				
443	88.176				
444	88.288				
445	88.377				
446	88.423				
447	88.534				
448	88.671				
449	88.682				
450	88.756				
451	88.905				
452	88.967				
453	89.044				
454	89.052				
455	89.176				
456	89.315				
457	89.344				
458	89.417				
459	89.462				
460	89.66				
461	89.689				
462	89.816				
463	89.788				
464	89.911				
465	89.977				
466	90.105				
467	90.035				
468	90.087				
469	90.127				
470	90.15				
471	90.268				
472	90.396				
473	90.35				
474	90.445				
475	90.593				
476	90.505				
477	90.635				
478	90.7				
479	90.638				
480	90.723				
481	90.789				
482	90.885				
483	90.939				
484	90.976				
485	90.959				
486	90.968				
487	91.021				
488	91.099				
489	91.242				
490	91.29				
491	91.234				
492	91.368				
493	91.184				
494	91.262				
495	91.218				
496	91.276				
497	91.286				
498	91.4				
499	91.302				
500	91.401				
501	91.3				
502	91.373				
503	91.371				
504	91.469				
505	91.378				
506	91.406				
507	91.45				
508	91.391				
509	91.458				
510	91.399				
511	91.21				
512	91.169				
513	91.25				
514	91.201				
515	91.079				
516	91.06				
517	91.05				
518	91.039				
519	90.868				
520	90.859				
521	90.867				
522	90.6				
523	90.64				
524	90.52				
525	90.354				
526	90.332				
527	90.226				
528	89.967				
529	89.782				
530	89.802				
531	89.557				
532	89.424				
533	89.305				
534	89.253				
535	89.195				
536	88.851				
537	88.59				
538	88.342				
539	88.224				
540	87.82				
541	87.744				
542	87.46				
543	87.25				
544	86.948				
545	86.748				
546	86.415				
547	86.285				
548	85.784				
549	85.399				
550	85.217				
551	84.705				
552	84.328				
553	84.014				
554	83.673				
555	83.034				
556	82.775				
557	82.456				
558	81.776				
559	81.227				
560	80.904				
561	80.305				
562	79.805				
563	79.213				
564	78.776				
565	78.081				
566	77.573				
567	77.03				
568	76.438				
569	75.738				
570	75.222				
571	74.576				
572	73.895				
573	73.24				
574	72.685				
575	71.992				
576	71.002				
577	70.409				
578	69.542				
579	68.905				
580	68.125				
581	67.357				
582	66.656				
583	65.817				
584	64.799				
585	64.143				
586	63.059				
587	62.314				
588	61.507				
589	60.414				
590	59.446				
591	58.622				
592	57.794				
593	57.049				
594	55.909				
595	55.023				
596	54.018				
597	52.96				
598	52.008				
599	51.196				
600	50.675				
601	49.645				
602	48.484				
603	47.364				
604	46.65				
605	45.668				
606	44.831				
607	43.611				
608	42.644				
609	41.531				
610	40.525				
611	39.705				
612	38.816				
613	38.034				
614	36.986				
615	36.126				
616	34.85				
617	34.113				
618	33.35				
619	32.473				
620	31.492				
621	30.585				
622	29.82				
623	28.751				
624	27.962				
625	27.152				
626	26.392				
627	25.56				
628	24.917				
629	23.998				
630	23.098				
631	22.391				
632	21.728				
633	20.877				
634	20.161				
635	19.547				
636	18.802				
637	17.996				
638	17.474				
639	16.855				
640	16.29				
641	15.698				
642	14.977				
643	14.421				
644	13.699				
645	13.192				
646	12.792				
647	12.372				
648	11.597				
649	11.249				
650	10.643				
651	10.19				
652	9.893				
653	9.577				
654	9.08				
655	8.702				
656	8.057				
657	7.676				
658	7.319				
659	7.21				
660	6.779				
661	6.341				
662	6.199				
663	5.867				
664	5.485				
665	5.203				
666	4.899				
667	4.665				
668	4.395				
669	4.247				
670	4.059				
671	3.948				
672	3.472				
673	3.424				
674	3.229				
675	3.046				
676	2.742				
677	2.74				
678	2.612				
679	2.357				
680	2.303				
681	2.077				
682	2.069				
683	1.806				
684	1.837				
685	1.612				
686	1.529				
687	1.448				
688	1.463				
