Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	85.264		Omega	340RB Notch (Rejection Band)	W5974
301	77.63				
302	76.032				
303	80.479				
304	86.45				
305	78.411				
306	70.509				
307	74.001				
308	81.513				
309	82.992				
310	66.405				
311	62.906				
312	74.409				
313	83.646				
314	78.323				
315	68.411				
316	75.753				
317	69.827				
318	54.516				
319	44.388				
320	60.662				
321	36.96				
322	15.53				
323	23.301				
324	10.787				
325	0.666				
326	0.188				
327	0.144				
328	0.081				
329	0.104				
330	0.0				
331	0.021				
332	0.07				
333	0.005				
334	0.092				
335	0.072				
336	0.025				
337	0.084				
338	0.059				
339	0.037				
340	0.138				
341	0.008				
342	0.071				
343	0.035				
344	0.0				
345	0.032				
346	0.014				
347	0.0				
348	0.093				
349	0.0				
350	0.015				
351	0.156				
352	0.205				
353	0.039				
354	0.257				
355	0.21				
356	0.477				
357	1.287				
358	5.269				
359	38.86				
360	55.361				
361	59.697				
362	81.47				
363	67.975				
364	50.621				
365	56.054				
366	80.262				
367	87.644				
368	67.448				
369	57.085				
370	53.772				
371	61.448				
372	77.631				
373	92.062				
374	91.722				
375	81.423				
376	75.033				
377	76.468				
378	83.536				
379	91.83				
380	94.55				
381	91.147				
382	85.377				
383	82.844				
384	84.156				
385	87.206				
386	91.709				
387	93.354				
388	91.167				
389	87.743				
390	84.63				
391	84.73				
392	87.988				
393	92.285				
394	95.359				
395	94.695				
396	91.488				
397	88.158				
398	85.954				
399	86.659				
400	89.377				
401	92.658				
402	94.806				
403	94.188				
404	91.206				
405	86.393				
406	83.61				
407	82.448				
408	83.589				
409	86.973				
410	90.806				
411	94.362				
412	95.718				
413	95.612				
414	93.961				
415	92.22				
416	91.483				
417	91.678				
418	92.784				
419	94.986				
420	95.895				
421	95.622				
422	93.846				
423	90.651				
424	87.613				
425	85.731				
426	85.5				
427	86.15				
428	87.86				
429	91.101				
430	93.955				
431	95.501				
432	96.104				
433	95.869				
434	95.063				
