Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Omega	BESSELL/B/65S Bandpass	W5997
301	0.001				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.001				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.001				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.001				
332	0.0				
333	0.0				
334	0.001				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.001				
345	0.001				
346	0.0				
347	0.001				
348	0.0				
349	0.0				
350	0.002				
351	0.003				
352	0.005				
353	0.008				
354	0.018				
355	0.03				
356	0.051				
357	0.085				
358	0.138				
359	0.218				
360	0.33				
361	0.485				
362	0.686				
363	0.957				
364	1.291				
365	1.699				
366	2.201				
367	2.781				
368	3.48				
369	4.232				
370	5.137				
371	6.125				
372	7.178				
373	8.368				
374	9.605				
375	10.948				
376	12.344				
377	13.806				
378	15.328				
379	16.911				
380	18.516				
381	20.154				
382	21.858				
383	23.546				
384	25.275				
385	26.958				
386	28.64				
387	30.35				
388	32.028				
389	33.687				
390	35.283				
391	36.912				
392	38.471				
393	39.994				
394	41.465				
395	42.943				
396	44.331				
397	45.634				
398	46.957				
399	48.129				
400	49.334				
401	50.49				
402	51.598				
403	52.643				
404	53.668				
405	54.59				
406	55.521				
407	56.41				
408	57.241				
409	58.037				
410	58.813				
411	59.512				
412	60.176				
413	60.768				
414	61.398				
415	61.916				
416	62.462				
417	62.968				
418	63.426				
419	63.911				
420	64.316				
421	64.719				
422	65.043				
423	65.316				
424	65.591				
425	65.777				
426	66.015				
427	66.212				
428	66.381				
429	66.444				
430	66.616				
431	66.695				
432	66.726				
433	66.784				
434	66.774				
435	66.764				
436	66.792				
437	66.747				
438	66.735				
439	66.667				
440	66.582				
441	66.51				
442	66.385				
443	66.266				
444	66.092				
445	65.941				
446	65.635				
447	65.355				
448	65.067				
449	64.683				
450	64.353				
451	64.017				
452	63.638				
453	63.326				
454	62.968				
455	62.547				
456	62.108				
457	61.637				
458	61.132				
459	60.543				
460	59.963				
461	59.293				
462	58.558				
463	57.838				
464	56.993				
465	56.111				
466	55.123				
467	54.106				
468	52.935				
469	51.771				
470	50.516				
471	49.22				
472	47.883				
473	46.558				
474	45.263				
475	43.897				
476	42.548				
477	41.166				
478	39.795				
479	38.39				
480	36.966				
481	35.547				
482	34.122				
483	32.707				
484	31.301				
485	29.905				
486	28.608				
487	27.27				
488	26.029				
489	24.795				
490	23.604				
491	22.486				
492	21.416				
493	20.423				
494	19.473				
495	18.607				
496	17.81				
497	17.042				
498	16.319				
499	15.618				
500	14.896				
501	14.187				
502	13.432				
503	12.653				
504	11.861				
505	11.078				
506	10.294				
507	9.549				
508	8.864				
509	8.232				
510	7.637				
511	7.092				
512	6.587				
513	6.129				
514	5.679				
515	5.247				
516	4.851				
517	4.458				
518	4.084				
519	3.736				
520	3.405				
521	3.093				
522	2.8				
523	2.528				
524	2.287				
525	2.056				
526	1.856				
527	1.681				
528	1.525				
529	1.389				
530	1.268				
531	1.166				
532	1.078				
533	1.006				
534	0.943				
535	0.89				
536	0.85				
537	0.816				
538	0.794				
539	0.772				
540	0.762				
541	0.754				
542	0.756				
543	0.763				
544	0.776				
545	0.797				
546	0.826				
547	0.865				
548	0.912				
549	0.968				
550	1.029				
551	1.096				
552	1.171				
553	1.25				
554	1.327				
555	1.405				
556	1.47				
557	1.53				
558	1.575				
559	1.604				
560	1.616				
561	1.614				
562	1.594				
563	1.563				
564	1.519				
565	1.459				
566	1.388				
567	1.311				
568	1.221				
569	1.128				
570	1.027				
571	0.932				
572	0.832				
573	0.738				
574	0.646				
575	0.561				
576	0.482				
577	0.411				
578	0.344				
579	0.288				
580	0.239				
581	0.196				
582	0.161				
583	0.131				
584	0.107				
585	0.09				
586	0.075				
587	0.061				
588	0.052				
589	0.044				
590	0.04				
591	0.037				
592	0.033				
593	0.031				
594	0.03				
595	0.028				
596	0.027				
597	0.028				
598	0.028				
599	0.027				
600	0.028				
601	0.028				
602	0.027				
603	0.029				
604	0.027				
605	0.026				
606	0.027				
607	0.027				
608	0.027				
609	0.025				
610	0.025				
611	0.024				
612	0.024				
613	0.022				
614	0.02				
615	0.021				
616	0.02				
617	0.019				
618	0.018				
619	0.018				
620	0.019				
621	0.015				
622	0.013				
623	0.014				
624	0.013				
625	0.013				
626	0.009				
627	0.009				
628	0.009				
629	0.007				
630	0.008				
631	0.007				
632	0.007				
633	0.007				
634	0.005				
635	0.005				
636	0.004				
637	0.005				
638	0.004				
639	0.003				
640	0.001				
641	0.004				
642	0.002				
643	0.001				
644	0.002				
645	0.002				
646	0.002				
647	0.001				
648	0.002				
649	0.0				
650	0.0				
651	0.002				
652	0.002				
653	0.002				
654	0.002				
655	0.002				
656	0.003				
657	0.002				
658	0.0				
659	0.003				
660	0.002				
661	0.001				
662	0.002				
663	0.002				
664	0.002				
665	0.003				
666	0.002				
667	0.002				
668	0.002				
669	0.004				
670	0.002				
671	0.003				
672	0.004				
673	0.004				
674	0.004				
675	0.004				
676	0.006				
677	0.004				
678	0.005				
679	0.005				
680	0.007				
681	0.005				
682	0.007				
683	0.006				
684	0.006				
685	0.008				
686	0.007				
687	0.009				
688	0.008				
689	0.005				
690	0.009				
691	0.008				
692	0.006				
693	0.006				
694	0.007				
695	0.007				
696	0.007				
697	0.007				
698	0.005				
699	0.006				
700	0.005				
701	0.005				
702	0.004				
703	0.003				
704	0.004				
705	0.004				
706	0.0				
707	0.003				
708	0.001				
709	0.003				
710	0.001				
711	0.002				
712	0.003				
713	0.003				
714	0.0				
715	0.001				
716	0.001				
717	0.001				
718	0.003				
719	0.001				
720	0.001				
721	0.002				
722	0.001				
723	0.0				
724	0.001				
725	0.001				
726	0.001				
727	0.0				
728	0.0				
729	0.0				
730	0.0				
731	0.0				
732	0.0				
733	0.0				
734	0.0				
735	0.0				
736	0.002				
737	0.001				
738	0.0				
739	0.0				
740	0.002				
741	0.0				
742	0.0				
743	0.0				
744	0.002				
745	0.0				
746	0.0				
747	0.0				
748	0.0				
749	0.001				
750	0.001				
751	0.0				
752	0.002				
753	0.0				
754	0.0				
755	0.0				
756	0.0				
757	0.001				
758	0.0				
759	0.0				
760	0.001				
761	0.001				
762	0.0				
763	0.0				
764	0.0				
765	0.001				
766	0.001				
767	0.0				
768	0.0				
769	0.0				
770	0.0				
771	0.0				
772	0.0				
773	0.0				
774	0.0				
775	0.001				
776	0.0				
777	0.0				
778	0.0				
779	0.001				
780	0.0				
781	0.0				
782	0.0				
783	0.0				
784	0.0				
785	0.0				
786	0.0				
787	0.001				
788	0.0				
789	0.0				
790	0.0				
791	0.0				
792	0.0				
793	0.001				
794	0.0				
795	0.0				
796	0.0				
797	0.0				
798	0.0				
799	0.0				
800	0.0				
801	0.001				
802	0.001				
803	0.0				
804	0.001				
805	0.0				
806	0.0				
807	0.0				
808	0.002				
809	0.0				
810	0.0				
811	0.0				
812	0.0				
813	0.0				
814	0.0				
815	0.0				
816	0.0				
817	0.0				
818	0.0				
819	0.001				
820	0.0				
821	0.0				
822	0.0				
823	0.0				
824	0.0				
825	0.0				
826	0.002				
827	0.001				
828	0.0				
829	0.0				
830	0.0				
831	0.0				
832	0.0				
833	0.0				
834	0.0				
835	0.001				
836	0.0				
837	0.0				
838	0.0				
839	0.001				
840	0.0				
841	0.0				
842	0.001				
843	0.002				
844	0.0				
845	0.001				
846	0.0				
847	0.0				
848	0.0				
849	0.001				
850	0.0				
851	0.0				
852	0.0				
853	0.0				
854	0.001				
855	0.001				
856	0.001				
857	0.0				
858	0.001				
859	0.0				
860	0.0				
861	0.0				
862	0.0				
863	0.0				
864	0.0				
865	0.0				
866	0.0				
867	0.003				
868	0.0				
869	0.0				
870	0.005				
871	0.0				
872	0.0				
873	0.0				
874	0.003				
875	0.0				
876	0.002				
877	0.0				
878	0.0				
879	0.0				
880	0.0				
881	0.0				
882	0.002				
883	0.0				
884	0.0				
885	0.0				
886	0.0				
887	0.0				
888	0.0				
889	0.0				
890	0.0				
891	0.0				
892	0.0				
893	0.0				
894	0.0				
895	0.0				
896	0.0				
897	0.0				
898	0.0				
899	0.008				
900	0.0				
901	0.0				
902	0.0				
903	0.0				
904	0.0				
905	0.0				
906	0.0				
907	0.0				
908	0.0				
909	0.0				
910	0.0				
911	0.001				
912	0.0				
913	0.0				
914	0.0				
915	0.0				
916	0.0				
917	0.0				
918	0.001				
919	0.003				
920	0.0				
921	0.0				
922	0.0				
923	0.0				
924	0.0				
925	0.0				
926	0.002				
927	0.0				
928	0.0				
929	0.0				
930	0.0				
931	0.0				
932	0.005				
933	0.003				
934	0.0				
935	0.0				
936	0.0				
937	0.0				
938	0.0				
939	0.002				
940	0.0				
941	0.0				
942	0.002				
943	0.0				
944	0.001				
945	0.003				
946	0.001				
947	0.0				
948	0.0				
949	0.005				
950	0.0				
951	0.0				
952	0.0				
953	0.0				
954	0.0				
955	0.003				
956	0.0				
957	0.0				
958	0.001				
959	0.003				
960	0.002				
961	0.005				
962	0.002				
963	0.0				
964	0.003				
965	0.0				
966	0.002				
967	0.002				
968	0.0				
969	0.0				
970	0.0				
971	0.006				
972	0.0				
973	0.0				
974	0.0				
975	0.0				
976	0.0				
977	0.0				
978	0.0				
979	0.0				
980	0.0				
981	0.0				
982	0.0				
983	0.0				
984	0.0				
985	0.0				
986	0.0				
987	0.004				
988	0.0				
989	0.003				
990	0.0				
991	0.0				
992	0.0				
993	0.0				
994	0.0				
995	0.0				
996	0.0				
997	0.0				
998	0.0				
999	0.0				
1000	0.0				
1001	0.0				
1002	0.0				
1003	0.0				
1004	0.0				
1005	0.0				
1006	0.0				
1007	0.001				
1008	0.0				
1009	0.0				
1010	0.0				
1011	0.0				
1012	0.001				
1013	0.0				
1014	0.001				
1015	0.0				
1016	0.001				
1017	0.0				
1018	0.0				
1019	0.0				
1020	0.0				
1021	0.0				
1022	0.0				
1023	0.0				
1024	0.004				
1025	0.0				
1026	0.0				
1027	0.0				
1028	0.0				
1029	0.0				
1030	0.0				
1031	0.002				
1032	0.0				
1033	0.0				
1034	0.0				
1035	0.007				
1036	0.0				
1037	0.0				
1038	0.002				
1039	0.006				
1040	0.0				
1041	0.0				
1042	0.001				
1043	0.0				
1044	0.0				
1045	0.0				
1046	0.0				
1047	0.0				
1048	0.0				
1049	0.0				
1050	0.005				
1051	0.0				
1052	0.0				
1053	0.003				
1054	0.0				
1055	0.0				
1056	0.0				
1057	0.004				
1058	0.004				
1059	0.008				
1060	0.001				
1061	0.0				
1062	0.002				
1063	0.006				
1064	0.005				
1065	0.0				
1066	0.005				
1067	0.004				
1068	0.0				
1069	0.005				
1070	0.002				
1071	0.0				
1072	0.0				
1073	0.003				
1074	0.002				
1075	0.006				
1076	0.002				
1077	0.004				
1078	0.002				
1079	0.0				
1080	0.005				
1081	0.004				
1082	0.003				
1083	0.002				
1084	0.002				
1085	0.006				
1086	0.0				
1087	0.005				
1088	0.0				
1089	0.008				
1090	0.0				
1091	0.006				
1092	0.006				
1093	0.007				
1094	0.01				
1095	0.011				
1096	0.0				
1097	0.0				
1098	0.0				
1099	0.0				
1100	0.0				
