Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
800	0.043		Omega	1064-1570DB Dual Band	W6041
801	0.029				
802	0.014				
803	0.01				
804	0.006				
805	0.005				
806	0.003				
807	0.002				
808	0.0				
809	0.001				
810	0.002				
811	0.002				
812	0.002				
813	0.003				
814	0.005				
815	0.007				
816	0.009				
817	0.014				
818	0.018				
819	0.018				
820	0.018				
821	0.013				
822	0.007				
823	0.004				
824	0.0				
825	0.0				
826	0.0				
827	0.0				
828	0.0				
829	0.0				
830	0.0				
831	0.0				
832	0.0				
833	0.0				
834	0.0				
835	0.0				
836	0.0				
837	0.0				
838	0.0				
839	0.0				
840	0.0				
841	0.0				
842	0.0				
843	0.0				
844	0.0				
845	0.002				
846	0.004				
847	0.006				
848	0.008				
849	0.007				
850	0.007				
851	0.004				
852	0.001				
853	0.0				
854	0.0				
855	0.0				
856	0.0				
857	0.0				
858	0.0				
859	0.0				
860	0.0				
861	0.0				
862	0.0				
863	0.0				
864	0.0				
865	0.001				
866	0.003				
867	0.001				
868	0.0				
869	0.0				
870	0.0				
871	0.0				
872	0.0				
873	0.0				
874	0.0				
875	0.0				
876	0.0				
877	0.0				
878	0.0				
879	0.001				
880	0.002				
881	0.001				
882	0.0				
883	0.0				
884	0.0				
885	0.0				
886	0.0				
887	0.0				
888	0.0				
889	0.0				
890	0.0				
891	0.0				
892	0.0				
893	0.0				
894	0.0				
895	0.0				
896	0.0				
897	0.0				
898	0.0				
899	0.0				
900	0.0				
901	0.0				
902	0.0				
903	0.004				
904	0.008				
905	0.004				
906	0.0				
907	0.002				
908	0.005				
909	0.002				
910	0.0				
911	0.0				
912	0.0				
913	0.0				
914	0.0				
915	0.0				
916	0.0				
917	0.0				
918	0.0				
919	0.0				
920	0.0				
921	0.0				
922	0.0				
923	0.0				
924	0.0				
925	0.001				
926	0.002				
927	0.001				
928	0.0				
929	0.0				
930	0.0				
931	0.0				
932	0.0				
933	0.002				
934	0.003				
935	0.004				
936	0.006				
937	0.008				
938	0.011				
939	0.006				
940	0.0				
941	0.0				
942	0.0				
943	0.002				
944	0.003				
945	0.009				
946	0.016				
947	0.008				
948	0.0				
949	0.0				
950	0.0				
951	0.001				
952	0.001				
953	0.008				
954	0.015				
955	0.008				
956	0.0				
957	0.0				
958	0.0				
959	0.0				
960	0.0				
961	0.0				
962	0.001				
963	0.0				
964	0.0				
965	0.0				
966	0.0				
967	0.0				
968	0.0				
969	0.0				
970	0.0				
971	0.0				
972	0.0				
973	0.0				
974	0.0				
975	0.0				
976	0.0				
977	0.0				
978	0.0				
979	0.0				
980	0.0				
981	0.0				
982	0.0				
983	0.0				
984	0.0				
985	0.0				
986	0.0				
987	0.0				
988	0.0				
989	0.006				
990	0.012				
991	0.006				
992	0.0				
993	0.0				
994	0.0				
995	0.0				
996	0.0				
997	0.007				
998	0.014				
999	0.03				
1000	0.045				
1001	0.052				
1002	0.06				
1003	0.053				
1004	0.046				
1005	0.047				
1006	0.048				
1007	0.037				
1008	0.027				
1009	0.02				
1010	0.013				
1011	0.014				
1012	0.015				
1013	0.013				
1014	0.012				
1015	0.009				
1016	0.006				
1017	0.008				
1018	0.009				
1019	0.009				
1020	0.009				
1021	0.01				
1022	0.011				
1023	0.019				
1024	0.026				
1025	0.042				
1026	0.057				
1027	0.054				
1028	0.052				
1029	0.064				
1030	0.077				
1031	0.103				
1032	0.129				
1033	0.172				
1034	0.214				
1035	0.285				
1036	0.357				
1037	0.505				
1038	0.653				
1039	0.968				
1040	1.282				
1041	2.044				
1042	2.806				
1043	4.775				
1044	6.744				
1045	11.697				
1046	16.651				
1047	26.83				
1048	37.008				
1049	48.91				
1050	60.812				
1051	67.979				
1052	75.146				
1053	79.313				
1054	83.48				
1055	87.113				
1056	90.746				
1057	93.36				
1058	95.974				
1059	96.804				
1060	97.634				
1061	97.382				
1062	97.129				
1063	96.89				
1064	96.651				
1065	96.294				
1066	95.938				
1067	94.48				
1068	93.022				
1069	89.325				
1070	85.627				
1071	78.835				
1072	72.043				
1073	61.838				
1074	51.634				
1075	40.316				
1076	28.998				
1077	21.322				
1078	13.647				
1079	9.788				
1080	5.929				
1081	4.291				
1082	2.652				
1083	1.964				
1084	1.277				
1085	0.966				
1086	0.656				
1087	0.509				
1088	0.363				
1089	0.282				
1090	0.2				
1091	0.161				
1092	0.122				
1093	0.088				
1094	0.053				
1095	0.045				
1096	0.036				
1097	0.032				
1098	0.028				
1099	0.02				
1100	0.012				
