Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
700	0.007		Omega	790HBP40 Bandpass	W6240
701	0.006				
702	0.006				
703	0.006				
704	0.009				
705	0.008				
706	0.009				
707	0.012				
708	0.01				
709	0.015				
710	0.018				
711	0.018				
712	0.019				
713	0.02				
714	0.022				
715	0.024				
716	0.022				
717	0.024				
718	0.024				
719	0.024				
720	0.028				
721	0.026				
722	0.026				
723	0.029				
724	0.032				
725	0.033				
726	0.035				
727	0.037				
728	0.041				
729	0.047				
730	0.051				
731	0.058				
732	0.067				
733	0.076				
734	0.089				
735	0.102				
736	0.116				
737	0.138				
738	0.156				
739	0.178				
740	0.199				
741	0.224				
742	0.251				
743	0.272				
744	0.3				
745	0.326				
746	0.354				
747	0.391				
748	0.427				
749	0.472				
750	0.528				
751	0.599				
752	0.677				
753	0.78				
754	0.905				
755	1.079				
756	1.298				
757	1.59				
758	1.964				
759	2.505				
760	3.217				
761	4.235				
762	5.674				
763	7.786				
764	10.797				
765	15.135				
766	21.416				
767	30.292				
768	41.877				
769	55.72				
770	70.402				
771	83.054				
772	91.66				
773	96.578				
774	97.854				
775	98.111				
776	97.404				
777	96.118				
778	95.234				
779	94.171				
780	93.167				
781	92.512				
782	91.783				
783	90.925				
784	90.093				
785	89.604				
786	89.134				
787	88.874				
788	88.81				
789	88.639				
790	88.955				
791	89.292				
792	89.596				
793	90.003				
794	90.418				
795	90.775				
796	90.952				
797	91.096				
798	91.17				
799	90.997				
800	91.223				
801	91.558				
802	92.654				
803	94.385				
804	96.301				
805	97.652				
806	96.328				
807	89.735				
808	75.927				
809	57.654				
810	40.325				
811	26.628				
812	17.151				
813	11.037				
814	7.298				
815	4.911				
816	3.373				
817	2.374				
818	1.697				
819	1.246				
820	0.925				
821	0.702				
822	0.55				
823	0.43				
824	0.345				
825	0.276				
826	0.221				
827	0.183				
828	0.161				
829	0.132				
830	0.105				
831	0.099				
832	0.088				
833	0.073				
834	0.067				
835	0.064				
836	0.055				
837	0.049				
838	0.049				
839	0.045				
840	0.041				
841	0.037				
842	0.036				
843	0.039				
844	0.037				
845	0.037				
846	0.035				
847	0.037				
848	0.031				
849	0.034				
850	0.041				
851	0.04				
852	0.038				
853	0.038				
854	0.036				
855	0.04				
856	0.038				
857	0.023				
858	0.031				
859	0.029				
860	0.028				
861	0.022				
862	0.019				
863	0.011				
864	0.024				
865	0.018				
866	0.012				
867	0.0				
868	0.0				
869	0.02				
870	0.013				
871	0.007				
872	0.0				
873	0.007				
874	0.03				
875	0.0				
876	0.0				
877	0.0				
878	0.006				
879	0.0				
880	0.0				
881	0.0				
882	0.014				
883	0.018				
884	0.018				
885	0.02				
886	0.019				
887	0.021				
888	0.019				
889	0.019				
890	0.023				
891	0.013				
892	0.018				
893	0.024				
894	0.02				
895	0.017				
896	0.022				
897	0.019				
898	0.02				
899	0.01				
900	0.021				
