Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	5.433		Omega	U360 Absorption Glass	W6283
301	6.296				
302	7.327				
303	8.358				
304	9.485				
305	10.725				
306	12.01				
307	13.349				
308	14.753				
309	16.199				
310	17.68				
311	19.244				
312	20.802				
313	22.41				
314	23.986				
315	25.682				
316	27.25				
317	28.998				
318	30.535				
319	32.232				
320	33.974				
321	35.573				
322	37.176				
323	38.75				
324	40.25				
325	41.861				
326	43.222				
327	44.73				
328	46.188				
329	47.516				
330	48.775				
331	49.906				
332	51.395				
333	52.302				
334	53.527				
335	54.734				
336	55.457				
337	56.772				
338	57.566				
339	58.467				
340	59.496				
341	60.208				
342	61.034				
343	62.234				
344	62.197				
345	63.425				
346	64.294				
347	64.769				
348	65.412				
349	65.772				
350	66.53				
351	66.842				
352	66.881				
353	67.581				
354	68.12				
355	68.402				
356	68.878				
357	69.022				
358	69.14				
359	69.232				
360	69.452				
361	69.634				
362	69.553				
363	69.433				
364	69.291				
365	69.157				
366	68.938				
367	68.479				
368	68.122				
369	67.642				
370	67.15				
371	66.318				
372	65.574				
373	64.642				
374	63.543				
375	62.353				
376	60.936				
377	59.545				
378	57.913				
379	55.965				
380	53.979				
381	51.869				
382	49.463				
383	47.039				
384	44.34				
385	41.538				
386	38.704				
387	35.75				
388	32.747				
389	29.683				
390	26.635				
391	23.715				
392	20.807				
393	18.043				
394	15.438				
395	13.075				
396	10.883				
397	8.936				
398	7.272				
399	5.814				
400	4.557				
401	3.548				
402	2.694				
403	2.028				
404	1.487				
405	1.079				
406	0.778				
407	0.544				
408	0.376				
409	0.257				
410	0.17				
411	0.116				
412	0.071				
413	0.052				
414	0.033				
415	0.02				
416	0.014				
417	0.005				
418	0.003				
419	0.002				
420	0.003				
421	0.001				
422	0.0				
423	0.0				
424	0.001				
425	0.0				
426	0.0				
427	0.0				
428	0.002				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	0.0				
434	0.002				
435	0.002				
436	0.0				
437	0.0				
438	0.002				
439	0.0				
440	0.0				
441	0.0				
442	0.0				
443	0.004				
444	0.001				
445	0.0				
446	0.002				
447	0.0				
448	0.002				
449	0.0				
450	0.0				
451	0.0				
452	0.003				
453	0.0				
454	0.0				
455	0.0				
456	0.0				
457	0.0				
458	0.0				
459	0.0				
460	0.0				
461	0.001				
462	0.0				
463	0.0				
464	0.006				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
