Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
535	0.032		Omega	550CA10-483 Bandpass	W6
536	0.047				
537	0.076				
538	0.116				
539	0.204				
540	0.388				
541	0.909				
542	2.809				
543	11.254				
544	39.329				
545	67.852				
546	72.113				
547	73.224				
548	75.134				
549	76.175				
550	75.79				
551	76.346				
552	74.743				
553	51.747				
554	18.846				
555	5.078				
556	1.525				
557	0.541				
558	0.224				
559	0.1				
560	0.048				
561	0.024				
562	0.013				
563	0.006				
564	0.003				
565	0.003				
