Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	94.215		Omega	"GCE - Galaxy Contrast Enhancement Filter (565RB) 2"" Astronomy Filter Notch (Rejection Band)"	XAF-GCE200
401	94.35				
402	94.722				
403	95.027				
404	95.362				
405	95.501				
406	95.562				
407	95.593				
408	95.419				
409	95.167				
410	94.992				
411	94.831				
412	94.861				
413	94.971				
414	95.027				
415	95.252				
416	95.433				
417	95.598				
418	95.571				
419	95.717				
420	95.61				
421	95.606				
422	95.456				
423	95.377				
424	95.378				
425	95.383				
426	95.415				
427	95.497				
428	95.623				
429	95.743				
430	95.919				
431	96.072				
432	96.07				
433	96.073				
434	96.058				
435	95.883				
436	95.666				
437	95.631				
438	95.624				
439	95.471				
440	95.46				
441	95.484				
442	95.498				
443	95.653				
444	95.704				
445	95.818				
446	95.97				
447	95.968				
448	96.041				
449	96.099				
450	96.031				
451	96.008				
452	95.924				
453	95.831				
454	95.783				
455	95.744				
456	95.684				
457	95.755				
458	95.768				
459	95.946				
460	95.954				
461	96.038				
462	96.16				
463	96.184				
464	96.206				
465	96.107				
466	95.978				
467	95.863				
468	95.711				
469	95.459				
470	95.248				
471	95.129				
472	94.857				
473	94.728				
474	94.722				
475	94.68				
476	94.738				
477	94.762				
478	94.914				
479	95.119				
480	95.239				
481	95.425				
482	95.614				
483	95.698				
484	95.745				
485	95.755				
486	95.768				
487	95.702				
488	95.636				
489	95.534				
490	95.51				
491	95.433				
492	95.397				
493	95.343				
494	95.355				
495	95.344				
496	95.35				
497	95.356				
498	95.34				
499	95.241				
500	95.125				
501	94.888				
502	94.671				
503	94.37				
504	94.01				
505	93.66				
506	93.379				
507	93.135				
508	92.994				
509	92.98				
510	93.165				
511	93.541				
512	94.046				
513	94.552				
514	95.033				
515	95.199				
516	94.767				
517	93.444				
518	90.923				
519	87.054				
520	81.523				
521	74.597				
522	66.796				
523	58.588				
524	50.404				
525	42.848				
526	36.088				
527	30.27				
528	25.338				
529	21.221				
530	17.897				
531	15.12				
532	12.805				
533	10.94				
534	9.423				
535	8.163				
536	7.11				
537	6.251				
538	5.537				
539	4.93				
540	4.413				
541	3.985				
542	3.616				
543	3.306				
544	3.036				
545	2.807				
546	2.605				
547	2.435				
548	2.279				
549	2.16				
550	2.05				
551	1.946				
552	1.86				
553	1.792				
554	1.732				
555	1.682				
556	1.636				
557	1.607				
558	1.574				
559	1.559				
560	1.538				
561	1.532				
562	1.537				
563	1.537				
564	1.55				
565	1.566				
566	1.589				
567	1.618				
568	1.651				
569	1.696				
570	1.754				
571	1.806				
572	1.882				
573	1.954				
574	2.04				
575	2.142				
576	2.256				
577	2.385				
578	2.531				
579	2.69				
580	2.883				
581	3.091				
582	3.32				
583	3.601				
584	3.899				
585	4.239				
586	4.635				
587	5.08				
588	5.597				
589	6.189				
590	6.866				
591	7.657				
592	8.537				
593	9.57				
594	10.769				
595	12.135				
596	13.706				
597	15.59				
598	17.74				
599	20.214				
600	23.0				
601	26.263				
602	29.958				
603	33.998				
604	38.507				
605	43.453				
606	48.714				
607	54.204				
608	59.811				
609	65.422				
610	70.742				
611	75.635				
612	80.086				
613	83.864				
614	86.959				
615	89.325				
616	91.19				
617	92.526				
618	93.471				
619	94.058				
620	94.385				
621	94.555				
622	94.63				
623	94.59				
624	94.55				
625	94.564				
626	94.603				
627	94.72				
628	94.791				
629	94.898				
630	95.047				
631	95.174				
632	95.374				
633	95.54				
634	95.734				
635	95.844				
636	95.924				
637	96.095				
638	96.22				
639	96.216				
640	96.22				
641	96.197				
642	96.182				
643	96.063				
644	95.949				
645	95.846				
646	95.759				
647	95.586				
648	95.378				
649	95.229				
650	95.024				
651	94.951				
652	94.857				
653	94.704				
654	94.618				
655	94.576				
656	94.552				
657	94.556				
658	94.538				
659	94.557				
660	94.627				
661	94.57				
662	94.784				
663	94.867				
664	94.937				
665	95.076				
666	95.19				
667	95.313				
668	95.443				
669	95.516				
670	95.696				
671	95.84				
672	95.894				
673	96.036				
674	96.061				
675	96.187				
676	96.194				
677	96.163				
678	96.194				
679	96.27				
680	96.225				
681	96.187				
682	96.134				
683	96.214				
684	96.06				
685	96.075				
686	96.022				
687	95.907				
688	95.958				
689	95.799				
690	95.723				
691	95.671				
692	95.657				
693	95.64				
694	95.607				
695	95.553				
696	95.485				
697	95.461				
698	95.481				
699	95.398				
700	95.519				
701	95.493				
702	95.529				
703	95.526				
704	95.591				
705	95.617				
706	95.68				
707	95.654				
708	95.85				
709	95.755				
710	95.919				
711	96.012				
712	95.928				
713	96.045				
714	96.116				
715	96.13				
716	96.341				
717	96.181				
718	96.302				
719	96.261				
720	96.302				
721	96.317				
722	96.312				
723	96.314				
724	96.298				
725	96.234				
726	96.309				
727	96.288				
728	96.242				
729	96.177				
730	96.178				
731	96.151				
732	96.115				
733	96.138				
734	96.047				
735	96.102				
736	95.984				
737	95.898				
738	95.849				
739	95.747				
740	95.701				
741	95.655				
742	95.579				
743	95.509				
744	95.512				
745	95.41				
746	95.422				
747	95.314				
748	95.196				
749	95.077				
750	95.016				
