Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	5.573		Omega	"HPOIII - High Performance OIII (503BP12) 1.25"" Astronomy Filter Bandpass"	XAF-HPOIII125
401	5.959				
402	6.7				
403	8.066				
404	10.458				
405	14.86				
406	23.555				
407	42.037				
408	72.81				
409	87.085				
410	63.6				
411	38.33				
412	25.656				
413	20.004				
414	18.317				
415	20.058				
416	27.758				
417	50.287				
418	75.28				
419	40.716				
420	12.019				
421	4.276				
422	1.903				
423	0.973				
424	0.557				
425	0.347				
426	0.223				
427	0.15				
428	0.108				
429	0.08				
430	0.061				
431	0.046				
432	0.036				
433	0.028				
434	0.025				
435	0.019				
436	0.017				
437	0.015				
438	0.012				
439	0.01				
440	0.009				
441	0.01				
442	0.009				
443	0.007				
444	0.006				
445	0.01				
446	0.008				
447	0.005				
448	0.005				
449	0.005				
450	0.006				
451	0.006				
452	0.007				
453	0.007				
454	0.005				
455	0.004				
456	0.006				
457	0.004				
458	0.007				
459	0.006				
460	0.006				
461	0.007				
462	0.008				
463	0.008				
464	0.009				
465	0.007				
466	0.012				
467	0.011				
468	0.011				
469	0.013				
470	0.015				
471	0.019				
472	0.021				
473	0.024				
474	0.028				
475	0.036				
476	0.044				
477	0.053				
478	0.066				
479	0.082				
480	0.106				
481	0.136				
482	0.179				
483	0.241				
484	0.329				
485	0.467				
486	0.669				
487	0.986				
488	1.515				
489	2.416				
490	4.025				
491	6.972				
492	12.663				
493	23.436				
494	41.904				
495	65.693				
496	85.349				
497	93.209				
498	93.495				
499	92.213				
500	91.997				
501	92.904				
502	93.818				
503	94.371				
504	94.242				
505	93.868				
506	93.434				
507	91.649				
508	85.633				
509	72.267				
510	52.88				
511	34.292				
512	20.721				
513	12.386				
514	7.588				
515	4.771				
516	3.092				
517	2.088				
518	1.454				
519	1.033				
520	0.754				
521	0.566				
522	0.432				
523	0.33				
524	0.264				
525	0.21				
526	0.17				
527	0.14				
528	0.116				
529	0.098				
530	0.082				
531	0.069				
532	0.062				
533	0.053				
534	0.047				
535	0.041				
536	0.037				
537	0.034				
538	0.031				
539	0.03				
540	0.028				
541	0.023				
542	0.024				
543	0.02				
544	0.018				
545	0.016				
546	0.015				
547	0.018				
548	0.015				
549	0.014				
550	0.014				
551	0.014				
552	0.015				
553	0.013				
554	0.012				
555	0.012				
556	0.013				
557	0.011				
558	0.01				
559	0.014				
560	0.012				
561	0.013				
562	0.01				
563	0.012				
564	0.011				
565	0.012				
566	0.012				
567	0.013				
568	0.014				
569	0.015				
570	0.012				
571	0.014				
572	0.015				
573	0.016				
574	0.015				
575	0.017				
576	0.017				
577	0.016				
578	0.019				
579	0.021				
580	0.021				
581	0.022				
582	0.023				
583	0.025				
584	0.026				
585	0.03				
586	0.031				
587	0.035				
588	0.038				
589	0.041				
590	0.044				
591	0.048				
592	0.053				
593	0.057				
594	0.064				
595	0.071				
596	0.079				
597	0.087				
598	0.1				
599	0.115				
600	0.126				
601	0.148				
602	0.169				
603	0.195				
604	0.227				
605	0.265				
606	0.315				
607	0.372				
608	0.446				
609	0.538				
610	0.657				
611	0.807				
612	1.009				
613	1.272				
614	1.631				
615	2.125				
616	2.84				
617	3.862				
618	5.409				
619	7.855				
620	11.918				
621	18.771				
622	30.757				
623	50.802				
624	77.091				
625	92.712				
626	85.016				
627	65.909				
628	49.154				
629	37.912				
630	30.555				
631	25.675				
632	22.419				
633	20.255				
634	18.827				
635	17.92				
636	17.451				
637	17.34				
638	17.496				
639	18.001				
640	18.822				
641	19.97				
642	21.513				
643	23.552				
644	26.151				
645	29.443				
646	33.628				
647	38.966				
648	45.51				
649	53.487				
650	63.105				
651	73.764				
652	84.008				
653	92.023				
654	95.443				
655	92.947				
656	85.73				
657	75.716				
658	65.038				
659	55.177				
660	46.794				
661	39.88				
662	34.119				
663	29.536				
664	25.878				
665	22.917				
666	20.494				
667	18.53				
668	16.909				
669	15.561				
670	14.432				
671	13.491				
672	12.698				
673	12.035				
674	11.471				
675	10.994				
676	10.605				
677	10.291				
678	10.032				
679	9.831				
680	9.666				
681	9.547				
682	9.472				
683	9.438				
684	9.433				
685	9.463				
686	9.539				
687	9.641				
688	9.777				
689	9.943				
690	10.158				
691	10.392				
692	10.672				
693	10.982				
694	11.344				
695	11.751				
696	12.2				
697	12.699				
698	13.258				
699	13.857				
700	14.522				
701	15.262				
702	16.066				
703	16.952				
704	17.928				
705	18.993				
706	20.149				
707	21.408				
708	22.752				
709	24.26				
710	25.845				
711	27.553				
712	29.398				
713	31.392				
714	33.546				
715	35.771				
716	38.255				
717	40.783				
718	43.507				
719	46.251				
720	49.234				
721	52.196				
722	55.128				
723	58.145				
724	61.219				
725	64.186				
726	67.132				
727	69.94				
728	72.655				
729	75.248				
730	77.422				
731	79.626				
732	81.686				
733	83.318				
734	84.923				
735	86.359				
736	87.721				
737	88.824				
738	89.652				
739	90.342				
740	90.926				
741	91.566				
742	92.09				
743	92.407				
744	92.726				
745	92.978				
746	93.336				
747	93.458				
748	93.673				
749	93.822				
750	93.898				
