Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	3.86		Omega	"HPOIII - High Performance OIII (503BP12) 2"" Astronomy Filter Bandpass"	XAF-HPOIII200
401	3.981				
402	4.286				
403	4.883				
404	5.927				
405	7.857				
406	11.348				
407	18.594				
408	35.071				
409	66.085				
410	81.317				
411	56.06				
412	32.093				
413	20.568				
414	15.738				
415	14.159				
416	15.227				
417	20.655				
418	37.978				
419	69.834				
420	49.016				
421	13.934				
422	4.596				
423	1.944				
424	0.97				
425	0.548				
426	0.333				
427	0.218				
428	0.154				
429	0.1				
430	0.078				
431	0.06				
432	0.044				
433	0.036				
434	0.026				
435	0.026				
436	0.022				
437	0.014				
438	0.014				
439	0.009				
440	0.012				
441	0.013				
442	0.01				
443	0.005				
444	0.006				
445	0.01				
446	0.007				
447	0.012				
448	0.011				
449	0.005				
450	0.004				
451	0.004				
452	0.008				
453	0.007				
454	0.009				
455	0.005				
456	0.007				
457	0.007				
458	0.007				
459	0.007				
460	0.007				
461	0.011				
462	0.008				
463	0.011				
464	0.004				
465	0.007				
466	0.012				
467	0.009				
468	0.012				
469	0.017				
470	0.019				
471	0.021				
472	0.02				
473	0.025				
474	0.032				
475	0.031				
476	0.044				
477	0.056				
478	0.068				
479	0.089				
480	0.11				
481	0.142				
482	0.191				
483	0.254				
484	0.353				
485	0.493				
486	0.718				
487	1.071				
488	1.665				
489	2.631				
490	4.385				
491	7.678				
492	13.89				
493	25.239				
494	44.27				
495	68.018				
496	86.74				
497	94.303				
498	95.238				
499	94.613				
500	94.536				
501	94.987				
502	95.1				
503	94.93				
504	94.576				
505	94.788				
506	95.474				
507	94.756				
508	88.275				
509	72.305				
510	50.282				
511	30.919				
512	18.059				
513	10.624				
514	6.45				
515	4.026				
516	2.623				
517	1.782				
518	1.24				
519	0.88				
520	0.649				
521	0.486				
522	0.369				
523	0.282				
524	0.221				
525	0.18				
526	0.151				
527	0.124				
528	0.102				
529	0.087				
530	0.079				
531	0.062				
532	0.055				
533	0.048				
534	0.045				
535	0.037				
536	0.035				
537	0.034				
538	0.027				
539	0.023				
540	0.025				
541	0.019				
542	0.022				
543	0.017				
544	0.018				
545	0.017				
546	0.015				
547	0.014				
548	0.016				
549	0.01				
550	0.017				
551	0.017				
552	0.01				
553	0.011				
554	0.007				
555	0.007				
556	0.005				
557	0.011				
558	0.011				
559	0.012				
560	0.007				
561	0.01				
562	0.004				
563	0.011				
564	0.015				
565	0.014				
566	0.01				
567	0.014				
568	0.012				
569	0.008				
570	0.012				
571	0.015				
572	0.009				
573	0.014				
574	0.013				
575	0.017				
576	0.014				
577	0.016				
578	0.02				
579	0.015				
580	0.018				
581	0.019				
582	0.016				
583	0.021				
584	0.022				
585	0.028				
586	0.024				
587	0.028				
588	0.033				
589	0.03				
590	0.033				
591	0.039				
592	0.043				
593	0.044				
594	0.049				
595	0.052				
596	0.064				
597	0.071				
598	0.077				
599	0.085				
600	0.093				
601	0.108				
602	0.118				
603	0.141				
604	0.158				
605	0.186				
606	0.213				
607	0.25				
608	0.297				
609	0.353				
610	0.42				
611	0.508				
612	0.62				
613	0.756				
614	0.947				
615	1.187				
616	1.51				
617	1.96				
618	2.611				
619	3.525				
620	4.884				
621	6.993				
622	10.429				
623	16.125				
624	25.843				
625	42.464				
626	66.879				
627	88.852				
628	91.314				
629	75.737				
630	57.367				
631	44.014				
632	35.072				
633	29.155				
634	25.175				
635	22.542				
636	20.821				
637	19.717				
638	19.076				
639	18.846				
640	18.948				
641	19.404				
642	20.213				
643	21.38				
644	22.976				
645	24.992				
646	27.667				
647	31.016				
648	35.184				
649	40.474				
650	47.128				
651	55.055				
652	64.409				
653	74.635				
654	84.704				
655	92.331				
656	95.548				
657	93.575				
658	87.0				
659	77.608				
660	67.428				
661	57.771				
662	49.196				
663	42.067				
664	36.295				
665	31.545				
666	27.683				
667	24.61				
668	22.065				
669	19.984				
670	18.228				
671	16.809				
672	15.593				
673	14.589				
674	13.73				
675	13.028				
676	12.417				
677	11.935				
678	11.496				
679	11.156				
680	10.875				
681	10.664				
682	10.488				
683	10.353				
684	10.294				
685	10.261				
686	10.269				
687	10.298				
688	10.375				
689	10.5				
690	10.651				
691	10.842				
692	11.064				
693	11.308				
694	11.643				
695	11.983				
696	12.364				
697	12.814				
698	13.295				
699	13.865				
700	14.458				
701	15.107				
702	15.841				
703	16.646				
704	17.504				
705	18.445				
706	19.511				
707	20.632				
708	21.879				
709	23.244				
710	24.678				
711	26.255				
712	27.984				
713	29.798				
714	31.787				
715	33.905				
716	36.132				
717	38.533				
718	41.039				
719	43.759				
720	46.556				
721	49.387				
722	52.379				
723	55.295				
724	58.394				
725	61.458				
726	64.49				
727	67.569				
728	70.404				
729	73.218				
730	75.85				
731	78.308				
732	80.583				
733	82.592				
734	84.601				
735	86.218				
736	87.729				
737	89.058				
738	90.162				
739	91.18				
740	91.986				
741	92.653				
742	93.324				
743	93.71				
744	94.131				
745	94.492				
746	94.687				
747	94.799				
748	94.979				
749	95.109				
750	95.111				
