Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	84.206		Omega	"NPB - Narrow Pass Band Nebula (496BP22) 1.25"" Astronomy Filter Bandpass"	XAF-NPB125
401	80.118				
402	68.876				
403	57.628				
404	50.284				
405	47.33				
406	49.077				
407	57.086				
408	73.289				
409	88.98				
410	76.553				
411	42.003				
412	19.299				
413	9.281				
414	4.935				
415	2.846				
416	1.752				
417	1.154				
418	0.791				
419	0.567				
420	0.413				
421	0.313				
422	0.244				
423	0.196				
424	0.156				
425	0.126				
426	0.104				
427	0.092				
428	0.077				
429	0.071				
430	0.062				
431	0.056				
432	0.048				
433	0.048				
434	0.045				
435	0.043				
436	0.04				
437	0.038				
438	0.035				
439	0.031				
440	0.031				
441	0.029				
442	0.03				
443	0.031				
444	0.032				
445	0.031				
446	0.03				
447	0.03				
448	0.033				
449	0.039				
450	0.041				
451	0.039				
452	0.045				
453	0.048				
454	0.05				
455	0.054				
456	0.062				
457	0.065				
458	0.074				
459	0.085				
460	0.097				
461	0.107				
462	0.123				
463	0.148				
464	0.173				
465	0.203				
466	0.253				
467	0.303				
468	0.368				
469	0.456				
470	0.568				
471	0.734				
472	0.947				
473	1.245				
474	1.668				
475	2.268				
476	3.137				
477	4.46				
478	6.473				
479	9.542				
480	14.348				
481	21.837				
482	32.785				
483	47.316				
484	63.633				
485	78.236				
486	87.586				
487	91.803				
488	92.558				
489	92.163				
490	91.59				
491	91.282				
492	91.129				
493	91.08				
494	90.969				
495	90.619				
496	90.242				
497	89.921				
498	89.906				
499	90.285				
500	90.872				
501	90.924				
502	89.202				
503	84.051				
504	74.226				
505	60.881				
506	46.728				
507	34.146				
508	24.211				
509	17.086				
510	12.127				
511	8.718				
512	6.356				
513	4.72				
514	3.576				
515	2.751				
516	2.14				
517	1.702				
518	1.369				
519	1.116				
520	0.917				
521	0.764				
522	0.644				
523	0.546				
524	0.466				
525	0.405				
526	0.353				
527	0.309				
528	0.271				
529	0.244				
530	0.217				
531	0.194				
532	0.175				
533	0.159				
534	0.151				
535	0.137				
536	0.127				
537	0.115				
538	0.105				
539	0.1				
540	0.094				
541	0.092				
542	0.085				
543	0.082				
544	0.078				
545	0.073				
546	0.075				
547	0.069				
548	0.069				
549	0.064				
550	0.065				
551	0.061				
552	0.066				
553	0.064				
554	0.059				
555	0.062				
556	0.06				
557	0.056				
558	0.06				
559	0.061				
560	0.062				
561	0.061				
562	0.059				
563	0.064				
564	0.065				
565	0.063				
566	0.066				
567	0.07				
568	0.07				
569	0.075				
570	0.075				
571	0.072				
572	0.078				
573	0.082				
574	0.085				
575	0.091				
576	0.092				
577	0.099				
578	0.105				
579	0.111				
580	0.121				
581	0.12				
582	0.137				
583	0.139				
584	0.154				
585	0.164				
586	0.174				
587	0.194				
588	0.209				
589	0.223				
590	0.242				
591	0.268				
592	0.294				
593	0.324				
594	0.36				
595	0.395				
596	0.44				
597	0.495				
598	0.554				
599	0.63				
600	0.711				
601	0.816				
602	0.932				
603	1.07				
604	1.239				
605	1.441				
606	1.689				
607	1.994				
608	2.365				
609	2.836				
610	3.425				
611	4.172				
612	5.138				
613	6.401				
614	8.034				
615	10.195				
616	13.116				
617	17.047				
618	22.353				
619	29.519				
620	38.995				
621	50.763				
622	64.018				
623	76.744				
624	86.248				
625	90.195				
626	88.917				
627	83.974				
628	77.489				
629	71.013				
630	65.29				
631	60.386				
632	56.554				
633	53.654				
634	51.47				
635	50.07				
636	49.245				
637	48.98				
638	49.249				
639	50.032				
640	51.318				
641	52.991				
642	55.205				
643	57.889				
644	61.093				
645	64.703				
646	68.727				
647	73.158				
648	77.652				
649	82.266				
650	86.641				
651	90.524				
652	93.452				
653	95.284				
654	95.758				
655	94.721				
656	92.344				
657	88.901				
658	84.519				
659	79.647				
660	74.582				
661	69.516				
662	64.6				
663	59.965				
664	55.708				
665	51.912				
666	48.395				
667	45.351				
668	42.603				
669	40.223				
670	38.109				
671	36.246				
672	34.643				
673	33.222				
674	31.998				
675	30.95				
676	30.035				
677	29.291				
678	28.661				
679	28.145				
680	27.767				
681	27.459				
682	27.297				
683	27.181				
684	27.167				
685	27.257				
686	27.412				
687	27.669				
688	27.986				
689	28.378				
690	28.932				
691	29.522				
692	30.217				
693	31.016				
694	31.865				
695	32.848				
696	33.911				
697	35.131				
698	36.43				
699	37.841				
700	39.408				
701	41.088				
702	42.87				
703	44.76				
704	46.839				
705	49.062				
706	51.362				
707	53.861				
708	56.365				
709	59.008				
710	61.73				
711	64.5				
712	67.281				
713	70.145				
714	72.864				
715	75.644				
716	78.295				
717	80.803				
718	83.152				
719	85.369				
720	87.332				
721	89.096				
722	90.598				
723	91.756				
724	92.798				
725	93.666				
726	94.184				
727	94.684				
728	94.772				
729	94.92				
730	94.856				
731	94.658				
732	94.364				
733	94.072				
734	93.762				
735	93.336				
736	93.096				
737	92.746				
738	92.469				
739	92.232				
740	92.051				
741	91.869				
742	91.631				
743	91.678				
744	91.696				
745	91.672				
746	91.916				
747	92.124				
748	92.307				
749	92.52				
750	92.832				
