Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.001		Omega	400AF30 Bandpass	XF1076/25
301	0.0				
302	0.0				
303	0.0				
304	0.001				
305	0.0				
306	0.0				
307	0.001				
308	0.001				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.001				
318	0.0				
319	0.0				
320	0.001				
321	0.001				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.001				
341	0.0				
342	0.0				
343	0.001				
344	0.001				
345	0.003				
346	0.003				
347	0.004				
348	0.008				
349	0.019				
350	0.028				
351	0.047				
352	0.076				
353	0.115				
354	0.179				
355	0.267				
356	0.387				
357	0.551				
358	0.783				
359	1.081				
360	1.471				
361	1.943				
362	2.512				
363	3.186				
364	4.014				
365	5.014				
366	6.168				
367	7.419				
368	8.707				
369	10.05				
370	11.481				
371	12.924				
372	14.38				
373	15.852				
374	17.412				
375	19.026				
376	20.642				
377	22.018				
378	23.082				
379	23.957				
380	24.884				
381	26.057				
382	27.47				
383	29.055				
384	30.525				
385	31.746				
386	32.708				
387	33.449				
388	34.124				
389	34.763				
390	35.464				
391	36.141				
392	36.839				
393	37.478				
394	38.062				
395	38.541				
396	38.833				
397	39.081				
398	39.252				
399	39.39				
400	39.541				
401	39.655				
402	39.792				
403	39.882				
404	39.928				
405	39.951				
406	39.96				
407	39.908				
408	39.825				
409	39.674				
410	39.436				
411	39.103				
412	38.626				
413	38.199				
414	37.629				
415	35.989				
416	31.378				
417	23.065				
418	13.406				
419	5.938				
420	2.04				
421	0.571				
422	0.147				
423	0.038				
424	0.011				
425	0.003				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.001				
431	0.0				
432	0.001				
433	0.0				
434	0.0				
435	0.0				
436	0.001				
437	0.0				
438	0.0				
439	0.0				
440	0.0				
441	0.0				
442	0.0				
443	0.0				
444	0.0				
445	0.0				
446	0.0				
447	0.0				
448	0.0				
449	0.0				
450	0.0				
451	0.001				
452	0.0				
453	0.0				
454	0.0				
455	0.0				
456	0.0				
457	0.0				
458	0.0				
459	0.0				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.001				
465	0.002				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.002				
472	0.0				
473	0.0				
474	0.0				
475	0.001				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
