Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.0		Omega	475-625DBEX Dual Band	XF1420/25
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.002				
409	0.001				
410	0.001				
411	0.003				
412	0.001				
413	0.001				
414	0.001				
415	0.005				
416	0.002				
417	0.0				
418	0.001				
419	0.013				
420	0.013				
421	0.003				
422	0.026				
423	0.064				
424	0.004				
425	0.001				
426	0.002				
427	0.005				
428	0.023				
429	0.031				
430	0.024				
431	0.049				
432	0.136				
433	0.14				
434	0.045				
435	0.011				
436	0.005				
437	0.003				
438	0.003				
439	0.003				
440	0.005				
441	0.012				
442	0.039				
443	0.194				
444	1.457				
445	9.432				
446	25.7				
447	43.948				
448	65.674				
449	75.512				
450	61.113				
451	46.601				
452	46.603				
453	60.145				
454	79.814				
455	91.789				
456	94.165				
457	93.789				
458	93.616				
459	94.944				
460	96.389				
461	95.711				
462	94.644				
463	95.531				
464	96.373				
465	94.623				
466	91.92				
467	90.894				
468	92.012				
469	93.836				
470	94.388				
471	91.638				
472	86.18				
473	81.516				
474	80.486				
475	81.729				
476	80.347				
477	74.358				
478	68.584				
479	67.731				
480	70.964				
481	72.634				
482	69.316				
483	65.581				
484	66.478				
485	71.645				
486	76.006				
487	76.613				
488	77.048				
489	79.349				
490	81.381				
491	83.319				
492	45.549				
493	4.233				
494	0.183				
495	0.014				
496	0.002				
497	0.0				
498	0.0				
499	0.0				
500	0.0				
501	0.0				
502	0.0				
503	0.0				
504	0.0				
505	0.0				
506	0.0				
507	0.0				
508	0.0				
509	0.0				
510	0.0				
511	0.0				
512	0.0				
513	0.0				
514	0.0				
515	0.0				
516	0.0				
517	0.0				
518	0.0				
519	0.0				
520	0.0				
521	0.0				
522	0.0				
523	0.0				
524	0.0				
525	0.0				
526	0.0				
527	0.0				
528	0.0				
529	0.0				
530	0.0				
531	0.0				
532	0.0				
533	0.0				
534	0.0				
535	0.0				
536	0.0				
537	0.0				
538	0.0				
539	0.0				
540	0.0				
541	0.0				
542	0.0				
543	0.0				
544	0.0				
545	0.0				
546	0.0				
547	0.0				
548	0.0				
549	0.0				
550	0.0				
551	0.0				
552	0.0				
553	0.0				
554	0.0				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	0.0				
561	0.0				
562	0.0				
563	0.0				
564	0.0				
565	0.0				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	0.0				
571	0.0				
572	0.0				
573	0.0				
574	0.0				
575	0.0				
576	0.0				
577	0.0				
578	0.0				
579	0.0				
580	0.0				
581	0.0				
582	0.0				
583	0.0				
584	0.0				
585	0.0				
586	0.0				
587	0.0				
588	0.0				
589	0.0				
590	0.0				
591	0.0				
592	0.0				
593	0.0				
594	0.0				
595	0.0				
596	0.0				
597	0.001				
598	0.005				
599	0.031				
600	0.262				
601	3.093				
602	29.317				
603	83.314				
604	95.304				
605	94.064				
606	90.66				
