Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Omega	390-486-577TBEX Triple Band	XF1458/25
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.001				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.001				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.001				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.001				
366	0.002				
367	0.001				
368	0.005				
369	0.01				
370	0.025				
371	0.071				
372	0.334				
373	1.878				
374	7.281				
375	19.875				
376	33.33				
377	36.588				
378	40.669				
379	52.454				
380	68.076				
381	79.288				
382	82.096				
383	81.921				
384	83.969				
385	86.282				
386	87.156				
387	87.519				
388	87.697				
389	88.336				
390	89.183				
391	90.313				
392	90.562				
393	89.408				
394	87.062				
395	84.811				
396	84.114				
397	85.89				
398	88.886				
399	90.614				
400	90.359				
401	89.385				
402	88.896				
403	89.657				
404	91.441				
405	92.929				
406	92.95				
407	91.521				
408	89.13				
409	86.791				
410	86.025				
411	87.743				
412	89.317				
413	86.486				
414	80.645				
415	79.807				
416	74.582				
417	32.544				
418	5.385				
419	0.835				
420	0.168				
421	0.042				
422	0.013				
423	0.005				
424	0.002				
425	0.001				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	0.0				
434	0.0				
435	0.0				
436	0.0				
437	0.0				
438	0.0				
439	0.0				
440	0.0				
441	0.0				
442	0.0				
443	0.0				
444	0.0				
445	0.0				
446	0.0				
447	0.0				
448	0.0				
449	0.0				
450	0.0				
451	0.0				
452	0.0				
453	0.0				
454	0.0				
455	0.0				
456	0.0				
457	0.0				
458	0.0				
459	0.0				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.0				
465	0.001				
466	0.002				
467	0.005				
468	0.014				
469	0.041				
470	0.148				
471	0.71				
472	4.875				
473	25.18				
474	43.252				
475	45.472				
476	57.403				
477	72.133				
478	77.711				
479	78.086				
480	80.309				
481	84.83				
482	89.277				
483	92.032				
484	92.756				
485	91.668				
486	88.99				
487	85.71				
488	83.126				
489	82.136				
490	82.683				
491	83.823				
492	84.494				
