Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Omega	505DRLPXR Dichroic	XF2031/25.7*36
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.031				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.156				
369	0.155				
370	0.214				
371	0.389				
372	0.563				
373	0.698				
374	0.943				
375	1.231				
376	1.366				
377	1.302				
378	1.111				
379	0.88				
380	0.711				
381	0.638				
382	0.575				
383	0.528				
384	0.655				
385	0.639				
386	0.732				
387	0.874				
388	0.96				
389	1.104				
390	1.226				
391	1.369				
392	1.586				
393	1.783				
394	1.971				
395	2.041				
396	2.042				
397	1.871				
398	1.714				
399	1.388				
400	1.174				
401	1.046				
402	0.905				
403	0.811				
404	0.8				
405	0.782				
406	0.746				
407	0.727				
408	0.716				
409	0.75				
410	0.693				
411	0.679				
412	0.664				
413	0.574				
414	0.555				
415	0.487				
416	0.481				
417	0.563				
418	0.493				
419	0.568				
420	0.636				
421	0.649				
422	0.664				
423	0.727				
424	0.714				
425	0.794				
426	0.827				
427	0.817				
428	0.9				
429	0.877				
430	0.964				
431	1.026				
432	1.118				
433	1.169				
434	1.343				
435	1.46				
436	1.689				
437	1.864				
438	2.065				
439	2.322				
440	2.528				
441	2.746				
442	2.963				
443	3.145				
444	3.483				
445	3.791				
446	4.268				
447	4.879				
448	5.74				
449	6.439				
450	7.817				
451	8.945				
452	10.245				
453	10.461				
