Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Omega	400-485-580 TBDR Dichroic	XF2045/25.7*36
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.067				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.027				
335	0.0				
336	0.003				
337	0.0				
338	0.0				
339	0.094				
340	0.095				
341	0.031				
342	0.019				
343	0.018				
344	0.0				
345	0.117				
346	0.039				
347	0.33				
348	0.539				
349	0.672				
350	0.732				
351	0.509				
352	0.412				
353	0.389				
354	0.776				
355	1.056				
356	1.133				
357	0.802				
358	0.429				
359	0.018				
360	0.01				
361	0.015				
362	0.014				
363	0.038				
364	0.0				
365	0.0				
366	0.0				
367	0.087				
368	0.075				
369	0.068				
370	0.103				
371	1.085				
372	3.363				
373	4.128				
374	2.991				
375	1.02				
376	0.419				
377	1.211				
378	2.98				
379	4.054				
380	3.464				
381	1.538				
382	0.394				
383	0.13				
384	0.213				
385	0.251				
386	0.708				
387	1.484				
388	1.804				
389	1.457				
390	0.686				
391	0.331				
392	0.136				
393	0.149				
394	0.1				
395	0.2				
396	0.267				
397	0.748				
398	1.65				
399	2.413				
400	2.541				
401	2.316				
402	1.495				
403	0.951				
404	0.811				
405	0.783				
406	0.892				
407	1.116				
408	1.781				
409	3.925				
410	9.052				
411	19.192				
412	22.428				
413	19.927				
414	13.162				
415	5.197				
416	2.361				
417	1.444				
418	1.09				
419	1.009				
420	0.949				
421	1.07				
422	1.24				
423	1.62				
424	2.265				
425	3.193				
426	4.244				
427	5.808				
428	7.303				
429	8.342				
430	9.208				
431	9.513				
432	10.019				
433	10.732				
434	12.282				
435	14.507				
436	18.096				
437	21.406				
438	27.524				
439	34.519				
440	46.988				
441	61.021				
442	75.348				
443	83.848				
444	90.735				
445	92.804				
446	93.22				
447	93.45				
448	94.499				
449	94.904				
450	95.19				
451	95.214				
452	95.24				
453	95.392				
454	95.483				
455	94.813				
456	94.71				
457	94.42				
458	94.485				
459	94.592				
460	95.168				
461	95.069				
462	94.039				
463	91.238				
464	86.17				
465	79.859				
466	72.462				
467	64.09				
468	53.914				
469	43.25				
470	35.141				
471	25.579				
472	18.407				
473	11.601				
474	7.957				
475	5.318				
476	3.921				
477	2.844				
478	2.103				
479	1.691				
480	1.331				
481	1.211				
482	1.026				
483	0.925				
484	0.851				
485	0.83				
486	0.757				
487	0.754				
488	0.803				
489	0.858				
490	0.935				
491	1.047				
492	1.18				
493	1.308				
494	1.598				
495	1.934				
496	2.517				
497	3.205				
498	3.952				
499	5.478				
500	7.491				
501	10.283				
502	14.809				
503	19.248				
504	25.271				
505	32.081				
506	38.67				
507	46.222				
508	52.802				
509	59.45				
510	64.548				
511	68.768				
512	73.243				
513	77.671				
514	81.595				
515	85.892				
516	88.874				
517	92.101				
518	94.514				
519	95.345				
520	95.472				
521	95.033				
522	94.838				
523	94.098				
524	93.402				
525	92.761				
526	92.415				
527	92.441				
528	92.037				
529	92.204				
530	92.486				
531	93.152				
532	93.902				
533	94.076				
534	94.556				
535	94.551				
536	94.783				
537	93.753				
538	92.214				
539	89.691				
540	85.693				
541	80.282				
542	74.81				
543	67.562				
544	59.423				
545	53.108				
546	45.273				
547	37.783				
548	31.868				
549	25.758				
550	20.345				
551	16.934				
552	13.014				
553	10.261				
554	8.262				
555	6.479				
556	5.046				
557	4.328				
558	3.562				
559	3.087				
560	2.68				
561	2.175				
562	2.072				
563	1.802				
564	1.711				
565	1.462				
566	1.533				
567	1.242				
568	1.272				
569	1.174				
570	1.219				
571	1.194				
572	1.103				
573	1.196				
574	1.145				
575	1.227				
576	1.279				
577	1.199				
578	1.347				
579	1.378				
580	1.631				
581	1.699				
582	1.801				
583	2.163				
584	2.44				
585	2.875				
586	3.413				
587	4.135				
588	4.636				
589	5.593				
590	6.706				
591	7.998				
592	9.897				
593	12.265				
594	15.352				
595	18.867				
596	22.424				
597	27.314				
598	32.966				
599	38.829				
600	44.1				
601	50.033				
602	56.968				
603	64.187				
604	71.326				
605	77.899				
606	84.129				
607	89.023				
608	93.006				
609	94.463				
610	96.314				
611	97.073				
612	97.56				
613	97.33				
614	97.181				
615	97.387				
616	97.591				
617	97.87				
618	98.07				
619	97.876				
620	98.099				
621	98.156				
622	98.502				
623	98.803				
624	98.26				
625	97.94				
626	98.2				
627	98.005				
628	97.968				
629	97.657				
630	97.603				
631	97.772				
632	98.317				
633	98.05				
634	97.703				
635	97.792				
636	98.171				
637	98.048				
638	98.16				
639	98.146				
640	98.639				
641	98.818				
642	98.417				
643	98.342				
644	98.686				
645	99.034				
646	98.567				
647	98.705				
648	98.476				
649	98.628				
650	98.752				
651	98.203				
652	98.194				
653	97.782				
654	98.009				
655	96.509				
656	95.678				
657	93.833				
658	92.405				
659	89.316				
660	86.615				
661	83.707				
662	80.487				
663	76.544				
664	72.642				
665	69.642				
666	65.943				
667	62.186				
668	58.724				
669	55.534				
670	53.082				
671	50.346				
672	48.204				
673	45.274				
674	43.039				
675	41.211				
676	39.79				
677	38.977				
678	38.257				
679	37.849				
680	37.826				
681	37.959				
682	38.085				
683	37.682				
684	37.09				
685	36.061				
686	35.07				
687	33.487				
688	31.978				
689	30.22				
690	29.137				
691	27.868				
692	27.336				
693	26.876				
694	26.303				
695	25.442				
696	24.397				
697	23.49				
698	21.5				
699	19.737				
700	17.674				
701	15.437				
702	13.406				
703	11.293				
704	9.597				
705	8.006				
706	6.758				
707	5.584				
708	4.706				
709	4.082				
710	3.386				
711	2.751				
712	2.193				
713	2.08				
714	1.59				
715	1.561				
716	1.153				
717	1.247				
718	0.927				
719	0.892				
720	0.719				
721	0.522				
722	0.438				
723	0.384				
724	0.229				
725	0.463				
726	0.404				
727	0.057				
728	0.325				
729	0.448				
730	0.066				
731	0.0				
732	0.048				
733	0.215				
734	0.306				
735	0.0				
736	0.0				
737	0.313				
738	0.125				
739	0.298				
740	0.112				
741	0.0				
742	0.0				
743	0.0				
744	0.356				
745	0.0				
